epoch,train_acc,train_loss,val_acc,val_loss
0,0.71875,1.156858205795288,0.8894000053405762,0.7673359513282776
1,0.9375,0.5811769366264343,0.9107999801635742,0.6282871961593628
2,0.96875,0.4610999822616577,0.921999990940094,0.5445642471313477
3,0.875,0.7399031519889832,0.9287999868392944,0.48091092705726624
4,0.8125,0.6620396375656128,0.9297999739646912,0.44373950362205505
5,0.9375,0.448333740234375,0.9352999925613403,0.40388572216033936
6,1.0,0.2951374650001526,0.9369000196456909,0.37314316630363464
7,0.9375,0.49020257592201233,0.9381999969482422,0.350516140460968
8,0.96875,0.2964763045310974,0.9401999711990356,0.334517240524292
9,0.96875,0.3005877733230591,0.942300021648407,0.31528186798095703
10,1.0,0.15124985575675964,0.9437000155448914,0.29388195276260376
11,0.9375,0.32667434215545654,0.9465000033378601,0.2822759747505188
12,1.0,0.16979113221168518,0.9448999762535095,0.27000731229782104
13,1.0,0.2578135132789612,0.9445000290870667,0.2663625180721283
14,1.0,0.2052726447582245,0.9413999915122986,0.25984153151512146
15,1.0,0.13854113221168518,0.9434999823570251,0.25147387385368347
16,1.0,0.10478824377059937,0.9469000101089478,0.24274130165576935
17,0.875,0.36876827478408813,0.9460999965667725,0.2362453192472458
18,1.0,0.12694787979125977,0.9491000175476074,0.22937265038490295
19,1.0,0.10069581866264343,0.9449999928474426,0.23054000735282898
20,1.0,0.0657428652048111,0.9462000131607056,0.22006955742835999
21,1.0,0.08352303504943848,0.9484999775886536,0.21558083593845367
22,0.96875,0.15266987681388855,0.9470999836921692,0.21227328479290009
23,1.0,0.043914441019296646,0.9476000070571899,0.20654286444187164
24,1.0,0.04136422649025917,0.946399986743927,0.21299536526203156
25,1.0,0.08509358018636703,0.9488000273704529,0.20132146775722504
26,1.0,0.050272852182388306,0.9485999941825867,0.2000272125005722
27,1.0,0.08276893943548203,0.9491000175476074,0.20259293913841248
28,1.0,0.055688392370939255,0.9484999775886536,0.20230399072170258
29,1.0,0.0443422757089138,0.9498999714851379,0.18933503329753876
