,acc_ensemble,acc_1,acc_2,acc_3,acc_4,acc_5,acc_6,val_acc_ensemble,val_acc_1,val_acc_2,val_acc_3,val_acc_4,val_acc_5,val_acc_6,loss_1,loss_2,loss_3,loss_4,loss_5,loss_6,val_loss_1,val_loss_2,val_loss_3,val_loss_4,val_loss_5,val_loss_6
0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8996000289916992,0.8996000289916992,0.8996000289916992,0.8996000289916992,0.8996000289916992,0.8996000289916992,0.8996000289916992,0.002174914116039872,0.002885254565626383,0.0023743347264826298,0.002929825335741043,0.002629741095006466,0.002131303772330284,0.35398101806640625,0.35398101806640625,0.35398101806640625,0.35398101806640625,0.35398101806640625,0.35398101806640625
1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9007999897003174,0.9007999897003174,0.9007999897003174,0.9007999897003174,0.9007999897003174,0.9007999897003174,0.9007999897003174,0.000695966649800539,0.0009865285828709602,0.0007545825792476535,0.0010462349746376276,0.00075243174796924,0.0008749739499762654,0.3602506220340729,0.3602506220340729,0.3602506220340729,0.3602506220340729,0.3602506220340729,0.3602506220340729
2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9000999927520752,0.9000999927520752,0.9000999927520752,0.9000999927520752,0.9000999927520752,0.9000999927520752,0.9000999927520752,0.0005386990960687399,0.000665716826915741,0.0007690883940085769,0.00046880956506356597,0.000512938539031893,0.0004934101016260684,0.36686840653419495,0.36686840653419495,0.36686840653419495,0.36686840653419495,0.36686840653419495,0.36686840653419495
3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.900600016117096,0.900600016117096,0.900600016117096,0.900600016117096,0.900600016117096,0.900600016117096,0.900600016117096,0.00030383380362764,0.00028782867593690753,0.00046862204908393323,0.0003486097266431898,0.0003402639995329082,0.0004850284312851727,0.37118008732795715,0.37118008732795715,0.37118008732795715,0.37118008732795715,0.37118008732795715,0.37118008732795715
4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.901199996471405,0.901199996471405,0.901199996471405,0.901199996471405,0.901199996471405,0.901199996471405,0.901199996471405,0.0002893672790378332,0.00013823815970681608,0.00023001531371846795,0.0002690521068871021,0.00023617105034645647,0.0002570940414443612,0.37581542134284973,0.37581542134284973,0.37581542134284973,0.37581542134284973,0.37581542134284973,0.37581542134284973
5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9017000198364258,0.9017000198364258,0.9017000198364258,0.9017000198364258,0.9017000198364258,0.9017000198364258,0.9017000198364258,0.00018880987772718072,0.00015659938799217343,0.00019597262144088745,0.0002970349451061338,0.00020604697056114674,0.000246110197622329,0.3796498477458954,0.3796498477458954,0.3796498477458954,0.3796498477458954,0.3796498477458954,0.3796498477458954
6,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9017999768257141,0.9017999768257141,0.9017999768257141,0.9017999768257141,0.9017999768257141,0.9017999768257141,0.9017999768257141,0.00020326548838056624,0.00019521746435202658,0.00015748466830700636,0.00012041908485116437,0.0001766267087077722,0.00014725803339388222,0.3834870159626007,0.3834870159626007,0.3834870159626007,0.3834870159626007,0.3834870159626007,0.3834870159626007
7,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9016000032424927,0.9016000032424927,0.9016000032424927,0.9016000032424927,0.9016000032424927,0.9016000032424927,0.9016000032424927,0.00016252545174211264,0.00021540970192290843,0.00012589346442837268,0.00012179042096249759,0.000177841167896986,0.00014134081720840186,0.387302964925766,0.387302964925766,0.387302964925766,0.387302964925766,0.387302964925766,0.387302964925766
8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.901199996471405,0.901199996471405,0.901199996471405,0.901199996471405,0.901199996471405,0.901199996471405,0.901199996471405,8.614873513579369e-05,8.959797560237348e-05,7.534225005656481e-05,0.00011864645057357848,9.126508666668087e-05,0.00010497330367797986,0.3904382884502411,0.3904382884502411,0.3904382884502411,0.3904382884502411,0.3904382884502411,0.3904382884502411
9,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9017000198364258,0.9017000198364258,0.9017000198364258,0.9017000198364258,0.9017000198364258,0.9017000198364258,0.9017000198364258,0.00013680066331289709,8.004308620002121e-05,0.00010470324195921421,6.278880755417049e-05,6.278880755417049e-05,8.426752174273133e-05,0.3930588364601135,0.3930588364601135,0.3930588364601135,0.3930588364601135,0.3930588364601135,0.3930588364601135
