,acc_1,acc_2,acc_ensemble,loss_1,loss_2,val_acc_1,val_acc_2,val_acc_ensemble,val_loss_1,val_loss_2
0,0.9217000007629395,0.9269333481788635,0.9305999875068665,0.25452157855033875,0.29149559140205383,0.9204999804496765,0.9258999824523926,0.9301000237464905,0.25572049617767334,0.24896709620952606
1,0.938966691493988,0.9388999938964844,0.9424499869346619,0.09438315033912659,0.2919939160346985,0.9355999827384949,0.935699999332428,0.939300000667572,0.20241384208202362,0.20609143376350403
2,0.942883312702179,0.9426666498184204,0.9455166459083557,0.025606542825698853,0.3199303448200226,0.9388999938964844,0.9387999773025513,0.9416999816894531,0.19863159954547882,0.19712623953819275
3,0.9452499747276306,0.9388166666030884,0.9451166391372681,0.04687900096178055,0.028412386775016785,0.9420999884605408,0.9359999895095825,0.941100001335144,0.18680736422538757,0.20935742557048798
4,0.9440666437149048,0.9456499814987183,0.9466999769210815,0.010406263172626495,0.020465301349759102,0.9402999877929688,0.9434000253677368,0.9440000057220459,0.20256417989730835,0.19116508960723877
5,0.9430333375930786,0.9420166611671448,0.9451666474342346,0.024144506081938744,0.012343186885118484,0.9376000165939331,0.9398999810218811,0.9426000118255615,0.2104080617427826,0.20539970695972443
6,0.9431833624839783,0.9439166784286499,0.9455000162124634,0.09182466566562653,0.006678840145468712,0.9404000043869019,0.9388999938964844,0.942799985408783,0.2065170854330063,0.20171093940734863
7,0.9518499970436096,0.9504666924476624,0.9526333212852478,0.005056079477071762,0.009299715980887413,0.9459999799728394,0.9442999958992004,0.9484000205993652,0.18231067061424255,0.18750767409801483
8,0.9449499845504761,0.9491166472434998,0.9487166404724121,0.02760619856417179,0.004984801169484854,0.9394999742507935,0.9455000162124634,0.9434999823570251,0.2195374220609665,0.19616208970546722
9,0.950166642665863,0.9516000151634216,0.9524000287055969,0.026189571246504784,0.007220268249511719,0.9456999897956848,0.9472000002861023,0.9484999775886536,0.19093520939350128,0.18400336802005768
10,0.9495499730110168,0.9512500166893005,0.9520166516304016,0.0628078430891037,0.0023340412881225348,0.944100022315979,0.9441999793052673,0.9469000101089478,0.20105943083763123,0.1959596425294876
11,0.9521166682243347,0.9523000121116638,0.9539166688919067,0.006748748943209648,0.0038847471587359905,0.9473000168800354,0.949400007724762,0.9502999782562256,0.19171427190303802,0.18527041375637054
12,0.9496166706085205,0.9510999917984009,0.951616644859314,0.06331288814544678,0.004486320540308952,0.9429000020027161,0.9459999799728394,0.9470999836921692,0.20154054462909698,0.19639113545417786
13,0.9383666515350342,0.9435666799545288,0.9429000020027161,0.08919232338666916,0.027865910902619362,0.932200014591217,0.9362000226974487,0.9368000030517578,0.29109013080596924,0.2518847584724426
14,0.945816695690155,0.9416166543960571,0.9458500146865845,0.12383342534303665,0.04095415771007538,0.9394000172615051,0.9373000264167786,0.9419000148773193,0.22585298120975494,0.22601574659347534
