,acc,loss
0,0.7075,34.38103103637695
1,0.7849999999999999,22.057416915893555
2,0.8300000000000001,43.302215576171875
3,0.8100000000000002,35.700130462646484
4,0.8525,59.94899368286133
5,0.8499999999999999,30.67078971862793
6,0.8700000000000001,20.844999313354492
7,0.8725000000000002,49.443115234375
8,0.89,28.15097427368164
9,0.8775000000000001,27.310184478759766
10,0.8800000000000001,7.317317485809326
11,0.8950000000000001,15.095178604125977
12,0.9125,31.178924560546875
13,0.9075,59.98982238769531
14,0.925,23.777976989746094
15,0.8875,13.519241333007812
16,0.8875,12.146343231201172
17,0.9150000000000003,23.672855377197266
18,0.8774999999999998,27.901424407958984
19,0.865,17.842470169067383
20,0.9049999999999999,36.445228576660156
21,0.9199999999999999,18.984622955322266
22,0.9225,2.6392836570739746
23,0.93,38.32001876831055
24,0.9199999999999999,11.700887680053711
25,0.9075,13.645400047302246
26,0.8975,14.931082725524902
27,0.9099999999999999,14.53318977355957
28,0.8975,2.518962860107422
29,0.9025000000000001,29.825517654418945
30,0.9049999999999999,3.590092658996582
31,0.9324999999999999,36.16336441040039
32,0.9299999999999997,0.0
33,0.9225,42.56758117675781
34,0.9199999999999999,9.702335357666016
35,0.9399999999999998,38.18840026855469
36,0.9200000000000002,1.3812870979309082
37,0.9075000000000001,24.803909301757812
38,0.9324999999999998,31.3269100189209
39,0.9199999999999999,5.1113080978393555
40,0.915,2.9686241149902344
41,0.9349999999999999,9.00642204284668
42,0.9349999999999999,7.799006462097168
43,0.9350000000000002,0.0
44,0.945,10.430753707885742
45,0.9375,3.0061087608337402
46,0.9424999999999999,1.7828357219696045
47,0.9474999999999998,2.5689313411712646
48,0.9474999999999998,2.427720785140991
49,0.9549999999999998,2.472897529602051
50,0.945,0.0
51,0.9424999999999999,7.385765075683594
52,0.9449999999999997,0.719467282295227
53,0.9474999999999998,3.6016507148742676
54,0.9474999999999998,3.9594082832336426
55,0.9449999999999997,8.831998825073242
56,0.9449999999999997,0.0
57,0.9474999999999998,4.410994529724121
58,0.9474999999999998,1.263617753982544
59,0.9474999999999998,6.947216033935547
