,acc_ensemble,acc_1,acc_2,acc_3,acc_4,loss_1,loss_2,loss_3,loss_4
19,0.9349999999999999,0.85,0.835,0.8775000000000001,0.8625,5.700716972351074,30.852039337158203,10.853787422180176,51.67355728149414
20,0.9399999999999998,0.8674999999999999,0.8724999999999999,0.8950000000000001,0.905,40.74665069580078,0.0,179.76165771484375,5.216770172119141
21,0.9249999999999998,0.8699999999999999,0.8775000000000001,0.8700000000000001,0.8700000000000001,201.02005004882812,45.53589630126953,3.1538162231445312,63.18132400512695
22,0.9075,0.8274999999999999,0.845,0.8850000000000001,0.845,16.849170684814453,19.161422729492188,72.33821105957031,38.13263702392578
23,0.9324999999999999,0.8450000000000001,0.8875,0.885,0.8325000000000001,127.97644805908203,35.771358489990234,7.112150192260742,48.307090759277344
24,0.915,0.885,0.865,0.835,0.8300000000000001,120.79776763916016,34.134971618652344,2.8486876487731934,18.11379623413086
25,0.9225,0.8875,0.8525,0.8724999999999999,0.8924999999999998,70.75067138671875,0.0,77.41626739501953,0.0
26,0.9325000000000001,0.8875,0.8424999999999999,0.9075,0.8775000000000001,41.04863739013672,21.81522560119629,31.537200927734375,28.370895385742188
27,0.9449999999999997,0.8550000000000001,0.8825000000000001,0.9,0.8775000000000001,26.635725021362305,26.48546028137207,0.0,42.42893981933594
28,0.93,0.8724999999999999,0.86,0.85,0.85,45.699073791503906,26.185537338256836,85.9066162109375,99.4837875366211
29,0.9275,0.8825,0.885,0.8225000000000001,0.8624999999999998,6.952414512634277,37.73745346069336,31.27745819091797,18.42535400390625
30,0.9424999999999999,0.8625,0.8625000000000002,0.9025000000000001,0.8624999999999998,6.716189384460449,75.31600189208984,156.86038208007812,2.7791552543640137
31,0.9199999999999999,0.8775000000000001,0.8724999999999999,0.8275,0.8949999999999999,31.786062240600586,10.621155738830566,5.656807899475098,61.328243255615234
32,0.9299999999999999,0.8175000000000001,0.8524999999999998,0.8425,0.8874999999999998,30.43409538269043,29.206411361694336,56.81602478027344,43.747161865234375
33,0.9324999999999999,0.905,0.825,0.8825,0.8825,87.79792785644531,5.0886688232421875,15.563138961791992,16.03624725341797
34,0.9474999999999998,0.8424999999999999,0.8975000000000002,0.8800000000000001,0.8875,19.0986270904541,52.96068572998047,23.35663604736328,5.8070573806762695
35,0.9375,0.8925000000000001,0.8949999999999999,0.8899999999999999,0.8925000000000001,16.759021759033203,5.498602867126465,5.958266258239746,13.121294021606445
36,0.9349999999999999,0.8949999999999999,0.9299999999999999,0.8625,0.8875000000000002,166.12661743164062,12.434823989868164,12.018997192382812,19.44115447998047
37,0.9499999999999998,0.8875,0.9200000000000002,0.885,0.8975,11.0885591506958,30.505184173583984,33.28617858886719,2.0753045082092285
38,0.9475,0.89,0.9174999999999999,0.885,0.8825000000000001,52.0423583984375,35.569664001464844,20.49064826965332,20.077226638793945
39,0.9399999999999998,0.8975000000000002,0.8724999999999999,0.885,0.8924999999999998,45.90608215332031,9.511899948120117,57.604820251464844,19.420209884643555
40,0.945,0.8899999999999999,0.9325000000000001,0.8949999999999999,0.9175000000000001,1.8797197341918945,21.987363815307617,6.839752674102783,13.02524185180664
41,0.9624999999999998,0.9099999999999999,0.9349999999999998,0.9199999999999999,0.9199999999999997,29.462812423706055,39.562705993652344,8.189855575561523,1.984090805053711
42,0.9574999999999999,0.9224999999999998,0.9299999999999999,0.9225,0.9075,2.5219693183898926,3.3374691009521484,2.392575740814209,10.442336082458496
43,0.95,0.925,0.9325000000000001,0.9225,0.925,4.432486057281494,0.0,33.09618377685547,20.80044174194336
44,0.9624999999999998,0.9324999999999999,0.9424999999999999,0.9299999999999999,0.9299999999999997,5.065769672393799,24.4373779296875,2.320671319961548,10.069189071655273
45,0.9624999999999998,0.9375000000000002,0.9375,0.9324999999999999,0.9175000000000001,6.0056586265563965,4.101399898529053,9.503883361816406,0.11670970916748047
46,0.9674999999999999,0.925,0.945,0.9374999999999998,0.9274999999999999,6.664453983306885,10.1812744140625,0.2596395015716553,12.150405883789062
47,0.9624999999999998,0.925,0.945,0.9349999999999999,0.9199999999999999,2.9079155921936035,3.0731773376464844,7.987789154052734,0.0
48,0.9624999999999998,0.9324999999999999,0.945,0.9349999999999999,0.9224999999999998,1.9259724617004395,9.133757591247559,0.0,1.2000606060028076
49,0.9624999999999998,0.9374999999999998,0.9424999999999999,0.9349999999999999,0.9199999999999999,0.7221808433532715,8.556106567382812,3.062220811843872,15.620325088500977
50,0.9649999999999999,0.9324999999999999,0.945,0.9350000000000002,0.9249999999999998,4.4114766120910645,0.9304375648498535,1.2306170463562012,16.67236328125
51,0.9649999999999999,0.9299999999999999,0.9474999999999998,0.9349999999999999,0.9299999999999999,0.0,2.2641918659210205,9.688947677612305,17.179065704345703
52,0.9649999999999999,0.9274999999999999,0.9499999999999998,0.9325000000000001,0.9274999999999999,4.761324882507324,19.325788497924805,0.0,7.30483341217041
53,0.9649999999999999,0.9349999999999999,0.9499999999999998,0.9275,0.9274999999999999,0.1385817527770996,0.0,0.19715356826782227,6.616044998168945
54,0.9649999999999999,0.9324999999999999,0.9499999999999998,0.9349999999999999,0.9349999999999998,17.453495025634766,9.642801284790039,0.0,15.381855010986328
55,0.9649999999999999,0.9299999999999999,0.9524999999999999,0.9325000000000001,0.9324999999999999,4.988207817077637,2.0980091094970703,4.453125476837158,5.070102214813232
56,0.9649999999999999,0.9324999999999998,0.9499999999999998,0.9349999999999999,0.9299999999999999,24.66840934753418,11.927818298339844,8.904916763305664,8.368818283081055
57,0.9649999999999999,0.9299999999999999,0.9499999999999998,0.9349999999999999,0.9249999999999998,10.680118560791016,6.227186679840088,1.7441415786743164,9.135801315307617
58,0.9649999999999999,0.9299999999999999,0.9524999999999999,0.9349999999999999,0.9249999999999998,5.769369602203369,5.937438011169434,2.083951473236084,1.702014446258545
59,0.9649999999999999,0.9299999999999999,0.9524999999999999,0.9349999999999999,0.9249999999999998,7.917355060577393,0.319671630859375,9.317472457885742,12.614057540893555
