,train_acc_1,train_acc_2,train_acc_ensemble,train_loss_1,train_loss_2,val_acc_1,val_acc_2,val_acc_ensemble,val_loss_1,val_loss_2
0,0.9375,0.84375,0.40625,0.3133888244628906,0.39375758171081543,0.9157999753952026,0.9165999889373779,0.9325000047683716,0.27280041575431824,0.27735841274261475
1,0.84375,0.90625,0.46875,0.29819560050964355,0.16507035493850708,0.9284999966621399,0.9358999729156494,0.9404000043869019,0.22987055778503418,0.21314340829849243
2,0.9375,0.96875,0.53125,0.13754531741142273,0.1300249546766281,0.9362000226974487,0.9381999969482422,0.9465000033378601,0.2054256796836853,0.20538535714149475
3,0.9375,0.9375,0.53125,0.37968525290489197,0.21616820991039276,0.940500020980835,0.9409999847412109,0.951200008392334,0.19370035827159882,0.18972131609916687
4,1.0,1.0,0.65625,0.009009814821183681,0.039095520973205566,0.942300021648407,0.9376000165939331,0.9505000114440918,0.18203702569007874,0.19344183802604675
5,1.0,1.0,0.65625,0.018547752872109413,0.010463844053447247,0.9451000094413757,0.9397000074386597,0.9513000249862671,0.18326541781425476,0.1866697072982788
6,0.96875,1.0,0.625,0.06718901544809341,0.02259873040020466,0.9501000046730042,0.941100001335144,0.9537000060081482,0.16485033929347992,0.19271712005138397
7,1.0,1.0,0.6875,0.004135685041546822,0.0077116466127336025,0.9477999806404114,0.9456999897956848,0.9520999789237976,0.17533215880393982,0.17770570516586304
8,1.0,0.90625,0.4375,0.014010800048708916,0.3868386745452881,0.9513999819755554,0.9444000124931335,0.953499972820282,0.16082315146923065,0.1846984326839447
9,1.0,1.0,0.5625,0.0050497096963226795,0.0030075344257056713,0.9520999789237976,0.949400007724762,0.9556999802589417,0.15765661001205444,0.1617252230644226
10,1.0,1.0,0.625,0.002023932058364153,0.006330755073577166,0.9506000280380249,0.946399986743927,0.9545000195503235,0.1575307548046112,0.17909039556980133
11,1.0,1.0,0.75,0.00460448581725359,0.010053922422230244,0.9480000138282776,0.9462000131607056,0.9556000232696533,0.17984363436698914,0.17666016519069672
12,1.0,1.0,0.46875,0.014280782081186771,0.0135725699365139,0.9460999965667725,0.9460999965667725,0.9545999765396118,0.1957484632730484,0.18407437205314636
13,1.0,1.0,0.65625,0.010872717946767807,0.008028287440538406,0.9472000002861023,0.9524000287055969,0.9545000195503235,0.1887161135673523,0.16754451394081116
14,1.0,1.0,0.5,0.004548998083919287,0.006878027692437172,0.9491000175476074,0.9440000057220459,0.9542999863624573,0.17896011471748352,0.18885664641857147
