,train_acc_1,train_acc_2,train_acc_ensemble,train_loss_1,train_loss_2,val_acc_1,val_acc_2,val_acc_ensemble,val_loss_1,val_loss_2
0,0.90625,0.90625,0.90625,1.9750127792358398,1.9750127792358398,0.9710500240325928,0.9710500240325928,0.9710500240325928,1.0645474195480347,1.0645474195480347
1,1.0,0.96875,0.4375,1.1445456743240356,1.015417456626892,0.9820500016212463,0.9820500016212463,0.9820500016212463,0.6405445337295532,0.6405445337295532
2,1.0,0.96875,0.34375,0.8233453631401062,0.7614917159080505,0.9830499887466431,0.9830499887466431,0.9830499887466431,0.4820002019405365,0.4820002019405365
3,0.96875,0.96875,0.53125,0.8560454249382019,0.8945189118385315,0.9832500219345093,0.9832500219345093,0.9832500219345093,0.41296693682670593,0.41296693682670593
4,1.0,1.0,0.34375,0.6124810576438904,0.4242522418498993,0.9830499887466431,0.9830499887466431,0.9830499887466431,0.3726063370704651,0.3726063370704651
5,0.9375,1.0,0.375,0.878246009349823,0.4363296627998352,0.9831500053405762,0.9831500053405762,0.9831500053405762,0.3422984778881073,0.3422984778881073
6,1.0,1.0,0.4375,0.4059652090072632,0.3658024072647095,0.9832000136375427,0.9832000136375427,0.9832000136375427,0.3190785348415375,0.3190785348415375
7,1.0,1.0,0.59375,0.3794388175010681,0.24672231078147888,0.9826499819755554,0.9826499819755554,0.9826499819755554,0.30425411462783813,0.30425411462783813
8,0.9375,1.0,0.71875,0.6650618314743042,0.5068458318710327,0.9825999736785889,0.9825999736785889,0.9825999736785889,0.29486942291259766,0.29486942291259766
9,1.0,1.0,0.5625,0.2327379584312439,0.2675938606262207,0.9822499752044678,0.9822499752044678,0.9822499752044678,0.2847729027271271,0.2847729027271271
10,1.0,1.0,0.5625,0.2870599627494812,0.22734670341014862,0.9827499985694885,0.9827499985694885,0.9827499985694885,0.2731507420539856,0.2731507420539856
11,1.0,1.0,0.5,0.17383445799350739,0.14832140505313873,0.9823499917984009,0.9823499917984009,0.9823499917984009,0.26364728808403015,0.26364728808403015
12,1.0,1.0,0.4375,0.18512053787708282,0.1551135927438736,0.9832500219345093,0.9832500219345093,0.9832500219345093,0.25020185112953186,0.25020185112953186
13,1.0,0.9375,0.5,0.23252597451210022,0.48422300815582275,0.9822999835014343,0.9822999835014343,0.9822999835014343,0.24246357381343842,0.24246357381343842
14,1.0,1.0,0.625,0.24600952863693237,0.18217217922210693,0.9826499819755554,0.9826499819755554,0.9826499819755554,0.23182246088981628,0.23182246088981628
