,train_loss_1,train_loss_2,val_loss_1,val_loss_2,train_acc_1,train_acc_2,train_acc_ensemble,val_acc_1,val_acc_2,val_acc_ensemble
0,0.7882826924324036,0.8038341999053955,0.6350574493408203,0.6350574493408203,0.875,0.84375,0.625,0.9208999872207642,0.9208999872207642,0.9208999872207642
1,0.4688794016838074,0.5835460424423218,0.5164328813552856,0.5164328813552856,1.0,0.96875,0.6875,0.9376000165939331,0.9376000165939331,0.9376000165939331
2,0.45822855830192566,0.37086570262908936,0.43843886256217957,0.43843886256217957,0.96875,1.0,0.5625,0.9449999928474426,0.9449999928474426,0.9449999928474426
3,0.2573823928833008,0.44821417331695557,0.3892001807689667,0.3892001807689667,1.0,1.0,0.78125,0.9487000107765198,0.9487000107765198,0.9487000107765198
4,0.3471637964248657,0.2988791763782501,0.3536704182624817,0.3536704182624817,0.96875,0.96875,0.53125,0.9483000040054321,0.9483000040054321,0.9483000040054321
5,0.19593365490436554,0.25173065066337585,0.32485029101371765,0.32485029101371765,1.0,1.0,0.65625,0.9501000046730042,0.9501000046730042,0.9501000046730042
6,0.2903672754764557,0.1715000867843628,0.29462167620658875,0.29462167620658875,0.96875,1.0,0.46875,0.9545999765396118,0.9545999765396118,0.9545999765396118
7,0.16024619340896606,0.20141839981079102,0.27908509969711304,0.27908509969711304,1.0,1.0,0.625,0.9526000022888184,0.9526000022888184,0.9526000022888184
8,0.20781050622463226,0.2560349106788635,0.26475220918655396,0.26475220918655396,0.96875,1.0,0.625,0.9528999924659729,0.9528999924659729,0.9528999924659729
9,0.2190437912940979,0.1413276493549347,0.24950893223285675,0.24950893223285675,1.0,1.0,0.5625,0.9524999856948853,0.9524999856948853,0.9524999856948853
