,acc_ensemble,acc_1,acc_2,val_acc_ensemble,val_acc_1,val_acc_2,loss_1,loss_2,val_loss_1,val_loss_2
0,1.0,1.0,1.0,0.8981999754905701,0.8952000141143799,0.8970000147819519,0.0032310467213392258,0.0022437344305217266,0.3709801137447357,0.3635905385017395
1,1.0,1.0,1.0,0.9023000001907349,0.8992999792098999,0.9009000062942505,0.0012175707379356027,0.0018445021705701947,0.367215633392334,0.3617994487285614
2,1.0,1.0,1.0,0.9017999768257141,0.8985000252723694,0.9017999768257141,0.0006182720535434783,0.00045915404916740954,0.37167781591415405,0.3667682707309723
3,1.0,1.0,1.0,0.902899980545044,0.8981999754905701,0.902400016784668,0.0004056299803778529,0.0004350601229816675,0.3765939474105835,0.3715740144252777
4,1.0,1.0,1.0,0.9031999707221985,0.8999999761581421,0.9023000001907349,0.00037161295767873526,0.0001647499157115817,0.3802635371685028,0.3753904700279236
5,1.0,1.0,1.0,0.9034000039100647,0.8998000025749207,0.9020000100135803,0.0002420864620944485,0.0001923333911690861,0.3843027949333191,0.3797280788421631
6,1.0,1.0,1.0,0.9031000137329102,0.8999000191688538,0.902400016784668,0.0001575258793309331,0.00018869753694161773,0.3873264491558075,0.38261064887046814
7,1.0,1.0,1.0,0.9032999873161316,0.9004999995231628,0.9027000069618225,0.00021059345453977585,0.00016494868032168597,0.3899378478527069,0.3855009377002716
8,1.0,1.0,1.0,0.9035999774932861,0.9007999897003174,0.9025999903678894,0.00013710171333514154,0.00023121622507460415,0.39315077662467957,0.3887956142425537
9,1.0,1.0,1.0,0.9036999940872192,0.9010999798774719,0.9028000235557556,0.00017953183851204813,0.00011170413199579343,0.39553365111351013,0.3912295997142792
