,acc_ensemble,acc_1,acc_2,val_acc_ensemble,val_acc_1,val_acc_2,loss_1,loss_2,val_loss_1,val_loss_2
0,1.0,1.0,1.0,0.8945000171661377,0.8930000066757202,0.8930000066757202,0.018629958853125572,0.01268287468701601,0.36570820212364197,0.36849862337112427
1,1.0,1.0,1.0,0.8971999883651733,0.8946999907493591,0.8950999975204468,0.0039407494477927685,0.004741312935948372,0.365050345659256,0.3651529550552368
2,1.0,1.0,1.0,0.8960000276565552,0.8952000141143799,0.8959000110626221,0.0037739663384854794,0.0016778632998466492,0.37191319465637207,0.37082767486572266
3,1.0,1.0,1.0,0.8964999914169312,0.8949000239372253,0.8950999975204468,0.0025010905228555202,0.0028061785269528627,0.3764854967594147,0.37632665038108826
4,1.0,1.0,1.0,0.8956999778747559,0.8942999839782715,0.8955000042915344,0.0007148423464968801,0.0011727968230843544,0.3828672170639038,0.3812282085418701
5,1.0,1.0,1.0,0.8956999778747559,0.8942999839782715,0.8956999778747559,0.0010660450207069516,0.0010842240881174803,0.3891187012195587,0.3861246705055237
6,1.0,1.0,1.0,0.8953999876976013,0.8937000036239624,0.895799994468689,0.0007629470201209188,0.0004796242865268141,0.39278262853622437,0.3900512158870697
7,1.0,1.0,1.0,0.8949000239372253,0.8934999704360962,0.8956999778747559,0.0007349791703745723,0.0005791368312202394,0.3973377048969269,0.3949294984340668
8,1.0,1.0,1.0,0.8939999938011169,0.8935999870300293,0.8952999711036682,0.000478627800475806,0.0005101058050058782,0.4013487696647644,0.39879751205444336
9,1.0,1.0,1.0,0.8942999839782715,0.8934999704360962,0.8955000042915344,0.0003561653138604015,0.0004325428162701428,0.40467822551727295,0.40205565094947815
