,train_loss,val_loss,train_acc,val_acc
0,5.5727858543396,5.233407020568848,0.09375,0.11117500066757202
1,2.980236291885376,4.397797107696533,0.875,0.3127000033855438
2,3.1816370487213135,3.856513261795044,0.75,0.4634999930858612
3,1.7209625244140625,3.5591928958892822,1.0,0.5377500057220459
4,3.6939988136291504,3.378995656967163,0.53125,0.5752999782562256
5,2.564504623413086,3.234797716140747,0.875,0.6015999913215637
6,1.4596569538116455,3.1387758255004883,1.0,0.6138749718666077
7,3.5418832302093506,3.0605952739715576,0.46875,0.6209499835968018
8,1.0444151163101196,3.0169677734375,1.0,0.6211749911308289
9,2.3943581581115723,2.979569435119629,0.84375,0.6202499866485596
