,acc_1,acc_2,acc_3,acc_4,acc_5,acc_6,acc_ensemble,loss_1,loss_2,loss_3,loss_4,loss_5,loss_6,val_acc_1,val_acc_2,val_acc_3,val_acc_4,val_acc_5,val_acc_6,val_acc_ensemble,val_loss_1,val_loss_2,val_loss_3,val_loss_4,val_loss_5,val_loss_6
0,0.9606666564941406,0.965499997138977,0.965833306312561,0.9666666388511658,0.9678333401679993,0.965666651725769,0.9710000157356262,0.3277665674686432,0.08025258034467697,0.12105497717857361,0.13219453394412994,0.13081654906272888,0.11833900213241577,0.9269000291824341,0.9323999881744385,0.929099977016449,0.9318000078201294,0.9319000244140625,0.930899977684021,0.9340000152587891,0.23114483058452606,0.22268308699131012,0.22815492749214172,0.22494380176067352,0.21763120591640472,0.22351831197738647
1,0.9863333106040955,0.9861666560173035,0.9854999780654907,0.9868333339691162,0.9848333597183228,0.9858333468437195,0.9896666407585144,0.2038610577583313,0.04138125479221344,0.11841854453086853,0.14870625734329224,0.14945310354232788,0.17196202278137207,0.9427000284194946,0.9406999945640564,0.9402999877929688,0.9398000240325928,0.9384999871253967,0.9406999945640564,0.9444000124931335,0.19164344668388367,0.19755037128925323,0.19748875498771667,0.1976568102836609,0.20326602458953857,0.1953514963388443
2,0.9946666955947876,0.9944999814033508,0.9925000071525574,0.9938333630561829,0.9938333630561829,0.9934999942779541,0.9953333139419556,0.04753674566745758,0.07486432045698166,0.009840302169322968,0.024652190506458282,0.028061073273420334,0.06330177187919617,0.944100022315979,0.9452000260353088,0.944100022315979,0.9455999732017517,0.9434000253677368,0.9463000297546387,0.9463000297546387,0.18676984310150146,0.18243622779846191,0.18481414020061493,0.18570266664028168,0.1850147247314453,0.1845640391111374
3,0.9973333477973938,0.996999979019165,0.996833324432373,0.9965000152587891,0.9978333115577698,0.996999979019165,0.9976666569709778,0.015305152162909508,0.011275574564933777,0.013186963275074959,0.008523351512849331,0.008266998454928398,0.029664725065231323,0.9470999836921692,0.9469000101089478,0.9466000199317932,0.9466999769210815,0.9472000002861023,0.948199987411499,0.948199987411499,0.1862986832857132,0.18463726341724396,0.1854781061410904,0.18634015321731567,0.18289902806282043,0.18269720673561096
4,0.9993333220481873,0.9986666440963745,0.9980000257492065,0.9986666440963745,0.9986666440963745,0.9983333349227905,0.9990000128746033,0.019692765548825264,0.005407176911830902,0.028427721932530403,0.00431088637560606,0.010222837328910828,0.013889066874980927,0.9477999806404114,0.9473999738693237,0.9460999965667725,0.9480999708175659,0.9473000168800354,0.9472000002861023,0.948199987411499,0.18405058979988098,0.18751254677772522,0.19104470312595367,0.18644602596759796,0.18633371591567993,0.18798989057540894
5,0.9993333220481873,0.9988333582878113,0.9990000128746033,0.9986666440963745,0.9988333582878113,0.9988333582878113,0.9993333220481873,0.004491003695875406,0.009225409477949142,0.0024386656004935503,0.003589704167097807,0.006529204547405243,0.0027804430574178696,0.9491999745368958,0.9470000267028809,0.9472000002861023,0.9484000205993652,0.9466000199317932,0.948199987411499,0.9488999843597412,0.18811999261379242,0.18993869423866272,0.1900562196969986,0.1891004592180252,0.18997228145599365,0.18799646198749542
6,0.999666690826416,0.9990000128746033,0.9991666674613953,0.9994999766349792,0.9993333220481873,0.9993333220481873,0.9994999766349792,0.0014541558921337128,0.005855342373251915,0.004853748716413975,0.0055404771119356155,0.003094285959377885,0.002743127755820751,0.9483000040054321,0.9488999843597412,0.9473999738693237,0.9466999769210815,0.9465000033378601,0.9470000267028809,0.947700023651123,0.19060397148132324,0.1905945986509323,0.19127367436885834,0.18994367122650146,0.1910925954580307,0.1911286860704422
7,0.999666690826416,0.9993333220481873,0.9993333220481873,0.9994999766349792,0.9994999766349792,0.9993333220481873,0.9994999766349792,0.0020056022331118584,0.0037642274983227253,0.0014789729611948133,0.0015994410496205091,0.0028432654216885567,0.0025357198901474476,0.9484000205993652,0.9480000138282776,0.9466999769210815,0.9484000205993652,0.9463000297546387,0.9472000002861023,0.9480000138282776,0.19362856447696686,0.19465290009975433,0.1953195482492447,0.19242888689041138,0.1944219470024109,0.19300074875354767
8,0.999666690826416,0.9994999766349792,0.9993333220481873,0.999666690826416,0.999666690826416,0.9993333220481873,0.9994999766349792,0.0013136129127815366,0.0010745050385594368,0.003356670495122671,0.001969819888472557,0.002263081958517432,0.003192865289747715,0.9476000070571899,0.9491000175476074,0.9476000070571899,0.9484999775886536,0.9465000033378601,0.9478999972343445,0.9477999806404114,0.19722142815589905,0.19659052789211273,0.197709858417511,0.19429023563861847,0.1961217224597931,0.19466765224933624
9,0.999666690826416,0.9994999766349792,0.999666690826416,0.9994999766349792,0.999666690826416,0.999666690826416,0.9994999766349792,0.0024054492823779583,0.0015057706041261554,0.0022213305346667767,0.003070011967793107,0.0013406407088041306,0.00166117656044662,0.948199987411499,0.9485999941825867,0.9474999904632568,0.948199987411499,0.9460999965667725,0.947700023651123,0.948199987411499,0.19968181848526,0.20032262802124023,0.2007828801870346,0.19829487800598145,0.1998644322156906,0.19839316606521606
