,train_loss,val_loss,train_acc,val_acc
0,0.7636206150054932,0.6910700798034668,0.875,0.9142000079154968
1,0.7002345323562622,0.5633609890937805,0.90625,0.928600013256073
2,0.5506824851036072,0.49775058031082153,0.9375,0.9351000189781189
3,0.3471068739891052,0.4405214786529541,1.0,0.9409999847412109
4,0.27737849950790405,0.4057300388813019,1.0,0.9416999816894531
5,0.2530770003795624,0.3569038212299347,1.0,0.9472000002861023
6,0.3087064027786255,0.33484965562820435,0.96875,0.9509999752044678
7,0.2954868674278259,0.30157989263534546,0.96875,0.9528999924659729
8,0.21455559134483337,0.284772664308548,1.0,0.9537000060081482
9,0.2949899435043335,0.27818533778190613,0.9375,0.9516000151634216
