,acc_1,acc_2,acc_3,acc_4,acc_ensemble,loss_1,loss_2,loss_3,loss_4,val_acc_1,val_acc_2,val_acc_3,val_acc_4,val_acc_ensemble,val_loss_1,val_loss_2,val_loss_3,val_loss_4
0,0.9304749965667725,0.9284250140190125,0.9269999861717224,0.9213250279426575,0.958299994468689,0.5390034317970276,0.4828406870365143,0.473000705242157,0.4255846440792084,0.9261999726295471,0.9244375228881836,0.9227874875068665,0.9164999723434448,0.9555749893188477,0.7924973368644714,0.7822465300559998,0.788364827632904,0.8089578151702881
1,0.9667999744415283,0.9672625064849854,0.9679625034332275,0.966237485408783,0.9776625037193298,0.06970701366662979,0.01558093074709177,0.16991740465164185,0.07027599215507507,0.9647625088691711,0.9661874771118164,0.9660875201225281,0.9638375043869019,0.9767125248908997,0.42569151520729065,0.4133354425430298,0.4237425923347473,0.4313637614250183
2,0.9709749817848206,0.971762478351593,0.9720875024795532,0.9705250263214111,0.9796249866485596,0.01119216438382864,0.018409468233585358,0.006854086183011532,0.051067836582660675,0.969712495803833,0.9698749780654907,0.9704874753952026,0.9691749811172485,0.9783375263214111,0.35317862033843994,0.3455187976360321,0.3496464788913727,0.3548557162284851
3,0.9728999733924866,0.9744499921798706,0.9749875068664551,0.9746624827384949,0.9803875088691711,0.0050193448550999165,0.08899113535881042,0.011181795038282871,0.008186044171452522,0.9720625281333923,0.9733874797821045,0.9737125039100647,0.9726625084877014,0.9794124960899353,0.3176495432853699,0.3082052171230316,0.3094640076160431,0.3143983483314514
4,0.9745749831199646,0.9763875007629395,0.9760749936103821,0.9755499958992004,0.98089998960495,0.010138708166778088,0.012222476303577423,0.007863660342991352,0.04723435267806053,0.9737625122070312,0.9752749800682068,0.9746000170707703,0.9738249778747559,0.9803125262260437,0.2960725426673889,0.286918967962265,0.29092705249786377,0.2945019602775574
5,0.9753749966621399,0.9769250154495239,0.9773374795913696,0.9757999777793884,0.9812625050544739,0.005980978719890118,0.007962413132190704,0.011593105271458626,0.008920945227146149,0.9745374917984009,0.9759625196456909,0.975724995136261,0.9737250208854675,0.9803000092506409,0.283113956451416,0.2756648361682892,0.2763434052467346,0.28494134545326233
6,0.9778249859809875,0.9776625037193298,0.9775999784469604,0.9769874811172485,0.9817249774932861,0.008526590652763844,0.00605623796582222,0.003457533661276102,0.004652943462133408,0.976437509059906,0.976687490940094,0.9762874841690063,0.9752874970436096,0.9811375141143799,0.2655128538608551,0.26532167196273804,0.2662157118320465,0.27073779702186584
7,0.9779999852180481,0.9774500131607056,0.9779624938964844,0.9778375029563904,0.9821000099182129,0.010715782642364502,0.007903224788606167,0.007296228781342506,0.005392561201006174,0.976937472820282,0.9764750003814697,0.9764000177383423,0.9763749837875366,0.9811875224113464,0.25818443298339844,0.2608654797077179,0.25990062952041626,0.2608177363872528
8,0.978725016117096,0.9781500101089478,0.9790375232696533,0.9786249995231628,0.9825000166893005,0.0016226326115429401,0.017767006531357765,0.007407332770526409,0.004386174492537975,0.9776999950408936,0.9774875044822693,0.9772999882698059,0.9770500063896179,0.9815499782562256,0.2514747083187103,0.2530069947242737,0.25209951400756836,0.2537950277328491
9,0.9780625104904175,0.9783999919891357,0.9793375134468079,0.9786750078201294,0.98232501745224,0.5572633743286133,0.0038873041048645973,0.003953771665692329,0.0038682331796735525,0.9765750169754028,0.9778375029563904,0.977774977684021,0.9766499996185303,0.9813500046730042,0.2517523467540741,0.24863727390766144,0.2469034641981125,0.2510893940925598
10,0.9789249897003174,0.9787750244140625,0.9794124960899353,0.9789624810218811,0.9823874831199646,0.0024232962168753147,0.0028125429525971413,0.0023340280167758465,0.0066087814047932625,0.9777500033378601,0.97798752784729,0.9778875112533569,0.9771000146865845,0.9815124869346619,0.24508264660835266,0.2448013871908188,0.24343930184841156,0.24681665003299713
11,0.9790624976158142,0.9789749979972839,0.979812502861023,0.9789749979972839,0.9824874997138977,0.002033210126683116,0.005233761854469776,0.0023445035330951214,0.11790801584720612,0.9782624840736389,0.9782249927520752,0.9783250093460083,0.977400004863739,0.9816499948501587,0.24026064574718475,0.24107211828231812,0.23943135142326355,0.24231474101543427
12,0.9792249798774719,0.9790499806404114,0.9797375202178955,0.9789124727249146,0.9824625253677368,0.0017310089897364378,0.006146027706563473,0.004039403051137924,0.007649657316505909,0.9783499836921692,0.9782624840736389,0.9781374931335449,0.9773874878883362,0.9814749956130981,0.2373671680688858,0.23791740834712982,0.23722578585147858,0.24012812972068787
13,0.9794750213623047,0.9791499972343445,0.9797000288963318,0.9791749715805054,0.9826124906539917,0.0019753826782107353,0.005460189655423164,0.0014445092529058456,0.0017148724291473627,0.9786750078201294,0.9784374833106995,0.9782124757766724,0.9775624871253967,0.9816874861717224,0.2347564995288849,0.23492415249347687,0.23508161306381226,0.23690326511859894
14,0.9798374772071838,0.979324996471405,0.9799625277519226,0.979562520980835,0.9826750159263611,0.0017267039511352777,0.0021316600032150745,0.0015037325210869312,0.0019753684755414724,0.9789875149726868,0.9788749814033508,0.9785249829292297,0.97798752784729,0.9819250106811523,0.2315591722726822,0.2320079654455185,0.23176103830337524,0.23400086164474487
