,acc_1,acc_2,acc_ensemble,loss_1,loss_2,val_acc_1,val_acc_2,val_acc_ensemble,val_loss_1,val_loss_2
0,0.9104166626930237,0.9086166620254517,0.9212666749954224,0.2718735933303833,0.21368585526943207,0.906499981880188,0.9115999937057495,0.921999990940094,0.2954292595386505,0.28563418984413147
1,0.9252833127975464,0.9232000112533569,0.9310666918754578,0.1623188555240631,0.161994069814682,0.9230999946594238,0.9233999848365784,0.9297999739646912,0.24710996448993683,0.25601282715797424
2,0.9345333576202393,0.9292333126068115,0.9380499720573425,0.13259799778461456,0.28763294219970703,0.9332000017166138,0.9275000095367432,0.9355999827384949,0.21635039150714874,0.2395123988389969
3,0.9400500059127808,0.9394833445549011,0.9453499913215637,0.026810510084033012,0.09414009749889374,0.9390000104904175,0.9391000270843506,0.9449999928474426,0.20227907598018646,0.20599335432052612
4,0.9437833428382874,0.9415000081062317,0.9467499852180481,0.03828525170683861,0.03903272747993469,0.9399999976158142,0.9362000226974487,0.9442999958992004,0.1904444694519043,0.20252785086631775
5,0.9439333081245422,0.942550003528595,0.9484833478927612,0.016250090673565865,0.10563952475786209,0.9424999952316284,0.9388999938964844,0.9452000260353088,0.1847362369298935,0.19036805629730225
6,0.9467666745185852,0.9459499716758728,0.9494666457176208,0.07496694475412369,0.014950335957109928,0.9452999830245972,0.9413999915122986,0.9476000070571899,0.1798965185880661,0.18941842019557953
7,0.948366641998291,0.9477166533470154,0.950950026512146,0.038218315690755844,0.011001888662576675,0.9467999935150146,0.9455000162124634,0.9492999911308289,0.17825330793857574,0.18369415402412415
8,0.9489499926567078,0.9476333260536194,0.9515166878700256,0.006755759008228779,0.13887140154838562,0.9485999941825867,0.9462000131607056,0.9505000114440918,0.17513136565685272,0.18147970736026764
9,0.9453666806221008,0.9462000131607056,0.9488499760627747,0.00739629240706563,0.005783352069556713,0.9437000155448914,0.9433000087738037,0.9470999836921692,0.19133684039115906,0.1915506273508072
10,0.949916660785675,0.949316680431366,0.9514333605766296,0.013615790754556656,0.011111903935670853,0.9474999904632568,0.9466999769210815,0.9495999813079834,0.17689715325832367,0.18141967058181763
11,0.9499499797821045,0.9497666954994202,0.9517333507537842,0.004702889360487461,0.006370678078383207,0.9469000101089478,0.9477999806404114,0.9488000273704529,0.18019461631774902,0.18341614305973053
12,0.9469333291053772,0.9476500153541565,0.9503666758537292,0.018772538751363754,0.004191804677248001,0.9467999935150146,0.9451000094413757,0.9505000114440918,0.1801445335149765,0.1876499205827713
13,0.9495166540145874,0.9485166668891907,0.9514166712760925,0.009478304535150528,0.0024633631110191345,0.9470999836921692,0.946399986743927,0.9484999775886536,0.1844649612903595,0.18596100807189941
14,0.9429166913032532,0.9514166712760925,0.9498999714851379,0.0052690706215798855,0.43514400720596313,0.939300000667572,0.9487000107765198,0.9470000267028809,0.20829413831233978,0.17781953513622284
