,train_acc_1,train_acc_2,train_acc_ensemble,train_loss_1,train_loss_2,val_acc_1,val_acc_2,val_acc_ensemble,val_loss_1,val_loss_2
0,0.96875,0.875,0.53125,1.1789345741271973,1.5979905128479004,0.9794999957084656,0.9794999957084656,0.9794999957084656,0.6965337991714478,0.6965337991714478
1,1.0,0.96875,0.40625,0.7950971722602844,0.897942304611206,0.9850999712944031,0.9850999712944031,0.9850999712944031,0.4112336039543152,0.4112336039543152
2,0.90625,0.90625,0.25,1.1150437593460083,0.972141683101654,0.9855999946594238,0.9855999946594238,0.9855999946594238,0.32374876737594604,0.32374876737594604
3,1.0,1.0,0.5625,0.4624685049057007,0.3237912952899933,0.9853000044822693,0.9853000044822693,0.9853000044822693,0.28591060638427734,0.28591060638427734
4,1.0,0.96875,0.375,0.5584239363670349,0.4860359728336334,0.9858999848365784,0.9858999848365784,0.9858999848365784,0.2676868438720703,0.2676868438720703
5,1.0,1.0,0.65625,0.2942882180213928,0.5679075717926025,0.9848999977111816,0.9848999977111816,0.9848999977111816,0.2548544406890869,0.2548544406890869
6,1.0,1.0,0.5,0.3636060655117035,0.34934201836586,0.9866999983787537,0.9866999983787537,0.9866999983787537,0.233672633767128,0.233672633767128
7,1.0,0.90625,0.65625,0.2677695155143738,0.9830203652381897,0.9861999750137329,0.9861999750137329,0.9861999750137329,0.21952782571315765,0.21952782571315765
8,1.0,0.96875,0.5,0.43128031492233276,0.4397059679031372,0.9872000217437744,0.9872000217437744,0.9872000217437744,0.20721392333507538,0.20721392333507538
9,1.0,0.96875,0.40625,0.324289470911026,0.37160417437553406,0.9868999719619751,0.9868999719619751,0.9868999719619751,0.1984662413597107,0.1984662413597107
10,1.0,1.0,0.625,0.11384818702936172,0.20076289772987366,0.9866999983787537,0.9866999983787537,0.9866999983787537,0.18940609693527222,0.18940609693527222
11,1.0,0.96875,0.34375,0.3441786766052246,0.29413866996765137,0.9872000217437744,0.9872000217437744,0.9872000217437744,0.18091142177581787,0.18091142177581787
12,1.0,1.0,0.34375,0.19518212974071503,0.13998781144618988,0.9878000020980835,0.9878000020980835,0.9878000020980835,0.17435187101364136,0.17435187101364136
13,1.0,1.0,0.5,0.08220001310110092,0.13333283364772797,0.9872999787330627,0.9872999787330627,0.9872999787330627,0.17049677670001984,0.17049677670001984
14,1.0,1.0,0.5,0.22642037272453308,0.1679261326789856,0.987500011920929,0.987500011920929,0.987500011920929,0.1641305387020111,0.1641305387020111
