,acc_ensemble,acc_1,acc_2,acc_3,acc_4,acc_5,val_acc_ensemble,val_acc_1,val_acc_2,val_acc_3,val_acc_4,val_acc_5,loss_1,loss_2,loss_3,loss_4,loss_5,val_loss_1,val_loss_2,val_loss_3,val_loss_4,val_loss_5
0,1.0,1.0,1.0,0.9983333349227905,1.0,1.0,0.8992000222206116,0.8873000144958496,0.8884999752044678,0.8787000179290771,0.8776000142097473,0.8881999850273132,0.0029465293046087027,0.007301129400730133,0.002097584307193756,0.0037924128118902445,0.002266919706016779,0.42797520756721497,0.43483471870422363,0.4610389173030853,0.4694756865501404,0.4319840967655182
1,1.0,1.0,1.0,1.0,1.0,1.0,0.9024999737739563,0.8946999907493591,0.8949000239372253,0.8937000036239624,0.8912000060081482,0.8939999938011169,0.0006417526165023446,0.0007637702510692179,0.00048462842823937535,0.00043388461926952004,0.0009961893083527684,0.41982167959213257,0.4211128056049347,0.4272824227809906,0.4291404187679291,0.43425115942955017
2,1.0,1.0,1.0,1.0,1.0,1.0,0.9041000008583069,0.8981000185012817,0.8966000080108643,0.8949000239372253,0.8937000036239624,0.8962000012397766,0.00033355457708239555,0.0003684312687255442,0.000276756938546896,0.0004661346029024571,0.0002330015122424811,0.41685229539871216,0.4189335107803345,0.42362022399902344,0.42641353607177734,0.4288003444671631
3,1.0,1.0,1.0,1.0,1.0,1.0,0.9042999744415283,0.8989999890327454,0.8981999754905701,0.8962000012397766,0.8948000073432922,0.8974000215530396,0.0003367342578712851,0.00036535828257910907,0.0004762016178574413,0.0002286958770127967,0.0002821756643243134,0.41712886095046997,0.42103052139282227,0.42423149943351746,0.42614981532096863,0.4290599226951599
4,1.0,1.0,1.0,1.0,1.0,1.0,0.904699981212616,0.9006999731063843,0.8988999724388123,0.8963000178337097,0.8953999876976013,0.8977000117301941,0.00019544210226740688,0.00014385234680958092,0.0002594279358163476,0.0001999414525926113,0.0001505303953308612,0.4175879955291748,0.42231112718582153,0.425823450088501,0.4268571436405182,0.43043339252471924
5,1.0,1.0,1.0,1.0,1.0,1.0,0.9049000144004822,0.9010000228881836,0.8998000025749207,0.896399974822998,0.8953999876976013,0.8991000056266785,0.0001394925347995013,0.00011209297372261062,0.000323811371345073,0.00015254163008648902,0.00011665163765428588,0.4191758930683136,0.4241870641708374,0.4275625944137573,0.42801421880722046,0.4314117729663849
6,1.0,1.0,1.0,1.0,1.0,1.0,0.9049000144004822,0.901199996471405,0.900600016117096,0.8974999785423279,0.8959000110626221,0.8992000222206116,0.00010567856952548027,0.00010670875053619966,0.00015207607066258788,0.0001225537998834625,0.00024048077466432005,0.4206182658672333,0.42634615302085876,0.4291638731956482,0.4290838837623596,0.43297630548477173
7,1.0,1.0,1.0,1.0,1.0,1.0,0.9049999713897705,0.9014999866485596,0.9000999927520752,0.8978000283241272,0.895799994468689,0.8991000056266785,0.00012031396181555465,9.729936573421583e-05,8.774162415647879e-05,8.653219265397638e-05,0.00011338314652675763,0.42235058546066284,0.42874112725257874,0.43076297640800476,0.43045634031295776,0.43470001220703125
8,1.0,1.0,1.0,1.0,1.0,1.0,0.9050999879837036,0.9017000198364258,0.900600016117096,0.8980000019073486,0.8970000147819519,0.899399995803833,8.164036262314767e-05,8.576008985983208e-05,8.52988741826266e-05,0.00011211576929781586,8.400525257457048e-05,0.42406323552131653,0.4305950105190277,0.4320935904979706,0.431793749332428,0.4361059069633484
9,1.0,1.0,1.0,1.0,1.0,1.0,0.9053999781608582,0.9016000032424927,0.9014999866485596,0.8984000086784363,0.8974999785423279,0.8996999859809875,0.0001440613268641755,9.567828965373337e-05,5.486268491949886e-05,0.0001045416938723065,5.107407196192071e-05,0.4260155260562897,0.4325352907180786,0.43371912837028503,0.43359461426734924,0.43804043531417847
