,train_acc_1,train_acc_2,train_acc_3,train_acc_4,train_loss_1,train_loss_2,train_loss_3,train_loss_4,val_acc,val_acc_1,val_acc_2,val_acc_3,val_acc_4,val_loss_1,val_loss_2,val_loss_3,val_loss_4
0,0.78125,0.84375,0.875,0.8125,0.8685957193374634,0.6641682386398315,0.5401504039764404,0.8673984408378601,0.9212999939918518,0.8500000238418579,0.8457000255584717,0.8737999796867371,0.8610000014305115,0.7679119110107422,0.6931252479553223,0.6648350358009338,0.7027678489685059
1,0.8125,0.84375,0.90625,0.84375,0.6500732898712158,0.619353175163269,0.5021673440933228,0.5426058769226074,0.9571999907493591,0.928600013256073,0.9283999800682068,0.9330000281333923,0.9223999977111816,0.32333192229270935,0.3225569427013397,0.30001041293144226,0.3491678535938263
2,0.90625,0.90625,0.90625,0.90625,0.3059999644756317,0.33889836072921753,0.504731297492981,0.2753634452819824,0.964900016784668,0.9466999769210815,0.9368000030517578,0.9452000260353088,0.9376000165939331,0.22540715336799622,0.2475809007883072,0.22082622349262238,0.2566014528274536
3,0.96875,0.90625,1.0,0.9375,0.17785345017910004,0.334685742855072,0.06640516966581345,0.22627373039722443,0.9686999917030334,0.9485999941825867,0.9472000002861023,0.9541000127792358,0.9506000280380249,0.19849567115306854,0.20172056555747986,0.17686288058757782,0.20478451251983643
4,0.96875,1.0,0.90625,0.96875,0.19618716835975647,0.04757649078965187,0.1891484558582306,0.16476616263389587,0.972000002861023,0.9577000141143799,0.9559000134468079,0.9544000029563904,0.9563999772071838,0.16091811656951904,0.1636313647031784,0.15903586149215698,0.1628643423318863
5,0.9375,0.9375,0.96875,0.96875,0.17596441507339478,0.23721304535865784,0.1098908856511116,0.12865102291107178,0.9753000140190125,0.9599000215530396,0.960099995136261,0.9646999835968018,0.9578999876976013,0.1496950089931488,0.14955109357833862,0.12765441834926605,0.1545812487602234
6,0.96875,0.9375,0.9375,0.96875,0.08881691843271255,0.11345615983009338,0.2058534026145935,0.10461980849504471,0.9742000102996826,0.9610999822616577,0.9629999995231628,0.9671000242233276,0.9563000202178955,0.13159756362438202,0.13155043125152588,0.12430170923471451,0.14908826351165771
7,0.96875,0.9375,1.0,0.96875,0.08031520247459412,0.17467321455478668,0.03073485940694809,0.14659100770950317,0.9775000214576721,0.9635000228881836,0.963100016117096,0.9688000082969666,0.9635000228881836,0.1275629997253418,0.13241161406040192,0.11355563998222351,0.12365210056304932
8,1.0,0.9375,1.0,0.96875,0.07199756801128387,0.24354717135429382,0.067288339138031,0.12073811888694763,0.9781000018119812,0.9634000062942505,0.9631999731063843,0.9692000150680542,0.9656999707221985,0.1265283077955246,0.12124098837375641,0.10414838790893555,0.11606492847204208
9,0.9375,0.96875,0.96875,0.96875,0.14360357820987701,0.0913548618555069,0.06028373911976814,0.15943725407123566,0.9797000288963318,0.9659000039100647,0.96670001745224,0.9699000120162964,0.9641000032424927,0.11404503136873245,0.11290065944194794,0.09905707091093063,0.12355096638202667
