,acc_ensemble,acc_1,acc_2,acc_3,acc_4,acc_5,val_acc_ensemble,val_acc_1,val_acc_2,val_acc_3,val_acc_4,val_acc_5,loss_1,loss_2,loss_3,loss_4,loss_5,val_loss_1,val_loss_2,val_loss_3,val_loss_4,val_loss_5
0,1.0,0.9950000047683716,1.0,0.9983333349227905,1.0,1.0,0.9010000228881836,0.887499988079071,0.8815000057220459,0.8784000277519226,0.8788999915122986,0.8903999924659729,0.003928389400243759,0.007747718598693609,0.006433642935007811,0.0038787382654845715,0.013275763019919395,0.4114612936973572,0.4137323200702667,0.41776737570762634,0.4225385785102844,0.3988037407398224
1,1.0,1.0,1.0,1.0,1.0,1.0,0.906499981880188,0.8998000025749207,0.892300009727478,0.8919000029563904,0.8977000117301941,0.8959000110626221,0.001028514001518488,0.0009630799177102745,0.0011832169257104397,0.00167434464674443,0.0009068413637578487,0.37783828377723694,0.40584254264831543,0.4019230008125305,0.38060614466667175,0.38858237862586975
2,1.0,1.0,1.0,1.0,1.0,1.0,0.9078999757766724,0.9017000198364258,0.8928999900817871,0.8956999778747559,0.8998000025749207,0.8973000049591064,0.001357763772830367,0.0007236389210447669,0.0007910236599855125,0.0004978011129423976,0.0006991552654653788,0.3803141713142395,0.4094243049621582,0.4033198356628418,0.38356518745422363,0.39137572050094604
3,1.0,1.0,1.0,1.0,1.0,1.0,0.9082000255584717,0.9018999934196472,0.8938000202178955,0.8970000147819519,0.8988999724388123,0.8985999822616577,0.0006510746898129582,0.00038025446701794863,0.0003432896046433598,0.0002110050991177559,0.0005546411848627031,0.3868534564971924,0.4130684435367584,0.40633946657180786,0.3887174427509308,0.395609587430954
4,1.0,1.0,1.0,1.0,1.0,1.0,0.9085000157356262,0.9021000266075134,0.89410001039505,0.897599995136261,0.9009000062942505,0.8992999792098999,0.00031244390993379056,0.00026052515022456646,0.0003239817451685667,0.000260207278188318,0.0003539297904353589,0.3905797004699707,0.4163987338542938,0.4088669717311859,0.3918633460998535,0.39853420853614807
5,1.0,1.0,1.0,1.0,1.0,1.0,0.9089000225067139,0.9024999737739563,0.8944000005722046,0.8971999883651733,0.9002000093460083,0.900600016117096,0.00023217737907543778,0.00015134431305341423,0.0002047667803708464,0.00014983615255914629,0.0001571008760947734,0.3939953148365021,0.4201066493988037,0.4124339818954468,0.39528346061706543,0.4010736048221588
6,1.0,1.0,1.0,1.0,1.0,1.0,0.9090999960899353,0.9028000235557556,0.8949000239372253,0.8974000215530396,0.9004999995231628,0.901199996471405,0.00014853151515126228,0.00024686765391379595,0.00025156376068480313,0.00020360956841614097,0.00018438164261169732,0.39665156602859497,0.42202144861221313,0.4151804745197296,0.3979520797729492,0.40367037057876587
7,1.0,1.0,1.0,1.0,1.0,1.0,0.9093999862670898,0.9038000106811523,0.8953999876976013,0.897599995136261,0.9006999731063843,0.9002000093460083,0.00012865511234849691,0.00021661657956428826,0.00025335222017019987,0.000179555470822379,0.00030230937409214675,0.3990437388420105,0.4248131215572357,0.4182685911655426,0.40030568838119507,0.406753808259964
8,1.0,1.0,1.0,1.0,1.0,1.0,0.9097999930381775,0.9035999774932861,0.8956000208854675,0.8974999785423279,0.9007999897003174,0.9007999897003174,0.0002337807381991297,0.0001367715885862708,0.00013253730139695108,0.0001262771838810295,7.895071757957339e-05,0.40265512466430664,0.4276771545410156,0.4208797812461853,0.4027315080165863,0.4086925685405731
9,1.0,1.0,1.0,1.0,1.0,1.0,0.9099000096321106,0.9038000106811523,0.8962000012397766,0.8977000117301941,0.9010000228881836,0.9010000228881836,0.00010229576582787558,8.591011282987893e-05,0.00012433210213202983,0.00015939389413688332,0.0001343408366665244,0.40495261549949646,0.4299603998661041,0.42377015948295593,0.4053449034690857,0.4111759662628174
