,acc_ensemble,acc_1,acc_2,acc_3,acc_4,acc_5,acc_6,val_acc_ensemble,val_acc_1,val_acc_2,val_acc_3,val_acc_4,val_acc_5,val_acc_6,loss_1,loss_2,loss_3,loss_4,loss_5,loss_6,val_loss_1,val_loss_2,val_loss_3,val_loss_4,val_loss_5,val_loss_6
0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8950999975204468,0.8950999975204468,0.8950999975204468,0.8950999975204468,0.8950999975204468,0.8950999975204468,0.8950999975204468,0.007560500875115395,0.015953321009874344,0.00862237811088562,0.0078058852814137936,0.01197846420109272,0.007357024122029543,0.3613521158695221,0.3613521158695221,0.3613521158695221,0.3613521158695221,0.3613521158695221,0.3613521158695221
1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8956999778747559,0.8956999778747559,0.8956999778747559,0.8956999778747559,0.8956999778747559,0.8956999778747559,0.8956999778747559,0.0032403701916337013,0.003289454849436879,0.0028662653639912605,0.0021382421255111694,0.004285793751478195,0.004658950492739677,0.3689960837364197,0.3689960837364197,0.3689960837364197,0.3689960837364197,0.3689960837364197,0.3689960837364197
2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8952000141143799,0.8952000141143799,0.8952000141143799,0.8952000141143799,0.8952000141143799,0.8952000141143799,0.8952000141143799,0.001912146806716919,0.002108221407979727,0.002212420105934143,0.0022359457798302174,0.00106798333581537,0.0018498273566365242,0.37644878029823303,0.37644878029823303,0.37644878029823303,0.37644878029823303,0.37644878029823303,0.37644878029823303
3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8952999711036682,0.8952999711036682,0.8952999711036682,0.8952999711036682,0.8952999711036682,0.8952999711036682,0.8952999711036682,0.0015160986222326756,0.0015160986222326756,0.001139372936449945,0.0012726167915388942,0.0016300335992127657,0.0013357758289203048,0.3841888904571533,0.3841888904571533,0.3841888904571533,0.3841888904571533,0.3841888904571533,0.3841888904571533
4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8948000073432922,0.8948000073432922,0.8948000073432922,0.8948000073432922,0.8948000073432922,0.8948000073432922,0.8948000073432922,0.0007380461320281029,0.0007368222577497363,0.000905582623090595,0.0008795051835477352,0.0011333571746945381,0.0006562310736626387,0.39042454957962036,0.39042454957962036,0.39042454957962036,0.39042454957962036,0.39042454957962036,0.39042454957962036
5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.89410001039505,0.89410001039505,0.89410001039505,0.89410001039505,0.89410001039505,0.89410001039505,0.89410001039505,0.0005759509513154626,0.0006577942986041307,0.0003872243978548795,0.0006577942986041307,0.00034870204399339855,0.00070380256511271,0.39504337310791016,0.39504337310791016,0.39504337310791016,0.39504337310791016,0.39504337310791016,0.39504337310791016
6,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8931999802589417,0.8931999802589417,0.8931999802589417,0.8931999802589417,0.8931999802589417,0.8931999802589417,0.8931999802589417,0.0005258928285911679,0.0004782985779456794,0.00045423509436659515,0.000486180157167837,0.0004954352625645697,0.000540875073056668,0.40129441022872925,0.40129441022872925,0.40129441022872925,0.40129441022872925,0.40129441022872925,0.40129441022872925
7,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8930000066757202,0.8930000066757202,0.8930000066757202,0.8930000066757202,0.8930000066757202,0.8930000066757202,0.8930000066757202,0.0003053511318285018,0.0004031002172268927,0.000436925794929266,0.00020414665050338954,0.0002986622857861221,0.00042032793862745166,0.40590471029281616,0.40590471029281616,0.40590471029281616,0.40590471029281616,0.40590471029281616,0.40590471029281616
8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8934000134468079,0.8934000134468079,0.8934000134468079,0.8934000134468079,0.8934000134468079,0.8934000134468079,0.8934000134468079,0.0002942055289167911,0.00029443303355947137,0.0003264041733928025,0.0003431019722484052,0.0003861016593873501,0.0003817304386757314,0.41098785400390625,0.41098785400390625,0.41098785400390625,0.41098785400390625,0.41098785400390625,0.41098785400390625
9,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8925999999046326,0.8925999999046326,0.8925999999046326,0.8925999999046326,0.8925999999046326,0.8925999999046326,0.8925999999046326,0.00025634339544922113,0.0002486615558154881,0.0002326427784282714,0.0002368890418438241,0.00031690532341599464,0.0003214009338989854,0.4155098497867584,0.4155098497867584,0.4155098497867584,0.4155098497867584,0.4155098497867584,0.4155098497867584
