,acc_1,acc_2,acc_ensemble,loss_1,loss_2,val_acc_1,val_acc_2,val_acc_ensemble,val_loss_1,val_loss_2
0,0.9162833094596863,0.9197666645050049,0.9298333525657654,0.1461395025253296,0.2748403549194336,0.9132999777793884,0.9215999841690063,0.9296000003814697,0.2790551781654358,0.25849348306655884
1,0.9299833178520203,0.9323166608810425,0.942716658115387,0.1650429368019104,0.047048211097717285,0.9302999973297119,0.9333999752998352,0.9426000118255615,0.22428500652313232,0.22036471962928772
2,0.9370499849319458,0.9370999932289124,0.948116660118103,0.05617034062743187,0.6203519105911255,0.9354000091552734,0.9322999715805054,0.946399986743927,0.20587344467639923,0.21466366946697235
3,0.9394500255584717,0.9410666823387146,0.9500499963760376,0.05097873508930206,0.089295893907547,0.9352999925613403,0.9376000165939331,0.9466000199317932,0.20200935006141663,0.19720488786697388
4,0.9479166865348816,0.9417833089828491,0.9535499811172485,0.06163931265473366,0.03718653321266174,0.9434999823570251,0.9406999945640564,0.95169997215271,0.17631514370441437,0.19264166057109833
5,0.9478333592414856,0.9479166865348816,0.954200029373169,0.020060308277606964,0.25060585141181946,0.9437000155448914,0.942799985408783,0.9514999985694885,0.1797926276922226,0.1793162077665329
6,0.9445499777793884,0.9472000002861023,0.9538166522979736,0.0741434097290039,0.0032257437705993652,0.940500020980835,0.9437999725341797,0.9503999948501587,0.19243161380290985,0.1818292737007141
7,0.9501333236694336,0.9445333480834961,0.9556499719619751,0.022254228591918945,0.022012917324900627,0.9470999836921692,0.9409999847412109,0.9517999887466431,0.17968159914016724,0.19860610365867615
8,0.9472833275794983,0.949566662311554,0.9558166861534119,0.00375547306612134,0.022420264780521393,0.9419999718666077,0.9485999941825867,0.9524000287055969,0.18872074782848358,0.1718873232603073
9,0.948366641998291,0.9513333439826965,0.9557833075523376,0.019050519913434982,0.01624736376106739,0.9409999847412109,0.9459999799728394,0.9514999985694885,0.19426670670509338,0.17411433160305023
10,0.951533317565918,0.9522333145141602,0.9585333466529846,0.03101033717393875,0.008695696480572224,0.9473000168800354,0.9478999972343445,0.9541000127792358,0.17854703962802887,0.17087586224079132
11,0.9477333426475525,0.953416645526886,0.9575166702270508,0.005227598361670971,0.006661153864115477,0.942300021648407,0.9510999917984009,0.9546999931335449,0.19502902030944824,0.1644892394542694
12,0.9417499899864197,0.9575833082199097,0.9559500217437744,0.012220037169754505,0.002915895078331232,0.9380000233650208,0.9520999789237976,0.9517999887466431,0.2169802188873291,0.15790727734565735
13,0.9467499852180481,0.9510833621025085,0.9577500224113464,0.016658049076795578,0.0029104407876729965,0.9447000026702881,0.9467999935150146,0.9545999765396118,0.19400237500667572,0.17369292676448822
14,0.9547833204269409,0.9521499872207642,0.9590666890144348,0.012833945453166962,0.0037619853392243385,0.9537000060081482,0.9491000175476074,0.9564999938011169,0.15977080166339874,0.17812944948673248
