,acc_ensemble,acc_1,acc_2,acc_3,acc_4,val_acc_ensemble,val_acc_1,val_acc_2,val_acc_3,val_acc_4,loss_1,loss_2,loss_3,loss_4,val_loss_1,val_loss_2,val_loss_3,val_loss_4
0,1.0,0.996666669845581,0.996666669845581,0.996666669845581,0.9950000047683716,0.9039000272750854,0.8813999891281128,0.8708999752998352,0.8826000094413757,0.8781999945640564,0.07692036777734756,0.0020188346970826387,0.008209972642362118,0.0017923874547705054,0.4340282678604126,0.4638238251209259,0.4218554198741913,0.4600566327571869
1,1.0,1.0,1.0,1.0,1.0,0.9122999906539917,0.8981999754905701,0.8934999704360962,0.8984000086784363,0.8985000252723694,0.0007760166190564632,0.0006418474949896336,0.00037104071816429496,0.001624047989025712,0.40415245294570923,0.42015859484672546,0.38267284631729126,0.40363162755966187
2,1.0,1.0,1.0,1.0,1.0,0.9118000268936157,0.8995000123977661,0.8985000252723694,0.8992999792098999,0.9003999829292297,0.0006086356588639319,0.0005763520020991564,0.0002777882618829608,0.000761740084271878,0.40389561653137207,0.4111305773258209,0.3899019658565521,0.407534122467041
3,1.0,1.0,1.0,1.0,1.0,0.9118000268936157,0.8992999792098999,0.8992000222206116,0.9003000259399414,0.9018999934196472,0.00021902559092268348,0.0002625133784022182,0.00022456099395640194,0.00019029714167118073,0.4074473977088928,0.41193217039108276,0.3916741907596588,0.411240816116333
4,1.0,1.0,1.0,1.0,1.0,0.9120000004768372,0.8998000025749207,0.9002000093460083,0.9016000032424927,0.9018999934196472,0.0006872619851492345,0.000195626838831231,0.0005046997684985399,0.00019149303261656314,0.4119161069393158,0.4146091938018799,0.3943069577217102,0.4130358397960663
5,1.0,1.0,1.0,1.0,1.0,0.9114999771118164,0.900600016117096,0.901199996471405,0.9017999768257141,0.9031000137329102,0.00017258187290281057,9.045531623996794e-05,0.0001599184615770355,0.00018117306171916425,0.4147012233734131,0.4164404273033142,0.3970286250114441,0.41627734899520874
6,1.0,1.0,1.0,1.0,1.0,0.9117000102996826,0.900600016117096,0.9016000032424927,0.9017999768257141,0.9036999940872192,0.00010646785085555166,0.00011725501099135727,0.00012108306691516191,5.824775143992156e-05,0.41759228706359863,0.4184865355491638,0.3997718393802643,0.41851210594177246
7,1.0,1.0,1.0,1.0,1.0,0.9114000201225281,0.9007999897003174,0.9018999934196472,0.902400016784668,0.9039999842643738,0.00015460883150808513,0.00011822405213024467,7.18463197699748e-05,9.860048885457218e-05,0.4196420907974243,0.42092227935791016,0.4016023576259613,0.42077821493148804
8,1.0,1.0,1.0,1.0,1.0,0.9118000268936157,0.9014000296592712,0.9023000001907349,0.9021000266075134,0.9039999842643738,0.00012279576912987977,0.00013460946502164006,0.00010139329242520034,6.790494080632925e-05,0.42200425267219543,0.4231331944465637,0.4041654169559479,0.42362383008003235
9,1.0,1.0,1.0,1.0,1.0,0.9118000268936157,0.9014999866485596,0.9023000001907349,0.9023000001907349,0.9034000039100647,0.00010983635002048686,0.0001186439985758625,0.00014521657431032509,6.680595106445253e-05,0.42426827549934387,0.42510557174682617,0.4064026474952698,0.4259588420391083
