,train_acc_1,train_acc_2,train_acc_3,train_acc_4,train_loss_1,train_loss_2,train_loss_3,train_loss_4,val_acc,val_acc_1,val_acc_2,val_acc_3,val_acc_4,val_loss_1,val_loss_2,val_loss_3,val_loss_4
0,0.84375,0.8125,0.9375,0.90625,1.012385368347168,0.9592992067337036,0.7562898397445679,0.7611598372459412,0.8855000138282776,0.8319000005722046,0.8144000172615051,0.8644999861717224,0.816100001335144,0.8932666182518005,0.8690343499183655,0.7867162823677063,0.842415452003479
1,0.9375,0.9375,0.90625,0.90625,0.3106575608253479,0.3765777349472046,0.3470139801502228,0.3412715494632721,0.9563000202178955,0.9502999782562256,0.9470000267028809,0.9517999887466431,0.9517999887466431,0.2798619270324707,0.28210338950157166,0.2686869502067566,0.2667323648929596
2,0.96875,0.96875,0.96875,1.0,0.11292070150375366,0.13937178254127502,0.14590059220790863,0.16746151447296143,0.968500018119812,0.964900016784668,0.9639000296592712,0.9671000242233276,0.9621000289916992,0.16563257575035095,0.1678229719400406,0.15272295475006104,0.16377389430999756
3,0.96875,1.0,0.9375,0.9375,0.17367252707481384,0.07651006430387497,0.23846560716629028,0.1900426596403122,0.9670000076293945,0.967199981212616,0.9661999940872192,0.9650999903678894,0.9663000106811523,0.12912416458129883,0.13249069452285767,0.12958279252052307,0.1287534087896347
4,0.96875,0.96875,1.0,0.96875,0.1553329974412918,0.09923548996448517,0.06955380737781525,0.0865044891834259,0.972100019454956,0.9708999991416931,0.9692000150680542,0.9710000157356262,0.9718999862670898,0.10892414301633835,0.11009933799505234,0.10757488012313843,0.10836969316005707
5,1.0,1.0,0.96875,1.0,0.06234605982899666,0.07296060025691986,0.17294231057167053,0.04858297109603882,0.9715999960899353,0.9702000021934509,0.97079998254776,0.972100019454956,0.9708999991416931,0.10203000158071518,0.1019241139292717,0.09583047777414322,0.10057538747787476
6,0.96875,0.96875,1.0,1.0,0.12368936091661453,0.07046221941709518,0.051768958568573,0.036703936755657196,0.9775000214576721,0.9764999747276306,0.9753000140190125,0.9761999845504761,0.9763000011444092,0.08189669996500015,0.08590339124202728,0.08388566970825195,0.08359292149543762
7,0.9375,1.0,1.0,0.96875,0.1202838271856308,0.015049013309180737,0.031714051961898804,0.0786815732717514,0.9782000184059143,0.9765999913215637,0.9772999882698059,0.9772999882698059,0.9771000146865845,0.07901299744844437,0.08019717037677765,0.07826271653175354,0.07933760434389114
8,1.0,1.0,1.0,1.0,0.004977931268513203,0.02110724337399006,0.013225401751697063,0.005816983990371227,0.9794999957084656,0.9779999852180481,0.9775000214576721,0.978600025177002,0.9778000116348267,0.07160164415836334,0.07360201328992844,0.07187823951244354,0.07297351211309433
9,1.0,1.0,1.0,1.0,0.018169183284044266,0.01184912770986557,0.014226982370018959,0.009048571810126305,0.9789000153541565,0.9782999753952026,0.9765999913215637,0.9769999980926514,0.9778000116348267,0.07429542392492294,0.07604699581861496,0.07504095137119293,0.07531072944402695
10,1.0,1.0,1.0,1.0,0.012285519391298294,0.009596605785191059,0.007992620579898357,0.014086433686316013,0.9794999957084656,0.9785000085830688,0.9776999950408936,0.9779000282287598,0.9790999889373779,0.0716370940208435,0.07463213056325912,0.072689488530159,0.07410157471895218
11,1.0,1.0,1.0,1.0,0.006447171792387962,0.006186952814459801,0.007309513166546822,0.0034656496718525887,0.9764000177383423,0.9761999845504761,0.9761999845504761,0.9764999747276306,0.9757999777793884,0.08001253753900528,0.08142321556806564,0.0791030004620552,0.08121751993894577
12,1.0,1.0,1.0,1.0,0.01659310609102249,0.007824601605534554,0.0038137754891067743,0.014660061337053776,0.9787999987602234,0.9789999723434448,0.9781000018119812,0.9783999919891357,0.9776999950408936,0.06950816512107849,0.07041345536708832,0.06840573996305466,0.07089047878980637
13,1.0,1.0,1.0,1.0,0.001581688178703189,0.0035608019679784775,0.004206990823149681,0.005396638065576553,0.980400025844574,0.9797000288963318,0.9789000153541565,0.9793999791145325,0.9800000190734863,0.06587141752243042,0.06746277958154678,0.06575985997915268,0.06697648763656616
14,1.0,1.0,1.0,1.0,0.007769090589135885,0.00793413445353508,0.011222750879824162,0.005572989583015442,0.9779999852180481,0.9769999980926514,0.9763000011444092,0.9772999882698059,0.9768000245094299,0.07476028800010681,0.07501747459173203,0.07420682907104492,0.07533775269985199
15,1.0,1.0,1.0,1.0,0.0027031644713133574,0.0056481813080608845,0.004307721275836229,0.0035059398505836725,0.9793999791145325,0.9801999926567078,0.9779000282287598,0.978600025177002,0.9796000123023987,0.06647486239671707,0.06820198893547058,0.06654344499111176,0.06876819580793381
16,1.0,0.96875,1.0,1.0,0.0034972415305674076,0.06824450939893723,0.0034989702980965376,0.002501260954886675,0.9796000123023987,0.9803000092506409,0.978600025177002,0.9786999821662903,0.9793999791145325,0.06621372699737549,0.0674973800778389,0.06677764654159546,0.06727869063615799
17,1.0,1.0,0.9375,1.0,0.0026104296557605267,0.0030845212750136852,0.183135524392128,0.004565844777971506,0.9807000160217285,0.9803000092506409,0.9803000092506409,0.9794999957084656,0.9799000024795532,0.06539309024810791,0.06568454951047897,0.06527404487133026,0.0664474368095398
18,1.0,1.0,1.0,1.0,0.002615672070533037,0.0019109513377770782,0.002340520266443491,0.006242421921342611,0.9797000288963318,0.979200005531311,0.9793000221252441,0.9789999723434448,0.9783999919891357,0.0679422989487648,0.06833673268556595,0.06707833707332611,0.0688990131020546
19,1.0,1.0,1.0,1.0,0.0024946867488324642,0.01238917000591755,0.0012198835611343384,0.0015489145880565047,0.9799000024795532,0.9800000190734863,0.9789999723434448,0.9793000221252441,0.9803000092506409,0.06568089872598648,0.06670236587524414,0.06541433185338974,0.06679290533065796
20,1.0,1.0,0.96875,1.0,0.00146082928404212,0.003535793162882328,0.045228518545627594,0.00627469178289175,0.9793999791145325,0.9787999987602234,0.9797000288963318,0.979200005531311,0.9790999889373779,0.06525767594575882,0.06560119986534119,0.06449355185031891,0.06686882674694061
21,1.0,1.0,1.0,1.0,0.005602783989161253,0.0023121326230466366,0.006825420074164867,0.0029639725107699633,0.9772999882698059,0.977400004863739,0.9769999980926514,0.9779999852180481,0.9775000214576721,0.07539954781532288,0.07652541249990463,0.0759037509560585,0.07754964381456375
22,1.0,1.0,1.0,1.0,0.0032807199750095606,0.0011181342415511608,0.0009763573762029409,0.0015132619300857186,0.9797999858856201,0.9803000092506409,0.9800000190734863,0.9796000123023987,0.9796000123023987,0.06590889394283295,0.06589649617671967,0.06509478390216827,0.06653060019016266
23,1.0,1.0,1.0,1.0,0.00238438555970788,0.0011210651136934757,0.0021646260283887386,0.003068944439291954,0.9804999828338623,0.9800999760627747,0.9800000190734863,0.9803000092506409,0.9797999858856201,0.06611108034849167,0.0660281851887703,0.0649811401963234,0.06691707670688629
24,1.0,1.0,1.0,1.0,0.0013925805687904358,0.002313000615686178,0.0019176651258021593,0.0013560220832005143,0.9796000123023987,0.9796000123023987,0.9796000123023987,0.9793000221252441,0.9804999828338623,0.06551486998796463,0.06557874381542206,0.0646301880478859,0.06628676503896713
25,1.0,1.0,1.0,1.0,0.001161148538812995,0.0009182345820590854,0.0013725223252549767,0.001921128248795867,0.9800000190734863,0.9793999791145325,0.9800999760627747,0.980400025844574,0.980400025844574,0.06576775014400482,0.06567428261041641,0.06531146913766861,0.06653516739606857
26,1.0,1.0,1.0,1.0,0.0007692649378441274,0.0008291134727187455,0.0015039944555610418,0.001954238163307309,0.9810000061988831,0.9804999828338623,0.98089998960495,0.9800000190734863,0.9807000160217285,0.0637793242931366,0.06401782482862473,0.06362014263868332,0.06454917788505554
27,1.0,1.0,1.0,1.0,0.0013170395977795124,0.0008586316835135221,0.03330432251095772,0.0022392282262444496,0.9800999760627747,0.9804999828338623,0.98089998960495,0.9801999926567078,0.9804999828338623,0.06420090049505234,0.06422722339630127,0.06396931409835815,0.0650959387421608
28,1.0,1.0,1.0,1.0,0.0012412043288350105,0.0011786110699176788,0.0008037382503971457,0.0016926571261137724,0.9799000024795532,0.9789000153541565,0.9800999760627747,0.9800000190734863,0.979200005531311,0.06598703563213348,0.06583654135465622,0.06546894460916519,0.06678956747055054
29,1.0,1.0,1.0,1.0,0.0018960480811074376,0.0012238527415320277,0.001342817209661007,0.0009641976794227958,0.9805999994277954,0.9800000190734863,0.9801999926567078,0.9796000123023987,0.9801999926567078,0.06443778425455093,0.06530695408582687,0.06499070674180984,0.06606004387140274
