,train_acc_1,train_acc_2,train_acc_3,train_loss_1,train_loss_2,train_loss_3,val_acc,val_acc_1,val_acc_2,val_acc_3,val_loss_1,val_loss_2,val_loss_3
3,1.0,1.0,0.96875,0.3117687702178955,0.3685830235481262,0.36905133724212646,0.9376999735832214,0.9376999735832214,0.9376999735832214,0.9376999735832214,0.41902679204940796,0.41902679204940796,0.41902679204940796
4,0.90625,1.0,0.96875,0.5137360692024231,0.2630825936794281,0.3054656386375427,0.9409999847412109,0.9409999847412109,0.9409999847412109,0.9409999847412109,0.3774890601634979,0.3774890601634979,0.3774890601634979
5,0.96875,1.0,0.96875,0.38326239585876465,0.25963330268859863,0.226274311542511,0.944599986076355,0.944599986076355,0.944599986076355,0.944599986076355,0.34549301862716675,0.34549301862716675,0.34549301862716675
6,0.9375,0.90625,1.0,0.2851155400276184,0.30534809827804565,0.2177879512310028,0.9467999935150146,0.9467999935150146,0.9467999935150146,0.9467999935150146,0.3248513638973236,0.3248513638973236,0.3248513638973236
7,1.0,1.0,1.0,0.21989168226718903,0.2197398841381073,0.17226837575435638,0.9462000131607056,0.9462000131607056,0.9462000131607056,0.9462000131607056,0.302469938993454,0.302469938993454,0.302469938993454
8,1.0,1.0,1.0,0.14632488787174225,0.18292632699012756,0.2240833342075348,0.9462000131607056,0.9462000131607056,0.9462000131607056,0.9462000131607056,0.2881949245929718,0.2881949245929718,0.2881949245929718
9,1.0,1.0,1.0,0.16958975791931152,0.11291362345218658,0.1262148916721344,0.9458000063896179,0.9458000063896179,0.9458000063896179,0.9458000063896179,0.2763429284095764,0.2763429284095764,0.2763429284095764
10,1.0,1.0,1.0,0.15860331058502197,0.11803874373435974,0.15358996391296387,0.9466000199317932,0.9466000199317932,0.9466000199317932,0.9466000199317932,0.2651122212409973,0.2651122212409973,0.2651122212409973
11,1.0,1.0,1.0,0.15583625435829163,0.08677461743354797,0.11470671743154526,0.9455000162124634,0.9455000162124634,0.9455000162124634,0.9455000162124634,0.25097763538360596,0.25097763538360596,0.25097763538360596
12,1.0,1.0,1.0,0.10722194612026215,0.12868371605873108,0.08650971204042435,0.948199987411499,0.948199987411499,0.948199987411499,0.948199987411499,0.24732890725135803,0.24732890725135803,0.24732890725135803
13,0.9375,1.0,1.0,0.183451309800148,0.1091875210404396,0.09847979992628098,0.9478999972343445,0.9478999972343445,0.9478999972343445,0.9478999972343445,0.23698215186595917,0.23698215186595917,0.23698215186595917
14,1.0,1.0,0.96875,0.10377699136734009,0.07444431632757187,0.2620471715927124,0.9484999775886536,0.9484999775886536,0.9484999775886536,0.9484999775886536,0.23256418108940125,0.23256418108940125,0.23256418108940125
15,1.0,1.0,1.0,0.06832520663738251,0.05999094620347023,0.12568387389183044,0.9473999738693237,0.9473999738693237,0.9473999738693237,0.9473999738693237,0.22794951498508453,0.22794951498508453,0.22794951498508453
16,1.0,1.0,1.0,0.0846061259508133,0.05630210041999817,0.08160683512687683,0.9463000297546387,0.9463000297546387,0.9463000297546387,0.9463000297546387,0.23012162744998932,0.23012162744998932,0.23012162744998932
17,1.0,1.0,1.0,0.08212272822856903,0.08212272822856903,0.07634402811527252,0.946399986743927,0.946399986743927,0.946399986743927,0.946399986743927,0.22060546278953552,0.22060546278953552,0.22060546278953552
18,1.0,1.0,1.0,0.08299783617258072,0.03907269239425659,0.057175055146217346,0.9473000168800354,0.9473000168800354,0.9473000168800354,0.9473000168800354,0.21677395701408386,0.21677395701408386,0.21677395701408386
19,1.0,1.0,1.0,0.057355813682079315,0.057559411972761154,0.05629536882042885,0.9472000002861023,0.9472000002861023,0.9472000002861023,0.9472000002861023,0.2116837352514267,0.2116837352514267,0.2116837352514267
20,1.0,1.0,1.0,0.036455199122428894,0.027157012373209,0.0428103506565094,0.9470999836921692,0.9470999836921692,0.9470999836921692,0.9470999836921692,0.21259398758411407,0.21259398758411407,0.21259398758411407
21,1.0,1.0,1.0,0.05429122596979141,0.049274176359176636,0.024384383112192154,0.9455000162124634,0.9455000162124634,0.9455000162124634,0.9455000162124634,0.2118954062461853,0.2118954062461853,0.2118954062461853
22,1.0,1.0,1.0,0.060511764138936996,0.03706366568803787,0.03920804709196091,0.9470999836921692,0.9470999836921692,0.9470999836921692,0.9470999836921692,0.20759433507919312,0.20759433507919312,0.20759433507919312
23,1.0,1.0,1.0,0.05490751564502716,0.021358713507652283,0.03896650671958923,0.9465000033378601,0.9465000033378601,0.9465000033378601,0.9465000033378601,0.2042630910873413,0.2042630910873413,0.2042630910873413
24,1.0,1.0,0.96875,0.10304637253284454,0.04697101563215256,0.10929727554321289,0.9466999769210815,0.9466999769210815,0.9466999769210815,0.9466999769210815,0.20446257293224335,0.20446257293224335,0.20446257293224335
25,1.0,1.0,1.0,0.01927848905324936,0.026201587170362473,0.03294011950492859,0.9469000101089478,0.9469000101089478,0.9469000101089478,0.9469000101089478,0.20311234891414642,0.20311234891414642,0.20311234891414642
26,1.0,1.0,1.0,0.04298194497823715,0.02233414724469185,0.02419062703847885,0.9455000162124634,0.9455000162124634,0.9455000162124634,0.9455000162124634,0.2046547681093216,0.2046547681093216,0.2046547681093216
27,1.0,1.0,1.0,0.020525645464658737,0.025403104722499847,0.020090758800506592,0.9453999996185303,0.9453999996185303,0.9453999996185303,0.9453999996185303,0.20400705933570862,0.20400705933570862,0.20400705933570862
28,1.0,1.0,1.0,0.027839429676532745,0.032520972192287445,0.029623761773109436,0.9408000111579895,0.9408000111579895,0.9408000111579895,0.9408000111579895,0.2146885246038437,0.2146885246038437,0.2146885246038437
29,1.0,0.8125,1.0,0.032833829522132874,0.6356736421585083,0.020499108359217644,0.9404000043869019,0.9404000043869019,0.9404000043869019,0.9404000043869019,0.21318762004375458,0.21318762004375458,0.21318762004375458
