,train_acc_1,train_acc_2,train_loss_1,train_loss_2,val_acc,val_acc_1,val_acc_2,val_loss_1,val_loss_2
0,0.875,0.71875,0.6164059638977051,0.8357022404670715,0.9128000140190125,0.8913000226020813,0.8608999848365784,0.6065067052841187,0.7202708721160889
1,0.90625,0.96875,0.4003976583480835,0.39932942390441895,0.9510999917984009,0.9344000220298767,0.9386000037193298,0.32018277049064636,0.3439606726169586
2,0.9375,1.0,0.4191175699234009,0.12281658500432968,0.9623000025749207,0.9513000249862671,0.9478999972343445,0.22606885433197021,0.24012963473796844
3,0.96875,0.96875,0.12816721200942993,0.12711302936077118,0.9702000021934509,0.9584000110626221,0.9567999839782715,0.16949479281902313,0.18041586875915527
4,0.96875,0.875,0.18809591233730316,0.2829538583755493,0.9714999794960022,0.9629999995231628,0.9599000215530396,0.1454923301935196,0.15687592327594757
5,1.0,0.9375,0.06885455548763275,0.19689558446407318,0.9742000102996826,0.9645000100135803,0.9606000185012817,0.12613756954669952,0.14259622991085052
6,0.96875,1.0,0.0915878638625145,0.08809691667556763,0.9696000218391418,0.9596999883651733,0.9575999975204468,0.14275850355625153,0.15394629538059235
7,0.90625,1.0,0.22190111875534058,0.14428043365478516,0.9771000146865845,0.9717000126838684,0.9699000120162964,0.10710178315639496,0.10704480111598969
8,0.96875,0.96875,0.16991253197193146,0.12007533758878708,0.9782000184059143,0.9708999991416931,0.9692000150680542,0.10205227136611938,0.11166800558567047
9,0.96875,1.0,0.14184702932834625,0.06661467254161835,0.9768999814987183,0.9668999910354614,0.9646000266075134,0.11608701199293137,0.11896516382694244
10,1.0,1.0,0.06539922207593918,0.03195451572537422,0.9775000214576721,0.9688000082969666,0.9710000157356262,0.10167074203491211,0.10011699050664902
11,1.0,0.96875,0.041626881808042526,0.1235305517911911,0.9793000221252441,0.9732999801635742,0.9750999808311462,0.09117576479911804,0.08513501286506653
12,0.9375,0.96875,0.12194689363241196,0.07697021216154099,0.9782000184059143,0.9703999757766724,0.9733999967575073,0.09878762811422348,0.0895308330655098
13,1.0,1.0,0.02661167085170746,0.023472605273127556,0.9800000190734863,0.9722999930381775,0.9729999899864197,0.09005139768123627,0.08958698064088821
14,1.0,0.96875,0.028988461941480637,0.06602296978235245,0.9811999797821045,0.972599983215332,0.9715999960899353,0.09259157627820969,0.09118625521659851
15,1.0,0.9375,0.05833091586828232,0.232365220785141,0.9782000184059143,0.9675999879837036,0.9732999801635742,0.10638770461082458,0.08461840450763702
16,1.0,0.96875,0.04745360463857651,0.04975038394331932,0.9804999828338623,0.9724000096321106,0.9704999923706055,0.08682326227426529,0.0980486199259758
17,1.0,0.96875,0.05699288845062256,0.09305401146411896,0.9772999882698059,0.9685999751091003,0.972100019454956,0.10685653984546661,0.08954574167728424
18,1.0,1.0,0.011060250923037529,0.03969378396868706,0.9817000031471252,0.9739999771118164,0.9771000146865845,0.08445154130458832,0.07677207887172699
19,0.96875,1.0,0.16788268089294434,0.008816592395305634,0.9829000234603882,0.975600004196167,0.9761999845504761,0.08744483441114426,0.07696221023797989
20,1.0,0.96875,0.006232558283954859,0.17196987569332123,0.9812999963760376,0.9761999845504761,0.9767000079154968,0.0805242583155632,0.07603767514228821
21,1.0,1.0,0.016634248197078705,0.010995037853717804,0.9797000288963318,0.9732999801635742,0.9678000211715698,0.09350710362195969,0.10734579712152481
22,1.0,1.0,0.010365240275859833,0.02370290271937847,0.9794999957084656,0.9750999808311462,0.965399980545044,0.08308641612529755,0.11095987260341644
23,1.0,0.96875,0.011909356340765953,0.0669499933719635,0.9810000061988831,0.9732999801635742,0.9754999876022339,0.09227746725082397,0.07735410332679749
24,0.9375,1.0,0.3348805904388428,0.014239776879549026,0.9815999865531921,0.9783999919891357,0.9706000089645386,0.07957116514444351,0.0969507247209549
25,1.0,0.9375,0.02283143624663353,0.26464101672172546,0.9807999730110168,0.9746000170707703,0.9745000004768372,0.08242509514093399,0.08332166075706482
26,1.0,1.0,0.025043785572052002,0.01001022383570671,0.9818999767303467,0.9745000004768372,0.9763000011444092,0.08794476091861725,0.08153052628040314
27,1.0,1.0,0.019471092149615288,0.005296601913869381,0.9819999933242798,0.974399983882904,0.9750000238418579,0.09192667156457901,0.08570750802755356
28,1.0,1.0,0.0011814374011009932,0.012074369937181473,0.982200026512146,0.9771000146865845,0.974399983882904,0.07567506283521652,0.08487342298030853
29,0.96875,1.0,0.042819999158382416,0.008665389381349087,0.9819999933242798,0.9776999950408936,0.9746999740600586,0.07451166957616806,0.08337916433811188
