,acc_ensemble,acc_1,acc_2,acc_3,loss_1,loss_2,loss_3
6,0.8240000009536743,0.8240000009536743,0.8159999847412109,0.8220000267028809,0.5194884538650513,0.45010459423065186,0.6270632743835449
7,0.8360000252723694,0.8339999914169312,0.8360000252723694,0.8259999752044678,0.5261130928993225,0.5709413290023804,0.4685588479042053
8,0.8519999980926514,0.8600000143051147,0.8500000238418579,0.8539999723434448,0.38537389039993286,0.3749728202819824,0.5095467567443848
9,0.8740000128746033,0.8640000224113464,0.8799999952316284,0.878000020980835,0.5311077237129211,0.3465319573879242,0.31643474102020264
10,0.906000018119812,0.906000018119812,0.9079999923706055,0.8999999761581421,0.35241636633872986,0.30367863178253174,0.37447434663772583
11,0.8880000114440918,0.8840000033378601,0.8679999709129333,0.8799999952316284,0.24202558398246765,0.41615569591522217,0.17548373341560364
12,0.921999990940094,0.9179999828338623,0.9240000247955322,0.9160000085830688,0.3458709120750427,0.2638740539550781,0.3294115662574768
13,0.921999990940094,0.9259999990463257,0.9200000166893005,0.9200000166893005,0.21846355497837067,0.2533298432826996,0.22538992762565613
14,0.9279999732971191,0.9259999990463257,0.9279999732971191,0.9240000247955322,0.1867137998342514,0.25824546813964844,0.2272825837135315
15,0.9319999814033508,0.9300000071525574,0.9319999814033508,0.9419999718666077,0.23001986742019653,0.41632080078125,0.23135721683502197
16,0.9620000123977661,0.9580000042915344,0.9599999785423279,0.9559999704360962,0.26001641154289246,0.19487956166267395,0.2738831043243408
17,0.9660000205039978,0.9559999704360962,0.9639999866485596,0.9599999785423279,0.2554406523704529,0.2227167934179306,0.1683797687292099
18,0.9700000286102295,0.972000002861023,0.9679999947547913,0.9700000286102295,0.1469329446554184,0.11322592943906784,0.09807315468788147
19,0.9800000190734863,0.9760000109672546,0.9779999852180481,0.9679999947547913,0.22867727279663086,0.1403161585330963,0.1368410885334015
20,0.9779999852180481,0.972000002861023,0.9760000109672546,0.972000002861023,0.17938485741615295,0.04374922066926956,0.05990351736545563
21,0.972000002861023,0.9679999947547913,0.9700000286102295,0.9679999947547913,0.12293940782546997,0.10621008276939392,0.0730905532836914
22,0.984000027179718,0.9779999852180481,0.9739999771118164,0.9760000109672546,0.04570426419377327,0.05238089710474014,0.020215723663568497
23,0.9800000190734863,0.9800000190734863,0.984000027179718,0.9819999933242798,0.2079075127840042,0.06246144324541092,0.039962466806173325
24,0.9919999837875366,0.9900000095367432,0.9900000095367432,0.9940000176429749,0.06343941390514374,0.08734443038702011,0.061526477336883545
25,0.984000027179718,0.9819999933242798,0.9819999933242798,0.9860000014305115,0.05959317460656166,0.07324612140655518,0.09043163061141968
26,0.9800000190734863,0.984000027179718,0.9800000190734863,0.9739999771118164,0.034509748220443726,0.033004432916641235,0.02374420315027237
27,0.9900000095367432,0.9900000095367432,0.9879999756813049,0.9900000095367432,0.03633369505405426,0.030188608914613724,0.04026426374912262
28,0.9900000095367432,0.9900000095367432,0.9879999756813049,0.9819999933242798,0.03260251134634018,0.12376991659402847,0.055676430463790894
29,0.9860000014305115,0.9900000095367432,0.9800000190734863,0.9860000014305115,0.037610433995723724,0.04656432569026947,0.08105060458183289
30,0.9900000095367432,0.9900000095367432,0.9900000095367432,0.9900000095367432,0.08974253386259079,0.09229110181331635,0.030055053532123566
31,0.9860000014305115,0.984000027179718,0.984000027179718,0.984000027179718,0.03966492414474487,0.01406650897115469,0.11144594103097916
32,0.9959999918937683,0.9940000176429749,0.9900000095367432,0.9919999837875366,0.055089071393013,0.04658370465040207,0.009273650124669075
33,0.9959999918937683,0.9940000176429749,0.9940000176429749,0.9959999918937683,0.0327618271112442,0.07793255150318146,0.030284084379673004
34,0.9900000095367432,0.9860000014305115,0.984000027179718,0.9900000095367432,0.013206467032432556,0.02697952836751938,0.010453000664710999
35,0.9940000176429749,0.9940000176429749,0.9940000176429749,0.9940000176429749,0.020023731514811516,0.022475039586424828,0.020648900419473648
36,0.9860000014305115,0.9860000014305115,0.9819999933242798,0.9860000014305115,0.034324415028095245,0.06732647120952606,0.016375809907913208
37,0.9940000176429749,0.9959999918937683,0.9919999837875366,0.9919999837875366,0.03932635858654976,0.023797258734703064,0.05698143318295479
38,0.9959999918937683,0.9919999837875366,0.9940000176429749,0.9919999837875366,0.03400871157646179,0.03657294437289238,0.05790717154741287
39,0.9919999837875366,0.9879999756813049,0.9919999837875366,0.9900000095367432,0.03826804831624031,0.04290001094341278,0.03351857513189316
40,0.9919999837875366,0.9959999918937683,0.9919999837875366,0.9819999933242798,0.04768745228648186,0.0590391680598259,0.04746907949447632
41,0.9900000095367432,0.9900000095367432,0.9900000095367432,0.9879999756813049,0.009348630905151367,0.008875368162989616,0.022592509165406227
42,0.9940000176429749,0.9919999837875366,0.9940000176429749,0.9900000095367432,0.020524878054857254,0.02081696316599846,0.03195443004369736
43,0.9940000176429749,0.9959999918937683,0.9980000257492065,0.9919999837875366,0.006370851770043373,0.01046072319149971,0.009086963720619678
44,0.9940000176429749,0.9919999837875366,0.9919999837875366,0.9959999918937683,0.01316023338586092,0.06334472447633743,0.011357126757502556
45,0.9959999918937683,0.9940000176429749,0.9940000176429749,0.9959999918937683,0.019065992906689644,0.032264094799757004,0.04693587124347687
46,0.9959999918937683,0.9959999918937683,0.9940000176429749,0.9980000257492065,0.007490362040698528,0.014712324365973473,0.06766434013843536
47,0.9959999918937683,0.9879999756813049,0.9940000176429749,0.9919999837875366,0.01907733455300331,0.009602683596313,0.059134602546691895
48,0.9879999756813049,0.9900000095367432,0.9860000014305115,0.9900000095367432,0.03697582706809044,0.040409162640571594,0.056382011622190475
49,0.9900000095367432,0.9919999837875366,0.9919999837875366,0.9900000095367432,0.01718532294034958,0.02402442693710327,0.0045423549599945545
