,acc_ensemble,acc_1,acc_2,acc_3,acc_4,val_acc_ensemble,val_acc_1,val_acc_2,val_acc_3,val_acc_4,loss_1,loss_2,loss_3,loss_4,val_loss_1,val_loss_2,val_loss_3,val_loss_4
0,1.0,1.0,1.0,1.0,1.0,0.8932999968528748,0.8932999968528748,0.8932999968528748,0.8932999968528748,0.8932999968528748,0.006661543156951666,0.009081188589334488,0.01030648685991764,0.008679335936903954,0.3582410514354706,0.3582410514354706,0.3582410514354706,0.3582410514354706
1,1.0,1.0,1.0,1.0,1.0,0.892799973487854,0.892799973487854,0.892799973487854,0.892799973487854,0.892799973487854,0.003918049857020378,0.005685834214091301,0.0047037177719175816,0.0038100415840744972,0.3637721538543701,0.3637721538543701,0.3637721538543701,0.3637721538543701
2,1.0,1.0,1.0,1.0,1.0,0.8942000269889832,0.8942000269889832,0.8942000269889832,0.8942000269889832,0.8942000269889832,0.0022041546180844307,0.001997170504182577,0.002547304844483733,0.002769806422293186,0.3718363642692566,0.3718363642692566,0.3718363642692566,0.3718363642692566
3,1.0,1.0,1.0,1.0,1.0,0.8937000036239624,0.8937000036239624,0.8937000036239624,0.8937000036239624,0.8937000036239624,0.0017969339387491345,0.0009122689953073859,0.0016545715043321252,0.0015315879136323929,0.3784382939338684,0.3784382939338684,0.3784382939338684,0.3784382939338684
4,1.0,1.0,1.0,1.0,1.0,0.89410001039505,0.89410001039505,0.89410001039505,0.89410001039505,0.89410001039505,0.0009889097418636084,0.0010740808211266994,0.0017381785437464714,0.0011273277923464775,0.3831808567047119,0.3831808567047119,0.3831808567047119,0.3831808567047119
5,1.0,1.0,1.0,1.0,1.0,0.8942000269889832,0.8942000269889832,0.8942000269889832,0.8942000269889832,0.8942000269889832,0.0008367300033569336,0.0005463194102048874,0.0006046666530892253,0.0009990244871005416,0.38891324400901794,0.38891324400901794,0.38891324400901794,0.38891324400901794
6,1.0,1.0,1.0,1.0,1.0,0.8937000036239624,0.8937000036239624,0.8937000036239624,0.8937000036239624,0.8937000036239624,0.0005785441026091576,0.0005816606571897864,0.0006573999999091029,0.0005566036561504006,0.3946385979652405,0.3946385979652405,0.3946385979652405,0.3946385979652405
7,1.0,1.0,1.0,1.0,1.0,0.8928999900817871,0.8928999900817871,0.8928999900817871,0.8928999900817871,0.8928999900817871,0.0002787063713185489,0.0002821887319441885,0.00037377860280685127,0.0004796797293238342,0.3989202082157135,0.3989202082157135,0.3989202082157135,0.3989202082157135
8,1.0,1.0,1.0,1.0,1.0,0.8927000164985657,0.8927000164985657,0.8927000164985657,0.8927000164985657,0.8927000164985657,0.00044323535985313356,0.00044323535985313356,0.00041039290954358876,0.00026171657373197377,0.4032761752605438,0.4032761752605438,0.4032761752605438,0.4032761752605438
9,1.0,1.0,1.0,1.0,1.0,0.8920000195503235,0.8920000195503235,0.8920000195503235,0.8920000195503235,0.8920000195503235,0.00045308517292141914,0.00038979778764769435,0.0003852077352348715,0.00020270003005862236,0.4079747200012207,0.4079747200012207,0.4079747200012207,0.4079747200012207
