,acc_1,acc_2,acc_3,acc_ensemble,loss_1,loss_2,loss_3
0,0.5025000000000001,0.49250000000000005,0.5275000000000001,0.5875,296.51556396484375,220.495361328125,236.95716857910156
1,0.5125000000000002,0.5399999999999999,0.6,0.6125,109.47077941894531,160.69631958007812,136.2613525390625
2,0.5850000000000001,0.555,0.5875,0.6325000000000001,186.7825469970703,90.78030395507812,148.67095947265625
3,0.5975,0.555,0.5675000000000001,0.6375,109.66914367675781,64.06114196777344,81.87020874023438
4,0.6074999999999999,0.6325,0.58,0.7025,165.03289794921875,98.20970916748047,156.13270568847656
5,0.6425,0.6199999999999999,0.5925,0.69,109.44964599609375,86.55950164794922,151.8820037841797
6,0.64,0.6499999999999999,0.6399999999999999,0.7175,69.27372741699219,65.7708969116211,150.61111450195312
7,0.6525000000000001,0.6275000000000001,0.6325000000000001,0.6925,186.19088745117188,97.86225128173828,79.62031555175781
8,0.6875,0.6525,0.63,0.7200000000000001,69.55145263671875,70.86830139160156,70.62030792236328
9,0.6525,0.6725,0.7100000000000001,0.74,136.18234252929688,104.53182220458984,55.458229064941406
10,0.7025,0.6925000000000001,0.7075000000000002,0.7675,71.26061248779297,103.817626953125,110.64826202392578
11,0.7049999999999998,0.685,0.705,0.7550000000000001,71.66175842285156,137.15170288085938,77.76788330078125
12,0.6775,0.6775,0.7050000000000001,0.745,28.285491943359375,65.80208587646484,81.74301147460938
13,0.6925,0.6950000000000001,0.6925,0.7650000000000001,49.140193939208984,56.529754638671875,87.64591979980469
14,0.725,0.6849999999999999,0.7124999999999999,0.7749999999999999,36.82127380371094,34.96150207519531,57.88674545288086
15,0.725,0.7100000000000001,0.7174999999999999,0.7775000000000001,20.09531021118164,50.85398483276367,72.30050659179688
16,0.745,0.69,0.7424999999999999,0.7925000000000001,26.194055557250977,91.2431640625,56.935951232910156
17,0.7,0.7375,0.7225,0.79,86.814697265625,66.48836517333984,27.332683563232422
18,0.7175,0.7249999999999999,0.7125,0.7650000000000001,45.26571273803711,85.5730972290039,29.677898406982422
19,0.72,0.725,0.7375,0.8025,71.39863586425781,52.95376968383789,39.499244689941406
20,0.7525000000000002,0.74,0.735,0.7925,83.94161987304688,52.52521514892578,52.46569061279297
21,0.73,0.7350000000000001,0.7274999999999999,0.7949999999999999,20.0273494720459,20.449691772460938,86.97358703613281
22,0.7500000000000001,0.7125,0.7499999999999999,0.8125,49.88330078125,68.10053253173828,62.58203887939453
23,0.735,0.7375,0.7625,0.8099999999999999,44.33475112915039,50.5772819519043,27.29062271118164
24,0.73,0.7375,0.7225,0.8025,107.42166137695312,89.2565689086914,82.32991027832031
25,0.75,0.7350000000000001,0.755,0.8149999999999998,66.46318817138672,18.39595603942871,61.89031982421875
26,0.76,0.7475,0.73,0.8275,67.69641876220703,35.505615234375,22.0942440032959
27,0.76,0.745,0.765,0.825,24.71303939819336,59.8804931640625,36.96957015991211
28,0.7449999999999999,0.7474999999999999,0.7675000000000001,0.805,65.10645294189453,50.77901077270508,63.33492660522461
