epoch,train_loss,train_acc,val_loss,val_acc
0,0.871395468711853,0.78125,0.7706571221351624,0.8920000195503235
1,0.6851739883422852,0.9375,0.6300866603851318,0.9111999869346619
2,0.6237886548042297,0.875,0.5450602769851685,0.9208999872207642
3,0.4969087243080139,0.9375,0.4831659197807312,0.9276999831199646
4,0.40527641773223877,0.9375,0.43476632237434387,0.9337000250816345
5,0.4457162618637085,0.96875,0.3966079652309418,0.9369000196456909
6,0.5416955947875977,0.875,0.3686935007572174,0.9380000233650208
7,0.4780234098434448,0.875,0.35037049651145935,0.9412000179290771
8,0.3995642066001892,0.90625,0.32332098484039307,0.944100022315979
9,0.3341076970100403,0.9375,0.30438587069511414,0.9448999762535095
