epoch,train_acc,train_loss,val_acc,val_loss
0,0.8125,0.8844649195671082,0.8116999864578247,0.9179918169975281
1,0.90625,0.5414966344833374,0.9085000157356262,0.48943135142326355
2,0.96875,0.272612988948822,0.932699978351593,0.32663577795028687
3,0.96875,0.24793562293052673,0.9448000192642212,0.25034236907958984
4,0.90625,0.3936010003089905,0.9495000243186951,0.2067619413137436
5,0.90625,0.35307812690734863,0.9516000151634216,0.19025199115276337
6,1.0,0.12947991490364075,0.9524999856948853,0.18308129906654358
7,0.90625,0.20483960211277008,0.9545000195503235,0.171896293759346
8,1.0,0.07250437885522842,0.9671000242233276,0.13002771139144897
9,0.96875,0.09160424768924713,0.9603000283241272,0.14551936089992523
10,0.90625,0.19301047921180725,0.9625999927520752,0.13130754232406616
11,0.96875,0.09194737672805786,0.9638000130653381,0.12673859298229218
12,0.9375,0.1326242834329605,0.95169997215271,0.15859684348106384
13,0.90625,0.17069819569587708,0.9571999907493591,0.14806874096393585
14,0.96875,0.059112370014190674,0.9674000144004822,0.10498689115047455
15,1.0,0.04272124171257019,0.9635999798774719,0.12296804040670395
16,1.0,0.07660065591335297,0.9652000069618225,0.1112591028213501
17,1.0,0.018321063369512558,0.9643999934196472,0.11346932500600815
18,1.0,0.052887484431266785,0.9646000266075134,0.11620917916297913
19,1.0,0.038530025631189346,0.9668999910354614,0.11118267476558685
20,1.0,0.021183433011174202,0.9648000001907349,0.10881013423204422
21,0.96875,0.10468807071447372,0.9677000045776367,0.10552099347114563
22,0.9375,0.31597602367401123,0.965399980545044,0.11474063992500305
23,0.96875,0.08795809000730515,0.9643999934196472,0.12384697049856186
24,0.96875,0.14000016450881958,0.9682000279426575,0.10532524436712265
25,1.0,0.03168483078479767,0.9681000113487244,0.10490209609270096
26,1.0,0.033540502190589905,0.9667999744415283,0.10421538352966309
27,0.9375,0.21118953824043274,0.9643999934196472,0.11804189532995224
28,1.0,0.09183687716722488,0.9692999720573425,0.1045001968741417
29,1.0,0.018744636327028275,0.9650999903678894,0.11313357204198837
