epoch,train_loss,train_acc,val_loss,val_acc
0,0.9775582551956177,0.8125,0.9729750156402588,0.782800018787384
1,0.8889052867889404,0.84375,0.8401901125907898,0.8159000277519226
2,0.5339821577072144,0.96875,0.5917511582374573,0.9186000227928162
3,0.6369921565055847,0.84375,0.5139504671096802,0.9246000051498413
4,0.6168030500411987,0.875,0.4541884660720825,0.930400013923645
5,0.6017807722091675,0.90625,0.4168495535850525,0.9350000023841858
6,0.2712213397026062,1.0,0.37682774662971497,0.939300000667572
7,0.26655954122543335,1.0,0.3588133752346039,0.9381999969482422
8,0.2905347943305969,0.96875,0.3265940546989441,0.9430999755859375
9,0.4747849106788635,0.875,0.31492698192596436,0.9430000185966492
