,train_acc_1,train_acc_2,train_loss_1,train_loss_2,val_acc,val_loss
0,0.6875,0.875,1.0524611473083496,0.7910354137420654,0.8569999933242798,0.8823331594467163
1,0.84375,0.875,0.685908317565918,0.4256748557090759,0.9287999868392944,0.4228476285934448
2,0.90625,0.96875,0.37788665294647217,0.38123857975006104,0.946399986743927,0.27986544370651245
3,0.84375,0.875,0.3629941940307617,0.44063064455986023,0.9516000151634216,0.24729397892951965
4,0.875,0.96875,0.3278515934944153,0.16434700787067413,0.9574999809265137,0.207386314868927
5,0.96875,0.9375,0.08229264616966248,0.26783597469329834,0.9642999768257141,0.17600484192371368
6,0.90625,0.90625,0.22200457751750946,0.3578571081161499,0.9605000019073486,0.17627781629562378
7,0.9375,0.96875,0.19101861119270325,0.09536019712686539,0.9656999707221985,0.15248797833919525
8,0.96875,1.0,0.1126304343342781,0.046836599707603455,0.968500018119812,0.1464112401008606
9,0.96875,0.96875,0.08925175666809082,0.13975878059864044,0.963699996471405,0.14496439695358276
10,1.0,0.9375,0.048169951885938644,0.3002680242061615,0.968500018119812,0.1343671828508377
11,1.0,0.96875,0.05022386461496353,0.12220786511898041,0.972100019454956,0.12154203653335571
12,1.0,1.0,0.050212763249874115,0.02628142386674881,0.9707000255584717,0.12265902012586594
13,0.9375,1.0,0.1812317967414856,0.02642514929175377,0.9704999923706055,0.12047389894723892
14,0.9375,0.96875,0.16350391507148743,0.08952908217906952,0.9715999960899353,0.12127625942230225
15,1.0,1.0,0.02711942419409752,0.04609128087759018,0.9732999801635742,0.11566288769245148
16,0.875,0.96875,0.24476949870586395,0.216884046792984,0.968999981880188,0.13327234983444214
17,0.96875,1.0,0.04362701624631882,0.02194853313267231,0.9732000231742859,0.11173760890960693
18,0.96875,1.0,0.04955553635954857,0.04346859082579613,0.975600004196167,0.11096511781215668
19,0.96875,1.0,0.09046490490436554,0.011619200929999352,0.9746999740600586,0.12149474024772644
20,0.9375,0.96875,0.24520418047904968,0.08204862475395203,0.9732000231742859,0.1169680804014206
21,1.0,1.0,0.04421047121286392,0.019706089049577713,0.973800003528595,0.11707095801830292
22,1.0,1.0,0.011275065131485462,0.01450648158788681,0.9697999954223633,0.14641952514648438
23,1.0,0.96875,0.014347199350595474,0.12844237685203552,0.9729999899864197,0.11614345014095306
24,0.9375,1.0,0.08526376634836197,0.038045573979616165,0.9739999771118164,0.1209777295589447
25,1.0,0.96875,0.04950481653213501,0.11983165144920349,0.9771000146865845,0.10793799161911011
26,1.0,1.0,0.031153792515397072,0.05749380588531494,0.9754999876022339,0.12287671864032745
27,0.96875,1.0,0.04828334227204323,0.031444527208805084,0.9750999808311462,0.11994631588459015
28,1.0,1.0,0.019397100433707237,0.015087833628058434,0.9757999777793884,0.10429657250642776
29,0.96875,0.9375,0.05291588976979256,0.11631786078214645,0.9740999937057495,0.12409687042236328
