,train_loss_1,train_acc_1,train_loss_2,train_acc_2,val_loss,val_acc
0,0.6978831887245178,0.90625,0.7629954218864441,0.84375,0.7290694713592529,0.8996000289916992
1,0.6284740567207336,0.90625,0.619681715965271,0.90625,0.5887174606323242,0.9204999804496765
2,0.5355253219604492,0.96875,0.3684781789779663,1.0,0.49743860960006714,0.9294000267982483
3,0.37232547998428345,0.96875,0.5519798994064331,0.96875,0.44221973419189453,0.9344000220298767
4,0.29725146293640137,0.96875,0.39706575870513916,0.96875,0.39159858226776123,0.939300000667572
5,0.41149798035621643,0.96875,0.2951318323612213,0.96875,0.36245039105415344,0.9409999847412109
6,0.19327642023563385,0.96875,0.2665967643260956,0.96875,0.3332444131374359,0.9458000063896179
7,0.19881510734558105,0.96875,0.2953096628189087,0.96875,0.3151518404483795,0.945900022983551
8,0.2962179183959961,0.96875,0.25133731961250305,0.96875,0.30037689208984375,0.945900022983551
9,0.16328886151313782,1.0,0.17750591039657593,1.0,0.27504977583885193,0.9506999850273132
