epoch,train_loss,train_acc,val_loss,val_acc
0,0.8999415636062622,0.75,0.7831720113754272,0.8899999856948853
1,0.6878700852394104,0.875,0.640201210975647,0.9103000164031982
2,0.7007889747619629,0.8125,0.5521692037582397,0.9239000082015991
3,0.4563651382923126,0.96875,0.487764447927475,0.9294999837875366
4,0.7061214447021484,0.875,0.44154247641563416,0.9314000010490417
5,0.35326603055000305,0.96875,0.4019666910171509,0.9359999895095825
6,0.3248343765735626,0.96875,0.3665459454059601,0.9416999816894531
7,0.3334256410598755,0.96875,0.350538969039917,0.9383999705314636
8,0.22978314757347107,0.96875,0.3284130096435547,0.9416000247001648
9,0.1852937787771225,1.0,0.31348535418510437,0.9408000111579895
