,train_acc_1,train_acc_2,train_loss_1,train_loss_2,val_acc,val_loss
0,0.75,0.84375,1.0269529819488525,0.8232502341270447,0.8712000250816345,0.7836101055145264
1,0.8125,0.84375,0.5831481218338013,0.43370360136032104,0.9337000250816345,0.3987121880054474
2,0.9375,0.875,0.21285569667816162,0.3896988034248352,0.9434000253677368,0.281546413898468
3,0.90625,0.875,0.2434309720993042,0.3046707212924957,0.9531000256538391,0.22369801998138428
4,0.96875,0.96875,0.19192853569984436,0.16495779156684875,0.9495999813079834,0.23864483833312988
5,0.9375,0.9375,0.19511571526527405,0.184121772646904,0.9620000123977661,0.18197371065616608
6,1.0,0.96875,0.11252031475305557,0.2237209528684616,0.9632999897003174,0.17020516097545624
7,0.875,1.0,0.31664973497390747,0.07509654015302658,0.9656000137329102,0.16227644681930542
8,0.9375,0.9375,0.18747955560684204,0.1554216891527176,0.9641000032424927,0.16219168901443481
9,0.96875,0.96875,0.16751524806022644,0.16641196608543396,0.964900016784668,0.15366634726524353
10,0.96875,0.90625,0.1277455985546112,0.19171497225761414,0.967199981212616,0.14786949753761292
11,0.9375,0.9375,0.1919405162334442,0.14465421438217163,0.9681000113487244,0.14000046253204346
12,0.96875,1.0,0.09725149720907211,0.018502511084079742,0.972100019454956,0.12888243794441223
13,1.0,1.0,0.042495470494031906,0.044802576303482056,0.9700000286102295,0.134498730301857
14,1.0,0.96875,0.024447044357657433,0.12842527031898499,0.972599983215332,0.12427431344985962
15,0.875,0.9375,0.47597062587738037,0.11156131327152252,0.972599983215332,0.13483349978923798
16,1.0,1.0,0.017807986587285995,0.044745609164237976,0.9718000292778015,0.12027880549430847
17,0.96875,0.90625,0.2013625204563141,0.15630009770393372,0.974399983882904,0.11284239590167999
18,0.96875,1.0,0.028541143983602524,0.022664286196231842,0.9731000065803528,0.12585404515266418
19,0.9375,1.0,0.13580189645290375,0.01646447740495205,0.9677000045776367,0.1551191806793213
20,1.0,1.0,0.037600595504045486,0.026837138459086418,0.972599983215332,0.11934289336204529
21,1.0,1.0,0.0161576047539711,0.02702975645661354,0.9742000102996826,0.11322744190692902
22,0.96875,1.0,0.07533624768257141,0.028525449335575104,0.9725000262260437,0.12228435277938843
23,0.9375,1.0,0.18576200306415558,0.01097412034869194,0.9739999771118164,0.11816245317459106
24,0.9375,0.96875,0.1098695918917656,0.15691371262073517,0.9733999967575073,0.11835119128227234
25,1.0,0.96875,0.014768166467547417,0.09678702056407928,0.9704999923706055,0.13081388175487518
26,0.96875,0.96875,0.16894859075546265,0.227316215634346,0.973800003528595,0.12664447724819183
27,0.96875,1.0,0.04211308807134628,0.006657227408140898,0.9765999913215637,0.11224399507045746
28,0.96875,1.0,0.10693557560443878,0.012193787842988968,0.9758999943733215,0.11069846153259277
29,1.0,0.96875,0.02698453888297081,0.0377693697810173,0.9753000140190125,0.11541400104761124
