epoch,train_acc,train_loss,val_acc,val_loss
0,0.875,0.8455190658569336,0.8873999714851379,0.7697924971580505
1,0.90625,0.7783783674240112,0.9099000096321106,0.6377953290939331
2,0.90625,0.570936918258667,0.9186000227928162,0.5479831099510193
3,0.875,0.7028256058692932,0.9257000088691711,0.49147549271583557
4,0.90625,0.5399214029312134,0.9309999942779541,0.44191694259643555
5,1.0,0.3656635880470276,0.9319999814033508,0.40991219878196716
6,1.0,0.3314831852912903,0.9351999759674072,0.37651726603507996
7,1.0,0.2639690637588501,0.9365000128746033,0.3547980487346649
8,0.96875,0.26979804039001465,0.941100001335144,0.33311936259269714
9,0.96875,0.324346125125885,0.9406999945640564,0.3087068200111389
10,1.0,0.17596609890460968,0.9415000081062317,0.2956491708755493
11,1.0,0.1901354193687439,0.9452999830245972,0.28257325291633606
12,1.0,0.18165931105613708,0.9419999718666077,0.27408066391944885
13,1.0,0.23690927028656006,0.9388999938964844,0.275822252035141
14,0.8125,0.7416280508041382,0.9441999793052673,0.2565205693244934
15,1.0,0.1344386637210846,0.9453999996185303,0.25301727652549744
16,0.875,0.345595121383667,0.9473000168800354,0.2398030310869217
17,1.0,0.12163126468658447,0.9458000063896179,0.23633363842964172
18,1.0,0.15241554379463196,0.9452000260353088,0.23285000026226044
19,1.0,0.08659428358078003,0.9462000131607056,0.22529301047325134
20,1.0,0.07882845401763916,0.9478999972343445,0.21908661723136902
21,1.0,0.09435364603996277,0.9462000131607056,0.22121113538742065
22,1.0,0.09972624480724335,0.9440000057220459,0.22280019521713257
23,1.0,0.09683658182621002,0.9470999836921692,0.21193833649158478
24,1.0,0.08360150456428528,0.947700023651123,0.20566816627979279
25,1.0,0.07109291851520538,0.9467999935150146,0.2091035097837448
26,1.0,0.05445195734500885,0.9473999738693237,0.20816391706466675
27,1.0,0.06139453500509262,0.9451000094413757,0.2063368707895279
28,1.0,0.06119215860962868,0.9484000205993652,0.19374766945838928
29,1.0,0.043293412774801254,0.9473999738693237,0.1930219680070877
