epoch,train_loss,train_acc,val_loss,val_acc
0,0.6612024307250977,0.9375,0.7677052617073059,0.8884000182151794
1,0.636176347732544,0.90625,0.631247341632843,0.9089000225067139
2,0.8165119886398315,0.8125,0.5415706038475037,0.9217000007629395
3,0.5714720487594604,0.84375,0.48319223523139954,0.9266999959945679
4,0.6064043045043945,0.84375,0.42747265100479126,0.9380999803543091
5,0.3120676875114441,1.0,0.3961791396141052,0.9395999908447266
6,0.3415665626525879,1.0,0.36886826157569885,0.9429000020027161
7,0.2739607095718384,0.96875,0.3466217815876007,0.9397000074386597
8,0.3596048951148987,0.9375,0.3229120075702667,0.9435999989509583
9,0.22572007775306702,1.0,0.3070019483566284,0.9430000185966492
