epoch,train_loss,train_acc,val_loss,val_acc
0,0.7338418960571289,0.90625,0.7561419606208801,0.8920000195503235
1,0.7928749322891235,0.84375,0.621508002281189,0.9150999784469604
2,0.5164280533790588,0.96875,0.5412808060646057,0.9225999712944031
3,0.8527265787124634,0.78125,0.4840318262577057,0.928600013256073
4,0.5212829113006592,0.96875,0.43536248803138733,0.9348000288009644
5,0.3237142562866211,0.96875,0.3997229337692261,0.9383999705314636
6,0.3070544898509979,0.96875,0.3689381778240204,0.9397000074386597
7,0.40553656220436096,0.9375,0.34439125657081604,0.9405999779701233
8,0.3065519332885742,1.0,0.3264583647251129,0.9426000118255615
9,0.19449371099472046,1.0,0.31226295232772827,0.9405999779701233
