,train_acc_1,train_acc_2,train_acc_3,train_loss_1,train_loss_2,train_loss_3,val_acc,val_acc_1,val_acc_2,val_acc_3,val_loss_1,val_loss_2,val_loss_3
0,0.96875,0.84375,0.96875,0.5945689678192139,0.7959142923355103,0.6966294050216675,0.9071000218391418,0.9071000218391418,0.9071000218391418,0.9071000218391418,0.6885414719581604,0.6885414719581604,0.6885414719581604
1,0.875,0.96875,0.9375,0.6569375395774841,0.5393364429473877,0.5359745025634766,0.9251999855041504,0.9251999855041504,0.9251999855041504,0.9251999855041504,0.555600643157959,0.555600643157959,0.555600643157959
2,0.9375,1.0,0.90625,0.484102338552475,0.39931243658065796,0.5222086906433105,0.9332000017166138,0.9332000017166138,0.9332000017166138,0.9332000017166138,0.478320837020874,0.478320837020874,0.478320837020874
3,0.96875,1.0,1.0,0.3579946756362915,0.3158574104309082,0.41910094022750854,0.9380999803543091,0.9380999803543091,0.9380999803543091,0.9380999803543091,0.4244958460330963,0.4244958460330963,0.4244958460330963
4,0.96875,0.96875,1.0,0.3351772427558899,0.38541364669799805,0.234203040599823,0.9386000037193298,0.9386000037193298,0.9386000037193298,0.9386000037193298,0.3821558952331543,0.3821558952331543,0.3821558952331543
5,0.96875,0.96875,0.96875,0.22322212159633636,0.43077027797698975,0.3580111265182495,0.9462000131607056,0.9462000131607056,0.9462000131607056,0.9462000131607056,0.3449020981788635,0.3449020981788635,0.3449020981788635
6,0.9375,1.0,1.0,0.34323909878730774,0.24234391748905182,0.22572559118270874,0.9444000124931335,0.9444000124931335,0.9444000124931335,0.9444000124931335,0.3287666440010071,0.3287666440010071,0.3287666440010071
7,0.96875,1.0,1.0,0.3123847246170044,0.14253613352775574,0.22849275171756744,0.9462000131607056,0.9462000131607056,0.9462000131607056,0.9462000131607056,0.3023238778114319,0.3023238778114319,0.3023238778114319
8,1.0,1.0,1.0,0.15245085954666138,0.22698582708835602,0.12157831341028214,0.948199987411499,0.948199987411499,0.948199987411499,0.948199987411499,0.2862938940525055,0.2862938940525055,0.2862938940525055
9,1.0,1.0,1.0,0.18377670645713806,0.1930212676525116,0.17283779382705688,0.9473999738693237,0.9473999738693237,0.9473999738693237,0.9473999738693237,0.27339085936546326,0.27339085936546326,0.27339085936546326
10,0.96875,1.0,1.0,0.16683775186538696,0.10675223171710968,0.09181679040193558,0.9483000040054321,0.9483000040054321,0.9483000040054321,0.9483000040054321,0.263350248336792,0.263350248336792,0.263350248336792
11,1.0,1.0,1.0,0.0869314894080162,0.12704651057720184,0.10264107584953308,0.947700023651123,0.947700023651123,0.947700023651123,0.947700023651123,0.2559731900691986,0.2559731900691986,0.2559731900691986
12,0.96875,1.0,1.0,0.1875031441450119,0.1449449509382248,0.09119148552417755,0.9491000175476074,0.9491000175476074,0.9491000175476074,0.9491000175476074,0.24628882110118866,0.24628882110118866,0.24628882110118866
13,1.0,1.0,1.0,0.12323182821273804,0.12810473144054413,0.08943082392215729,0.9460999965667725,0.9460999965667725,0.9460999965667725,0.9460999965667725,0.24562393128871918,0.24562393128871918,0.24562393128871918
14,1.0,1.0,1.0,0.12476572394371033,0.06608680635690689,0.06247437745332718,0.9491000175476074,0.9491000175476074,0.9491000175476074,0.9491000175476074,0.23497195541858673,0.23497195541858673,0.23497195541858673
15,1.0,1.0,1.0,0.09068655967712402,0.10834001004695892,0.097086600959301,0.9474999904632568,0.9474999904632568,0.9474999904632568,0.9474999904632568,0.23038217425346375,0.23038217425346375,0.23038217425346375
16,1.0,1.0,1.0,0.08987900614738464,0.05439712479710579,0.05576244741678238,0.9488000273704529,0.9488000273704529,0.9488000273704529,0.9488000273704529,0.22570277750492096,0.22570277750492096,0.22570277750492096
