,acc_ensemble,acc_1,acc_2,acc_3,acc_4,acc_5,acc_6,loss_1,loss_2,loss_3,loss_4,loss_5,loss_6
0,0.6075,0.6075,0.6075,0.6075,0.6075,0.6075,0.6075,47.38488006591797,78.89739990234375,117.21260833740234,29.70856285095215,31.768436431884766,144.64859008789062
1,0.6625000000000001,0.6625000000000001,0.6625000000000001,0.6625000000000001,0.6625000000000001,0.6625000000000001,0.6625000000000001,59.09273147583008,53.27857208251953,19.297740936279297,38.145111083984375,25.099197387695312,6.41117525100708
2,0.7125,0.7125,0.7125,0.7125,0.7125,0.7125,0.7125,26.379528045654297,51.903079986572266,14.70986270904541,26.205381393432617,40.91185760498047,48.737369537353516
3,0.74,0.74,0.74,0.74,0.74,0.74,0.74,28.182552337646484,32.012882232666016,36.589759826660156,1.5832977294921875,20.820350646972656,54.19871139526367
4,0.745,0.745,0.745,0.745,0.745,0.745,0.745,33.49056625366211,26.40363311767578,39.74043273925781,12.436908721923828,32.022979736328125,59.26434326171875
5,0.7675000000000001,0.7675000000000001,0.7675000000000001,0.7675000000000001,0.7675000000000001,0.7675000000000001,0.7675000000000001,0.07471561431884766,68.11372375488281,10.43801498413086,17.578582763671875,34.73558044433594,7.716994762420654
6,0.7925000000000002,0.7925000000000002,0.7925000000000002,0.7925000000000002,0.7925000000000002,0.7925000000000002,0.7925000000000002,0.32595109939575195,22.66348648071289,5.870856285095215,16.08259391784668,127.43255615234375,17.140583038330078
7,0.7925,0.7925,0.7925,0.7925,0.7925,0.7925,0.7925,13.600095748901367,16.104576110839844,30.25963020324707,65.69369506835938,18.421037673950195,13.437039375305176
8,0.8225,0.8225,0.8225,0.8225,0.8225,0.8225,0.8225,21.495332717895508,4.26409912109375,12.123931884765625,19.587472915649414,9.279465675354004,10.321892738342285
9,0.8174999999999999,0.8174999999999999,0.8174999999999999,0.8174999999999999,0.8174999999999999,0.8174999999999999,0.8174999999999999,13.249027252197266,8.751508712768555,2.5073113441467285,43.150978088378906,5.357808589935303,1.8671092987060547
10,0.8525,0.8525,0.8525,0.8525,0.8525,0.8525,0.8525,42.337154388427734,24.543140411376953,6.734828948974609,6.248714447021484,27.157848358154297,22.328767776489258
11,0.86,0.86,0.86,0.86,0.86,0.86,0.86,3.48134708404541,0.2811431884765625,0.14804506301879883,21.62301254272461,23.407686233520508,15.6839599609375
12,0.8574999999999999,0.8574999999999999,0.8574999999999999,0.8574999999999999,0.8574999999999999,0.8574999999999999,0.8574999999999999,36.97663879394531,0.3440742492675781,44.23815155029297,57.692604064941406,25.819686889648438,0.0
13,0.85,0.85,0.85,0.85,0.85,0.85,0.85,4.1830267906188965,25.53546142578125,12.483722686767578,36.669036865234375,1.2960443496704102,11.545463562011719
14,0.8474999999999999,0.8474999999999999,0.8474999999999999,0.8474999999999999,0.8474999999999999,0.8474999999999999,0.8474999999999999,6.069195747375488,5.174659729003906,24.937631607055664,27.999046325683594,28.834083557128906,5.988260269165039
15,0.8800000000000001,0.8800000000000001,0.8800000000000001,0.8800000000000001,0.8800000000000001,0.8800000000000001,0.8800000000000001,5.512375831604004,13.971453666687012,21.32109260559082,3.048147678375244,20.81873893737793,44.149227142333984
