,train_acc_1,train_acc_2,train_acc_3,train_acc_4,train_loss_1,train_loss_2,train_loss_3,train_loss_4,val_acc,val_acc_1,val_acc_2,val_acc_3,val_acc_4,val_loss_1,val_loss_2,val_loss_3,val_loss_4
0,0.90625,0.84375,0.90625,0.90625,0.6730982065200806,0.7930616736412048,0.7301832437515259,0.7072500586509705,0.9114000201225281,0.9004999995231628,0.9014999866485596,0.90420001745224,0.9035000205039978,0.6586219668388367,0.6546776294708252,0.6582428812980652,0.6616746783256531
1,0.96875,0.9375,1.0,0.875,0.5279226303100586,0.5432994365692139,0.37021565437316895,0.5409520864486694,0.9279999732971191,0.9222999811172485,0.9226999878883362,0.9222000241279602,0.9241999983787537,0.4922086000442505,0.49586543440818787,0.49757251143455505,0.5020737648010254
2,1.0,0.96875,0.90625,0.96875,0.3595329225063324,0.3249709904193878,0.49575066566467285,0.404781699180603,0.9362000226974487,0.9294999837875366,0.9279999732971191,0.9297000169754028,0.9316999912261963,0.41184356808662415,0.41711539030075073,0.4144352078437805,0.41213300824165344
3,0.96875,0.96875,1.0,0.9375,0.3040153980255127,0.29944080114364624,0.3361632227897644,0.35529306530952454,0.941100001335144,0.9336000084877014,0.9332000017166138,0.9354000091552734,0.9391999840736389,0.36763256788253784,0.36191508173942566,0.36309680342674255,0.3595925271511078
4,0.90625,0.9375,0.8125,1.0,0.3982822299003601,0.2679016590118408,0.5949947834014893,0.2486318051815033,0.9429000020027161,0.939300000667572,0.9368000030517578,0.9387000203132629,0.9409000277519226,0.321103572845459,0.3234696388244629,0.32700833678245544,0.3183688521385193
5,0.9375,0.90625,0.96875,0.96875,0.38318684697151184,0.3151216208934784,0.2043391764163971,0.245024174451828,0.9456999897956848,0.9409999847412109,0.9390000104904175,0.9435999989509583,0.9430000185966492,0.2976638674736023,0.29595035314559937,0.2909040153026581,0.2956221103668213
6,1.0,1.0,0.96875,1.0,0.18191897869110107,0.24080155789852142,0.20247969031333923,0.15517465770244598,0.9460999965667725,0.9416000247001648,0.9386000037193298,0.9437000155448914,0.9459999799728394,0.2752726078033447,0.2813180387020111,0.27824804186820984,0.2726004421710968
7,1.0,1.0,0.96875,1.0,0.15372873842716217,0.19033563137054443,0.2661544978618622,0.15361332893371582,0.9483000040054321,0.9415000081062317,0.9415000081062317,0.9444000124931335,0.9452999830245972,0.2714339792728424,0.2640858292579651,0.2585757076740265,0.2648903429508209
8,0.90625,0.90625,1.0,1.0,0.2847720980644226,0.308220773935318,0.11708647757768631,0.20683130621910095,0.9488000273704529,0.9474999904632568,0.9451000094413757,0.9455000162124634,0.9444000124931335,0.2508070766925812,0.251559853553772,0.24957489967346191,0.24995891749858856
9,1.0,1.0,1.0,0.96875,0.07187855243682861,0.109348364174366,0.10010233521461487,0.20112904906272888,0.9509000182151794,0.9466999769210815,0.9451000094413757,0.9478999972343445,0.9490000009536743,0.2367505431175232,0.23560254275798798,0.2385343760251999,0.23381581902503967
