,train_acc_1,train_acc_2,train_acc_3,train_acc_4,train_acc_5,train_acc_ensemble,train_loss_1,train_loss_2,train_loss_3,train_loss_4,train_loss_5,val_acc_1,val_acc_2,val_acc_3,val_acc_4,val_acc_5,val_acc_ensemble,val_loss_1,val_loss_2,val_loss_3,val_loss_4,val_loss_5
0,0.1875,0.15625,0.15625,0.1875,0.3125,0.0,4.7390851974487305,5.040653705596924,4.970891952514648,4.711829662322998,4.500870227813721,0.1436624974012375,0.1428374946117401,0.14058749377727509,0.14006249606609344,0.1423249989748001,0.25101250410079956,5.089282989501953,5.086776256561279,5.071827411651611,5.091994762420654,5.06770658493042
1,0.34375,0.875,0.5,0.8125,0.28125,0.0,4.102930068969727,2.716726064682007,3.6322832107543945,2.683530807495117,4.227663993835449,0.26919999718666077,0.2768625020980835,0.275175005197525,0.2759000062942505,0.2777499854564667,0.3951750099658966,4.3943071365356445,4.3822712898254395,4.35988712310791,4.370237827301025,4.360021114349365
2,0.8125,0.5625,0.46875,0.65625,0.875,0.09375,2.5026392936706543,3.607687473297119,3.9185216426849365,3.234118938446045,2.494147300720215,0.33463749289512634,0.3374750018119812,0.3388499915599823,0.3380874991416931,0.3416624963283539,0.4641999900341034,3.978032112121582,3.971738338470459,3.953867197036743,3.9601120948791504,3.9521586894989014
3,0.96875,0.21875,0.9375,0.9375,0.6875,0.3125,1.6113216876983643,4.101057529449463,1.8442944288253784,1.6966952085494995,2.8631181716918945,0.3691374957561493,0.3720000088214874,0.3719249963760376,0.37296250462532043,0.37238749861717224,0.5034999847412109,3.7256062030792236,3.7118144035339355,3.708814859390259,3.7069039344787598,3.722135066986084
4,0.9375,0.8125,1.0,1.0,0.90625,0.0,1.8978807926177979,2.138174533843994,1.0903586149215698,1.335646390914917,1.6907514333724976,0.391400009393692,0.39855000376701355,0.39426249265670776,0.3932875096797943,0.39227500557899475,0.5300499796867371,3.5504837036132812,3.5152506828308105,3.5378215312957764,3.542191743850708,3.5534508228302
5,0.875,1.0,0.96875,0.46875,0.78125,0.25,1.5915234088897705,1.2375086545944214,1.2672204971313477,3.3859078884124756,1.9709680080413818,0.41011250019073486,0.41046249866485596,0.4097124934196472,0.4086875021457672,0.40917500853538513,0.5499374866485596,3.411972761154175,3.402236223220825,3.4129109382629395,3.407022714614868,3.42183780670166
6,1.0,0.90625,0.84375,0.875,1.0,0.25,0.8352434635162354,1.7945157289505005,1.8853543996810913,1.7676022052764893,1.0336589813232422,0.42127498984336853,0.42102500796318054,0.4189375042915344,0.4197624921798706,0.4165250062942505,0.5631499886512756,3.3083672523498535,3.3080265522003174,3.3241281509399414,3.315450668334961,3.342449188232422
7,0.96875,0.96875,0.9375,1.0,1.0,0.15625,1.0884485244750977,1.4642728567123413,1.0328552722930908,0.7456744313240051,1.0155937671661377,0.42877501249313354,0.4312874972820282,0.42676249146461487,0.4240249991416931,0.41981250047683716,0.5721499919891357,3.2412843704223633,3.2314560413360596,3.2548930644989014,3.2633445262908936,3.290802240371704
8,0.53125,1.0,1.0,1.0,0.96875,0.0625,3.119239330291748,0.6801009774208069,0.7964919805526733,1.0729224681854248,1.1056684255599976,0.4314124882221222,0.43459999561309814,0.43094998598098755,0.4291499853134155,0.42647498846054077,0.5787000060081482,3.198554039001465,3.189636468887329,3.2108492851257324,3.208775758743286,3.2269446849823
9,1.0,1.0,1.0,1.0,1.0,0.25,0.6920394897460938,0.6171941161155701,0.7369872331619263,0.8450654149055481,1.0533661842346191,0.43402498960494995,0.4352625012397766,0.43070000410079956,0.43178749084472656,0.4311999976634979,0.5822374820709229,3.155731201171875,3.156003475189209,3.1811776161193848,3.166309356689453,3.1786320209503174
10,1.0,0.5,1.0,1.0,0.90625,0.09375,1.0567779541015625,3.188220977783203,0.47391191124916077,0.7184632420539856,1.479710578918457,0.43459999561309814,0.44001251459121704,0.4309374988079071,0.4327250123023987,0.43098750710487366,0.5865499973297119,3.1289138793945312,3.115251302719116,3.155275821685791,3.1371729373931885,3.156339168548584
11,0.96875,0.34375,0.90625,0.96875,1.0,0.375,0.786731481552124,3.1581239700317383,1.2520281076431274,0.7081804871559143,0.6974717378616333,0.4335874915122986,0.4413749873638153,0.4300000071525574,0.43303748965263367,0.4325625002384186,0.5887374877929688,3.1161251068115234,3.0839622020721436,3.139235496520996,3.120539903640747,3.1327688694000244
12,1.0,0.90625,1.0,0.53125,1.0,0.21875,0.45283186435699463,1.3076814413070679,0.7254605293273926,2.7551403045654297,0.6404469013214111,0.4349375069141388,0.44325000047683716,0.430462509393692,0.4330250024795532,0.4341624975204468,0.5893375277519226,3.0950677394866943,3.0572893619537354,3.113316774368286,3.093646764755249,3.1067380905151367
13,1.0,1.0,1.0,1.0,1.0,0.09375,0.5950286388397217,0.3274398148059845,0.4245908856391907,0.3683775067329407,0.5860358476638794,0.4360249936580658,0.44407498836517334,0.43063750863075256,0.4333375096321106,0.4348124861717224,0.5915250182151794,3.0710411071777344,3.036970615386963,3.0961930751800537,3.0768589973449707,3.082637310028076
14,0.96875,1.0,1.0,1.0,1.0,0.25,0.6726953983306885,0.5053276419639587,0.4446648359298706,0.3479539752006531,0.50252765417099,0.43486249446868896,0.444599986076355,0.43006250262260437,0.4321124851703644,0.4340125024318695,0.5921000242233276,3.0600550174713135,3.0230042934417725,3.08013653755188,3.067319631576538,3.072760820388794
