,train_acc_1,train_acc_2,train_acc_ensemble,train_loss_1,train_loss_2,val_acc_1,val_acc_2,val_acc_ensemble,val_loss_1,val_loss_2
0,0.875,0.875,0.46875,0.3070884346961975,0.25229179859161377,0.9165999889373779,0.9110999703407288,0.9300000071525574,0.2757681906223297,0.2944687306880951
1,0.9375,1.0,0.5625,0.3381749987602234,0.02846670150756836,0.9341999888420105,0.9340999722480774,0.9462000131607056,0.21056929230690002,0.21422453224658966
2,0.78125,1.0,0.4375,0.5144268870353699,0.03286423161625862,0.9397000074386597,0.9394000172615051,0.9458000063896179,0.19310471415519714,0.19833344221115112
3,0.96875,1.0,0.59375,0.04442882165312767,0.04703589156270027,0.9323999881744385,0.9417999982833862,0.9448999762535095,0.21322126686573029,0.18456342816352844
4,0.96875,1.0,0.4375,0.09369035065174103,0.017775550484657288,0.9404000043869019,0.9452999830245972,0.9502000212669373,0.18657507002353668,0.1737699955701828
5,1.0,0.9375,0.5,0.010237080976366997,0.4240010976791382,0.9460999965667725,0.9380999803543091,0.9491000175476074,0.16786940395832062,0.1997862458229065
6,1.0,1.0,0.5625,0.024602720513939857,0.029450319707393646,0.9455000162124634,0.9455999732017517,0.95660001039505,0.17353607714176178,0.18062356114387512
7,1.0,1.0,0.40625,0.009967373684048653,0.020281299948692322,0.9476000070571899,0.9463000297546387,0.9549000263214111,0.169944167137146,0.17190074920654297
8,1.0,1.0,0.4375,0.02254428341984749,0.0064708334393799305,0.9510999917984009,0.9429000020027161,0.9549999833106995,0.15602657198905945,0.18551906943321228
9,1.0,1.0,0.59375,0.005795496050268412,0.003321940079331398,0.9466999769210815,0.9476000070571899,0.9527999758720398,0.17875607311725616,0.1837841421365738
10,1.0,1.0,0.5625,0.004397196229547262,0.0019609269220381975,0.9495999813079834,0.9514999985694885,0.9537000060081482,0.16611960530281067,0.16244196891784668
11,1.0,1.0,0.53125,0.00601937947794795,0.006156681105494499,0.9513000249862671,0.9366999864578247,0.9531999826431274,0.1687389761209488,0.2165801227092743
12,1.0,1.0,0.625,0.0051044076681137085,0.025509430095553398,0.9514999985694885,0.949999988079071,0.9556999802589417,0.15991100668907166,0.17785482108592987
13,1.0,0.9375,0.5,0.0033705555833876133,0.14168421924114227,0.9528999924659729,0.9380000233650208,0.9519000053405762,0.15272989869117737,0.22011001408100128
14,1.0,1.0,0.53125,0.0015416471287608147,0.027427321299910545,0.9531999826431274,0.9416999816894531,0.9546999931335449,0.1511269509792328,0.20555122196674347
