,train_acc_1,train_acc_2,train_acc_3,train_loss_1,train_loss_2,train_loss_3,val_acc,val_acc_1,val_acc_2,val_acc_3,val_loss_1,val_loss_2,val_loss_3
0,0.8125,0.8125,0.78125,0.795434832572937,0.7446281909942627,0.885226845741272,0.9035000205039978,0.8666999936103821,0.8561000227928162,0.8295999765396118,0.6988580822944641,0.7200947999954224,0.7867543697357178
1,0.9375,0.9375,0.875,0.2858620584011078,0.27036482095718384,0.5964701175689697,0.9477999806404114,0.92330002784729,0.9186000227928162,0.9156000018119812,0.34315040707588196,0.36974024772644043,0.3930780291557312
2,0.96875,1.0,0.9375,0.20956210792064667,0.16810859739780426,0.2626822888851166,0.9581999778747559,0.9401999711990356,0.9397000074386597,0.9340000152587891,0.2459075152873993,0.2472885549068451,0.2752269506454468
3,0.9375,0.96875,0.96875,0.1943933218717575,0.12659397721290588,0.2068941593170166,0.9670000076293945,0.9532999992370605,0.949400007724762,0.9456999897956848,0.18724371492862701,0.19278168678283691,0.21197299659252167
4,0.96875,0.9375,0.90625,0.13848870992660522,0.2723234295845032,0.3457707166671753,0.9679999947547913,0.9571999907493591,0.9550999999046326,0.9441999793052673,0.15865398943424225,0.17157942056655884,0.20518061518669128
5,0.9375,0.96875,0.96875,0.25170624256134033,0.21097023785114288,0.07934510707855225,0.9714000225067139,0.9538000226020813,0.960099995136261,0.9495000243186951,0.15783396363258362,0.1430773288011551,0.17695759236812592
6,0.96875,0.96875,0.9375,0.09834565967321396,0.11863803118467331,0.22014448046684265,0.9718999862670898,0.9585999846458435,0.95660001039505,0.954800009727478,0.14323225617408752,0.14903618395328522,0.1597769856452942
7,0.96875,1.0,0.96875,0.15920819342136383,0.0992007702589035,0.17434930801391602,0.9735999703407288,0.9602000117301941,0.9624000191688538,0.9563999772071838,0.13232582807540894,0.1307573914527893,0.14775095880031586
8,0.9375,0.96875,0.9375,0.13628417253494263,0.16232481598854065,0.1078571230173111,0.9732000231742859,0.9635999798774719,0.9629999995231628,0.9648000001907349,0.12370910495519638,0.1270330250263214,0.12069404125213623
9,1.0,0.96875,0.9375,0.03303641453385353,0.13374637067317963,0.21799111366271973,0.9751999974250793,0.965399980545044,0.9639999866485596,0.9516000151634216,0.11275102198123932,0.12424270063638687,0.15969128906726837
10,0.96875,0.875,1.0,0.1184200718998909,0.17847250401973724,0.04831303656101227,0.9776999950408936,0.9692999720573425,0.9663000106811523,0.9653000235557556,0.10471954196691513,0.11786676943302155,0.11643963307142258
