,acc_ensemble,acc_1,acc_2,acc_3,acc_4,acc_5,loss_1,loss_2,loss_3,loss_4,loss_5
0,0.68,0.5499999999999999,0.5149999999999999,0.5525,0.6275000000000001,0.55,95.27369689941406,90.69769287109375,235.44073486328125,561.8731689453125,265.2508239746094
1,0.7325,0.6599999999999999,0.5775,0.665,0.6300000000000001,0.625,201.04010009765625,56.30084991455078,77.4407958984375,148.17135620117188,53.406246185302734
2,0.7875000000000001,0.715,0.6525,0.715,0.6875000000000001,0.68,131.9378662109375,58.000648498535156,15.55111312866211,61.523860931396484,68.06246185302734
3,0.7825000000000001,0.7325,0.6875,0.7,0.6924999999999999,0.6599999999999999,97.34136962890625,188.3052978515625,80.20674133300781,209.2188262939453,53.085670471191406
4,0.8200000000000001,0.7475,0.7175,0.7324999999999999,0.7450000000000001,0.72,16.641868591308594,27.00285530090332,74.21607208251953,52.929656982421875,40.51617431640625
5,0.8450000000000001,0.7525000000000001,0.7549999999999999,0.7500000000000001,0.745,0.715,29.988555908203125,5.604037761688232,33.921993255615234,5.124919891357422,73.98486328125
6,0.835,0.7999999999999999,0.745,0.7625,0.7925,0.7324999999999999,42.684165954589844,39.91350555419922,37.554779052734375,22.96141242980957,27.59368896484375
7,0.8450000000000001,0.7725,0.6699999999999999,0.785,0.7849999999999999,0.7649999999999999,66.8154067993164,87.2579116821289,74.76729583740234,27.52780532836914,32.959877014160156
8,0.8574999999999999,0.805,0.7874999999999999,0.7725000000000001,0.7975000000000001,0.7925,81.75321960449219,1.982942819595337,93.52728271484375,53.36488342285156,19.3077392578125
9,0.8625,0.8099999999999999,0.7775000000000001,0.78,0.8300000000000001,0.7699999999999999,68.9190673828125,46.51997756958008,9.206703186035156,27.9831485748291,19.51983642578125
10,0.8749999999999998,0.8025,0.7975000000000001,0.8175000000000001,0.8024999999999999,0.7925,60.49263000488281,16.37633514404297,94.38626861572266,21.867860794067383,0.0
11,0.8674999999999999,0.8225,0.7975,0.78,0.82,0.7625,7.758717060089111,60.800071716308594,20.256261825561523,47.33601760864258,57.93669891357422
12,0.8575000000000002,0.8274999999999999,0.785,0.8099999999999999,0.82,0.7949999999999999,34.979270935058594,5.55257511138916,62.86933135986328,37.237815856933594,2.422518253326416
13,0.8725000000000002,0.8024999999999999,0.8324999999999999,0.8174999999999999,0.8099999999999999,0.7625,56.72957992553711,36.88784408569336,10.614250183105469,1.832606315612793,9.592844009399414
14,0.9,0.8474999999999999,0.8174999999999999,0.8375,0.845,0.8074999999999999,146.8845977783203,15.484182357788086,0.0,10.830503463745117,6.949511528015137
15,0.8574999999999999,0.8275,0.7925000000000001,0.8275,0.805,0.8,69.81684112548828,35.1052360534668,12.93850040435791,15.814130783081055,3.2365541458129883
16,0.845,0.78,0.7675000000000001,0.845,0.8125,0.8074999999999999,41.28497314453125,34.17847442626953,17.21503448486328,12.649979591369629,0.6087055206298828
17,0.8825,0.8125,0.8325000000000001,0.8400000000000001,0.8074999999999999,0.7949999999999999,11.567978858947754,26.920879364013672,21.185697555541992,57.96629333496094,5.783351898193359
18,0.8975000000000002,0.8299999999999998,0.7999999999999999,0.8450000000000001,0.825,0.8150000000000001,43.19288635253906,4.21539831161499,2.4534459114074707,15.984403610229492,20.616939544677734
19,0.8950000000000001,0.8300000000000001,0.8150000000000001,0.8400000000000001,0.8400000000000001,0.8400000000000001,24.12244415283203,8.03231430053711,10.915875434875488,18.19085693359375,21.116554260253906
20,0.8800000000000001,0.85,0.8075000000000001,0.8425,0.8300000000000001,0.85,61.94153594970703,27.72437286376953,36.567626953125,3.3338088989257812,11.546106338500977
21,0.89,0.835,0.8150000000000001,0.8624999999999998,0.835,0.8400000000000001,1.26932954788208,23.596242904663086,4.128264904022217,17.503156661987305,6.574540138244629
22,0.9225,0.8474999999999999,0.835,0.865,0.8500000000000002,0.8525,4.387073993682861,32.09477996826172,36.06159210205078,50.084720611572266,3.643019199371338
23,0.9075,0.865,0.875,0.8525,0.8474999999999998,0.835,20.413429260253906,5.8078718185424805,11.108144760131836,1.58469820022583,3.3532919883728027
24,0.9024999999999999,0.8450000000000001,0.8475000000000001,0.8725000000000002,0.8500000000000002,0.8349999999999997,23.450355529785156,13.137903213500977,11.747227668762207,23.486906051635742,11.536792755126953
25,0.9024999999999999,0.8474999999999999,0.865,0.8424999999999999,0.8699999999999999,0.8375,14.108055114746094,12.802238464355469,11.591887474060059,9.79626750946045,8.733635902404785
26,0.925,0.8800000000000001,0.8574999999999999,0.875,0.8625,0.85,11.755959510803223,0.04049539566040039,1.9583220481872559,17.200618743896484,70.80052185058594
27,0.9049999999999999,0.8524999999999998,0.8550000000000001,0.8324999999999999,0.8625,0.8375,14.632834434509277,12.666962623596191,6.789292812347412,4.036717891693115,9.07204818725586
28,0.9024999999999999,0.8425,0.85,0.8549999999999999,0.8850000000000001,0.8549999999999999,106.85162353515625,2.7307393550872803,0.9271588325500488,20.808162689208984,8.4159517288208
29,0.915,0.885,0.8549999999999999,0.875,0.8625,0.85,13.513035774230957,2.1698827743530273,14.018024444580078,15.400793075561523,14.585004806518555
30,0.9075000000000001,0.8574999999999999,0.8574999999999999,0.8724999999999999,0.8774999999999998,0.8275,3.5248758792877197,2.150157928466797,16.845741271972656,12.353557586669922,41.38280487060547
31,0.8975000000000002,0.8875,0.8700000000000001,0.8299999999999998,0.8375000000000001,0.8574999999999999,12.08922004699707,0.45259857177734375,58.3156623840332,1.1792216300964355,21.288284301757812
32,0.925,0.86,0.8674999999999999,0.89,0.865,0.8549999999999999,5.8819580078125,7.635339260101318,56.34553146362305,11.697471618652344,1.6119673252105713
33,0.9025000000000001,0.875,0.85,0.885,0.8675,0.8474999999999999,1.796999454498291,28.06977653503418,3.6292624473571777,2.582047939300537,0.28497743606567383
34,0.915,0.8625,0.8625,0.8775000000000001,0.8825,0.8625,0.0,19.639915466308594,11.604190826416016,5.060117244720459,20.11750602722168
35,0.9249999999999998,0.9025000000000001,0.8875000000000002,0.875,0.8825,0.8924999999999998,8.501956939697266,23.690372467041016,8.829849243164062,4.449079990386963,6.6103715896606445
36,0.9224999999999998,0.8700000000000001,0.8825000000000001,0.8924999999999998,0.8974999999999997,0.8975,2.2156076431274414,2.1898884773254395,2.506345748901367,14.119598388671875,19.583049774169922
37,0.9099999999999999,0.8775000000000001,0.8625,0.8724999999999999,0.8825,0.8799999999999999,12.540665626525879,5.769780158996582,22.15761375427246,0.22997760772705078,0.5723628997802734
38,0.925,0.8674999999999999,0.86,0.8774999999999998,0.8574999999999999,0.8999999999999998,7.346199035644531,0.01618480682373047,0.0,3.6993660926818848,6.12053918838501
