,acc_1,acc_2,acc_3,acc_4,acc_ensemble,loss_1,loss_2,loss_3,loss_4,val_acc_1,val_acc_2,val_acc_3,val_acc_4,val_acc_ensemble,val_loss_1,val_loss_2,val_loss_3,val_loss_4
0,0.9375,0.9388333559036255,0.9386666417121887,0.9428333044052124,0.9578333497047424,0.4846802353858948,0.24054978787899017,0.6606593728065491,0.5260622501373291,0.9124000072479248,0.911300003528595,0.9122999906539917,0.9200000166893005,0.9318000078201294,0.2899000346660614,0.2863951027393341,0.28818216919898987,0.2643086016178131
1,0.9636666774749756,0.9611666798591614,0.9639999866485596,0.965666651725769,0.9758333563804626,0.19829371571540833,0.06438183784484863,0.2453119158744812,0.2901029586791992,0.9304999709129333,0.9258999824523926,0.9312999844551086,0.9330000281333923,0.9423999786376953,0.22664985060691833,0.24127070605754852,0.22775036096572876,0.21705083549022675
2,0.9745000004768372,0.9723333120346069,0.9758333563804626,0.9751666784286499,0.984499990940094,0.05489781126379967,0.1872463822364807,0.10427059233188629,0.0982268750667572,0.9348999857902527,0.9334999918937683,0.9376000165939331,0.9377999901771545,0.945900022983551,0.21467700600624084,0.21597746014595032,0.2063605934381485,0.20407530665397644
3,0.9743333458900452,0.9808333516120911,0.9829999804496765,0.9803333282470703,0.9898333549499512,0.04462520778179169,0.05615821108222008,0.05549708753824234,0.08736813068389893,0.9351999759674072,0.9406999945640564,0.9409000277519226,0.935699999332428,0.9501000046730042,0.21241897344589233,0.19319814443588257,0.19208671152591705,0.2050800323486328
4,0.987666666507721,0.9848333597183228,0.9866666793823242,0.9886666536331177,0.9941666722297668,0.07825420796871185,0.02569171041250229,0.023250309750437737,0.026101645082235336,0.9433000087738037,0.9408000111579895,0.9397000074386597,0.9466999769210815,0.9516000151634216,0.18530014157295227,0.19049511849880219,0.20057174563407898,0.1779250204563141
5,0.9888333082199097,0.9918333292007446,0.9908333420753479,0.9923333525657654,0.9958333373069763,0.014311771839857101,0.03667699918150902,0.09317129850387573,0.02879839390516281,0.9448000192642212,0.9462000131607056,0.9467999935150146,0.945900022983551,0.9520000219345093,0.18445363640785217,0.17959587275981903,0.17793229222297668,0.1798943430185318
6,0.9950000047683716,0.9925000071525574,0.9931666851043701,0.9934999942779541,0.9965000152587891,0.010079870000481606,0.04644390940666199,0.02621512860059738,0.018374646082520485,0.9498000144958496,0.9437000155448914,0.9488999843597412,0.9452000260353088,0.9517999887466431,0.166001096367836,0.18438564240932465,0.17083118855953217,0.17978723347187042
7,0.9941666722297668,0.9955000281333923,0.9980000257492065,0.9936666488647461,0.9983333349227905,0.005737399682402611,0.013552037999033928,0.01165009755641222,0.012319592759013176,0.9492999911308289,0.9466000199317932,0.9505000114440918,0.9485999941825867,0.9545999765396118,0.17508700489997864,0.17846393585205078,0.16871073842048645,0.17556209862232208
8,0.9956666827201843,0.996833324432373,0.9978333115577698,0.996666669845581,0.9990000128746033,0.01614636555314064,0.03375585749745369,0.004950367845594883,0.006706401240080595,0.949999988079071,0.9473000168800354,0.954200029373169,0.9490000009536743,0.9534000158309937,0.1672154814004898,0.18020789325237274,0.1630486100912094,0.17185962200164795
9,0.9975000023841858,0.9981666803359985,0.9976666569709778,0.9976666569709778,0.9991666674613953,0.006688009016215801,0.004082921892404556,0.005971721839159727,0.004010058473795652,0.95169997215271,0.9484000205993652,0.9528999924659729,0.9496999979019165,0.9541000127792358,0.16928066313266754,0.17668384313583374,0.16421081125736237,0.17239823937416077
