,train_loss_1,train_loss_2,train_loss_3,val_loss_1,val_loss_2,val_loss_3,train_acc_1,train_acc_2,train_acc_3,train_acc_ensemble,val_acc_1,val_acc_2,val_acc_3,val_acc_ensemble
0,4.725278854370117,5.009123802185059,5.043259620666504,4.8288116455078125,4.840147495269775,4.790717124938965,0.21875,0.3125,0.15625,0.09375,0.21629999577999115,0.2160000056028366,0.21844999492168427,0.4446749985218048
1,4.214849472045898,2.992928981781006,4.344893455505371,3.918302297592163,3.964608669281006,3.930739402770996,0.5,0.75,0.3125,0.0625,0.45547500252723694,0.44042500853538513,0.44472500681877136,0.6912500262260437
2,2.2394800186157227,3.9341163635253906,2.4695968627929688,3.4804649353027344,3.471489906311035,3.4750194549560547,0.90625,0.375,0.875,0.34375,0.5596500039100647,0.562250018119812,0.5586000084877014,0.7745749950408936
3,1.6102337837219238,3.543684959411621,3.6094470024108887,3.1995010375976562,3.2125930786132812,3.2008066177368164,1.0,0.5625,0.59375,0.6875,0.6226999759674072,0.6119250059127808,0.6164500117301941,0.8062250018119812
4,2.4555792808532715,1.6330780982971191,3.6595001220703125,3.0449559688568115,3.05141544342041,2.9789745807647705,0.8125,0.96875,0.53125,0.25,0.6424750089645386,0.6347249746322632,0.6571000218391418,0.8204249739646912
5,3.081606864929199,2.206295967102051,1.5895037651062012,2.9163224697113037,2.9243948459625244,2.8731753826141357,0.71875,0.90625,1.0,0.125,0.6594750285148621,0.6511250138282776,0.6682500243186951,0.8282750248908997
6,1.8825676441192627,1.2492914199829102,1.4407925605773926,2.8345823287963867,2.8304011821746826,2.800485849380493,0.96875,1.0,0.9375,0.09375,0.6626250147819519,0.6634250283241272,0.6704000234603882,0.8298749923706055
7,0.9720406532287598,1.2473888397216797,3.098512887954712,2.778871536254883,2.775024890899658,2.7322628498077393,1.0,1.0,0.625,0.5625,0.6614000201225281,0.663100004196167,0.6718999743461609,0.8295249938964844
8,0.8980346322059631,1.034982442855835,0.9440091252326965,2.722116708755493,2.7248194217681885,2.6948235034942627,1.0,0.96875,1.0,0.375,0.6641749739646912,0.663474977016449,0.6681249737739563,0.8294749855995178
9,1.1639482975006104,1.108844518661499,0.8353004455566406,2.6825928688049316,2.70358943939209,2.658184766769409,1.0,1.0,1.0,0.15625,0.6624500155448914,0.6572999954223633,0.6651250123977661,0.8287249803543091
