,acc_1,acc_2,acc_ensemble,loss_1,loss_2
0,0.46749999999999997,0.505,0.54,730.9089965820312,535.7511596679688
1,0.5075000000000001,0.5125,0.5599999999999999,159.22328186035156,149.673828125
2,0.515,0.5825000000000001,0.5875,125.02731323242188,181.97567749023438
3,0.5375000000000001,0.5675000000000001,0.5974999999999999,222.67196655273438,139.07920837402344
4,0.5675000000000001,0.595,0.625,170.31959533691406,79.55528259277344
5,0.6,0.5925,0.6475000000000001,146.22781372070312,120.43367004394531
6,0.6450000000000001,0.625,0.6925,139.95382690429688,41.21653747558594
7,0.635,0.5975,0.66,113.08075714111328,145.53826904296875
8,0.6624999999999999,0.6525000000000001,0.705,61.71251678466797,60.050357818603516
9,0.67,0.6525000000000001,0.7075000000000001,75.0221939086914,111.37895965576172
10,0.6825000000000001,0.685,0.72,31.741107940673828,30.048656463623047
11,0.695,0.7125,0.7525000000000001,96.93732452392578,57.250701904296875
12,0.7049999999999998,0.6975,0.7425,84.18171691894531,74.35556030273438
13,0.6775000000000001,0.6775,0.73,158.01345825195312,22.178455352783203
14,0.6975,0.6874999999999999,0.745,33.76747131347656,102.4494857788086
15,0.6950000000000001,0.7025,0.7625000000000002,43.19178009033203,29.436508178710938
16,0.7099999999999999,0.725,0.7725000000000001,70.30157470703125,67.82206726074219
17,0.68,0.7274999999999999,0.735,34.60088348388672,80.47090148925781
18,0.6725000000000001,0.725,0.785,82.94770812988281,69.14186096191406
19,0.7224999999999999,0.7474999999999999,0.785,59.17748260498047,41.69720458984375
20,0.7449999999999999,0.69,0.7825,37.92930603027344,62.143104553222656
21,0.7374999999999999,0.7274999999999999,0.7775000000000001,37.20455551147461,34.35915756225586
22,0.7225,0.7124999999999999,0.75,26.08315658569336,45.72948455810547
23,0.73,0.76,0.7899999999999999,57.15412139892578,112.20289611816406
24,0.7375,0.7649999999999999,0.7924999999999999,67.28826141357422,41.95030975341797
25,0.7374999999999999,0.745,0.7925,42.41495895385742,6.36004638671875
26,0.7250000000000001,0.7224999999999999,0.78,106.85227966308594,18.339324951171875
27,0.7324999999999999,0.7449999999999999,0.7925000000000002,41.99185562133789,32.43913269042969
28,0.7750000000000001,0.7575000000000001,0.7825,39.0604133605957,106.42884063720703
29,0.7674999999999998,0.76,0.805,59.395545959472656,27.645641326904297
30,0.745,0.7375,0.7949999999999999,25.668317794799805,71.48770141601562
31,0.76,0.735,0.7899999999999999,66.31917572021484,12.256675720214844
32,0.7449999999999999,0.7575000000000001,0.805,29.888153076171875,42.86617660522461
33,0.7300000000000001,0.7849999999999999,0.8150000000000001,33.98814010620117,25.174652099609375
34,0.7799999999999999,0.745,0.8075000000000001,65.45184326171875,67.27305603027344
35,0.755,0.7575000000000001,0.8049999999999999,45.62732696533203,34.36328887939453
36,0.7575000000000001,0.7575000000000001,0.8074999999999999,28.16344451904297,20.80005645751953
37,0.765,0.7699999999999999,0.8099999999999999,17.628520965576172,27.597293853759766
38,0.7699999999999999,0.7999999999999999,0.82,10.727540969848633,33.49040985107422
39,0.7625000000000001,0.7825,0.8125,13.449092864990234,12.507885932922363
40,0.76,0.8049999999999999,0.8375,30.149580001831055,36.03025817871094
41,0.7999999999999999,0.8049999999999999,0.8275,26.77001190185547,9.593792915344238
42,0.7925000000000002,0.82,0.8450000000000001,17.990751266479492,14.352388381958008
43,0.8099999999999999,0.8049999999999999,0.8549999999999999,14.734321594238281,26.04475212097168
44,0.8075000000000001,0.8175000000000001,0.8474999999999999,10.837397575378418,23.933128356933594
45,0.7925,0.8075000000000001,0.865,11.02375602722168,19.789390563964844
46,0.8074999999999999,0.7975,0.8525,20.17803192138672,12.146791458129883
47,0.8150000000000001,0.8125,0.86,10.903693199157715,4.468391418457031
48,0.805,0.8149999999999998,0.8574999999999999,2.232363700866699,8.316903114318848
49,0.8150000000000001,0.8225,0.85,2.526735305786133,10.981517791748047
50,0.8200000000000001,0.8125,0.8574999999999999,19.40289878845215,10.192532539367676
51,0.8150000000000001,0.8224999999999998,0.8625,3.3676702976226807,29.93576431274414
52,0.8174999999999999,0.8175000000000001,0.86,3.8268179893493652,26.939151763916016
53,0.8225,0.8125,0.8625,7.01247501373291,9.402379989624023
54,0.8225,0.8099999999999999,0.86,11.26905345916748,23.366008758544922
55,0.8125,0.8174999999999999,0.8625,0.6547837257385254,10.437761306762695
56,0.8125,0.8174999999999999,0.8625,23.841352462768555,8.391288757324219
57,0.8125,0.8174999999999999,0.8625,22.288894653320312,6.679905414581299
58,0.8099999999999999,0.8174999999999999,0.8549999999999999,4.313952445983887,5.118133544921875
59,0.8125,0.8149999999999998,0.8574999999999999,20.367238998413086,9.827014923095703
