,acc_1,acc_2,acc_3,acc_ensemble,loss_1,loss_2,loss_3,val_acc_1,val_acc_2,val_acc_3,val_acc_ensemble,val_loss_1,val_loss_2,val_loss_3
0,0.9215666651725769,0.9128999710083008,0.9173666834831238,0.929183304309845,0.23761782050132751,0.23418623208999634,0.20606452226638794,0.9211999773979187,0.9089999794960022,0.916100025177002,0.9276999831199646,0.2472732961177826,0.278462290763855,0.2682359516620636
1,0.9351166486740112,0.9354166388511658,0.9362333416938782,0.944100022315979,0.028031207621097565,0.08689741045236588,0.07020200043916702,0.9351999759674072,0.9340999722480774,0.9369999766349792,0.9437999725341797,0.2187127023935318,0.2086104452610016,0.21218661963939667
2,0.9439666867256165,0.941516637802124,0.937333345413208,0.9477499723434448,0.047926440834999084,0.016987614333629608,0.041719209402799606,0.9419000148773193,0.941100001335144,0.9340999722480774,0.9444000124931335,0.18329915404319763,0.18982024490833282,0.20839594304561615
3,0.9456333518028259,0.9440833330154419,0.9462166428565979,0.9499666690826416,0.009525328874588013,0.11915893852710724,0.006933082826435566,0.9416000247001648,0.9424999952316284,0.9409000277519226,0.9467999935150146,0.1842530518770218,0.18168853223323822,0.18533684313297272
4,0.9474666714668274,0.9491833448410034,0.9483833312988281,0.953083336353302,0.09523331373929977,0.004026779904961586,0.07703940570354462,0.9455999732017517,0.9472000002861023,0.9447000026702881,0.9491000175476074,0.1782163679599762,0.17275473475456238,0.1800244152545929
5,0.9480166435241699,0.9462000131607056,0.9487000107765198,0.9538999795913696,0.010764663107693195,0.008319385349750519,0.01076146773993969,0.9434999823570251,0.940500020980835,0.9478999972343445,0.9488999843597412,0.1840769201517105,0.19163364171981812,0.176383376121521
6,0.947516679763794,0.9455166459083557,0.9517333507537842,0.9522500038146973,0.004548424389213324,0.001391242491081357,0.008527098223567009,0.9417999982833862,0.9431999921798706,0.9460999965667725,0.9480999708175659,0.1869017630815506,0.1926378607749939,0.17661471664905548
7,0.9543833136558533,0.9516500234603882,0.9543833136558533,0.9557999968528748,0.05781485512852669,0.002099075587466359,0.00912385992705822,0.9491999745368958,0.9451000094413757,0.9496999979019165,0.9517999887466431,0.1658770740032196,0.17346864938735962,0.16769815981388092
8,0.9525499939918518,0.954883337020874,0.9557999968528748,0.9567499756813049,0.008485386148095131,0.0009545425418764353,0.0035061007365584373,0.9502999782562256,0.9508000016212463,0.9513000249862671,0.9544000029563904,0.1709015965461731,0.1628296822309494,0.16174975037574768
9,0.9517666697502136,0.9505333304405212,0.9456833600997925,0.9527166485786438,0.02017468772828579,0.0024035456590354443,0.009284120984375477,0.9480000138282776,0.9472000002861023,0.9413999915122986,0.9488000273704529,0.17922163009643555,0.18359026312828064,0.20234818756580353
10,0.95701664686203,0.956849992275238,0.9566166400909424,0.9583333134651184,0.0007446473464369774,0.42132607102394104,0.0010687136091291904,0.95169997215271,0.9509999752044678,0.9517999887466431,0.9546999931335449,0.16774995625019073,0.16743843257427216,0.16427265107631683
11,0.9563833475112915,0.9539999961853027,0.9573833346366882,0.9578666687011719,0.0022647969890385866,0.008063687942922115,0.001962070120498538,0.9528999924659729,0.9490000009536743,0.9523000121116638,0.9539999961853027,0.1679380089044571,0.18036788702011108,0.16540715098381042
12,0.9546666741371155,0.9562000036239624,0.9558333158493042,0.9580666422843933,0.006041357293725014,0.0010796601418405771,0.0006756102084182203,0.9506999850273132,0.9495999813079834,0.9506000280380249,0.953499972820282,0.17610889673233032,0.17893710732460022,0.17408327758312225
13,0.954800009727478,0.9557999968528748,0.9465166926383972,0.9551666378974915,0.0023721628822386265,0.001718059997074306,0.01510530710220337,0.9502000212669373,0.9503999948501587,0.9442999958992004,0.9510999917984009,0.17823044955730438,0.1750483363866806,0.20431624352931976
14,0.9513499736785889,0.956250011920929,0.9538999795913696,0.9568666815757751,0.001523339538834989,0.0016596580389887094,0.00544106075540185,0.9485999941825867,0.9510999917984009,0.9495000243186951,0.953000009059906,0.19225303828716278,0.17542317509651184,0.18424339592456818
