,train_acc_1,train_acc_2,train_acc_3,train_acc_4,train_acc_5,train_acc_6,train_acc_ensemble,train_loss_1,train_loss_2,train_loss_3,train_loss_4,train_loss_5,train_loss_6,val_acc_1,val_acc_2,val_acc_3,val_acc_4,val_acc_5,val_acc_6,val_acc_ensemble,val_loss_1,val_loss_2,val_loss_3,val_loss_4,val_loss_5,val_loss_6
0,0.9375,0.90625,1.0,0.9375,0.9375,0.9375,0.4375,0.6903783082962036,0.837425172328949,0.606087327003479,0.7538461089134216,0.7321059703826904,0.7052909731864929,0.9714000225067139,0.9697999954223633,0.9664000272750854,0.9682999849319458,0.9713000059127808,0.9688000082969666,0.9810000061988831,0.5808619856834412,0.592337429523468,0.6113042235374451,0.6051398515701294,0.5881757140159607,0.5965909361839294
1,0.96875,0.9375,0.9375,1.0,0.96875,1.0,0.3125,0.36668509244918823,0.47545337677001953,0.556786298751831,0.27429085969924927,0.430441677570343,0.30691152811050415,0.9786999821662903,0.9771999716758728,0.978600025177002,0.9760000109672546,0.9763000011444092,0.9749000072479248,0.982200026512146,0.3952596187591553,0.39337825775146484,0.4023432731628418,0.40510815382003784,0.3999444246292114,0.3980734646320343
2,1.0,1.0,1.0,1.0,1.0,1.0,0.1875,0.3116168677806854,0.22720816731452942,0.3241627812385559,0.22895799577236176,0.2732832431793213,0.2854345440864563,0.9793000221252441,0.979200005531311,0.9793000221252441,0.977400004863739,0.9778000116348267,0.9776999950408936,0.9825999736785889,0.31530848145484924,0.3138481378555298,0.32001426815986633,0.3239429295063019,0.3181841969490051,0.3167693018913269
3,0.96875,0.96875,1.0,1.0,1.0,1.0,0.28125,0.3973449468612671,0.25855204463005066,0.21176794171333313,0.14853815734386444,0.14983659982681274,0.21580623090267181,0.9807999730110168,0.9814000129699707,0.9801999926567078,0.9797999858856201,0.9803000092506409,0.9789999723434448,0.9824000000953674,0.26964282989501953,0.2675728499889374,0.27435269951820374,0.2759409248828888,0.268675833940506,0.2720375061035156
4,1.0,1.0,1.0,1.0,0.9375,1.0,0.3125,0.14805370569229126,0.1162559986114502,0.1657809019088745,0.12426529824733734,0.44722503423690796,0.13587117195129395,0.9805999994277954,0.9801999926567078,0.980400025844574,0.9794999957084656,0.9805999994277954,0.9793000221252441,0.982699990272522,0.24102596938610077,0.2401133030653,0.2446967214345932,0.2452637255191803,0.23936645686626434,0.24355171620845795
5,1.0,1.0,1.0,1.0,1.0,1.0,0.375,0.1600475162267685,0.1714145541191101,0.1006070077419281,0.08316878974437714,0.12081432342529297,0.1370014250278473,0.9811999797821045,0.9817000031471252,0.9811000227928162,0.980400025844574,0.9812999963760376,0.9801999926567078,0.9825999736785889,0.21890351176261902,0.21881727874279022,0.22473378479480743,0.2256169468164444,0.221878781914711,0.22383297979831696
6,1.0,0.96875,1.0,1.0,1.0,1.0,0.4375,0.09381748735904694,0.2126072496175766,0.1033211350440979,0.17504224181175232,0.07544270157814026,0.09253528714179993,0.9825999736785889,0.9812999963760376,0.9807999730110168,0.9799000024795532,0.9818999767303467,0.9804999828338623,0.9824000000953674,0.20369312167167664,0.20427089929580688,0.20974528789520264,0.20868723094463348,0.20501650869846344,0.20766767859458923
7,1.0,0.96875,1.0,1.0,1.0,1.0,0.78125,0.09661092609167099,0.2198731005191803,0.06379048526287079,0.07891363650560379,0.08250099420547485,0.12192454934120178,0.982200026512146,0.9815999865531921,0.9811000227928162,0.9810000061988831,0.9815000295639038,0.9794999957084656,0.982699990272522,0.19164323806762695,0.19521471858024597,0.19632111489772797,0.1977536827325821,0.19239161908626556,0.19656533002853394
8,1.0,1.0,1.0,1.0,1.0,1.0,0.3125,0.0675325095653534,0.0712936669588089,0.05450494587421417,0.08900932967662811,0.07279558479785919,0.09110158681869507,0.9829999804496765,0.9814000129699707,0.9817000031471252,0.9811000227928162,0.9814000129699707,0.9807999730110168,0.9829999804496765,0.18317760527133942,0.1841832995414734,0.1865588128566742,0.18861651420593262,0.186526820063591,0.1851613074541092
9,1.0,1.0,0.96875,1.0,1.0,1.0,0.375,0.053242944180965424,0.06216859817504883,0.3867853879928589,0.08217144012451172,0.11734703183174133,0.060365356504917145,0.9825999736785889,0.9817000031471252,0.982200026512146,0.9812999963760376,0.9815999865531921,0.98089998960495,0.9825000166893005,0.17507857084274292,0.1743411123752594,0.1783633977174759,0.1796470284461975,0.17788036167621613,0.17631731927394867
10,1.0,1.0,1.0,1.0,1.0,1.0,0.3125,0.08759346604347229,0.07447470724582672,0.041414350271224976,0.04538094252347946,0.04598277807235718,0.07798115909099579,0.9829000234603882,0.982200026512146,0.9825000166893005,0.9812999963760376,0.9818999767303467,0.9810000061988831,0.9833999872207642,0.16776303946971893,0.16807931661605835,0.17132942378520966,0.17323090136051178,0.1699586659669876,0.1724126935005188
11,1.0,1.0,1.0,1.0,1.0,1.0,0.34375,0.04788840562105179,0.05979223921895027,0.08863691985607147,0.047872111201286316,0.05638142302632332,0.07416968047618866,0.9822999835014343,0.9815000295639038,0.9817000031471252,0.9807999730110168,0.9815000295639038,0.98089998960495,0.983299970626831,0.16232964396476746,0.16619814932346344,0.16585524380207062,0.1678011566400528,0.1636507660150528,0.16616716980934143
12,1.0,1.0,1.0,1.0,1.0,1.0,0.34375,0.04553407058119774,0.06437549740076065,0.03750980272889137,0.06834349781274796,0.05253833532333374,0.06473211199045181,0.9825000166893005,0.9817000031471252,0.9822999835014343,0.9811999797821045,0.9822999835014343,0.9810000061988831,0.9825999736785889,0.1582765430212021,0.1595790982246399,0.1614479422569275,0.16326415538787842,0.15976814925670624,0.1630081981420517
13,1.0,1.0,0.96875,1.0,0.96875,1.0,0.46875,0.04386547952890396,0.08218789100646973,0.10697131603956223,0.0816761925816536,0.120608389377594,0.06821102648973465,0.982699990272522,0.9817000031471252,0.9829999804496765,0.9812999963760376,0.9821000099182129,0.9807999730110168,0.9829999804496765,0.1564168781042099,0.15630479156970978,0.15761373937129974,0.1589449942111969,0.15564852952957153,0.15779685974121094
14,1.0,1.0,1.0,1.0,1.0,1.0,0.46875,0.05318453162908554,0.02361026406288147,0.04535844177007675,0.04188947379589081,0.05473434180021286,0.043999239802360535,0.982699990272522,0.982200026512146,0.9830999970436096,0.9812999963760376,0.9825999736785889,0.9814000129699707,0.9835000038146973,0.1513414978981018,0.15160256624221802,0.15392959117889404,0.1547630876302719,0.15205810964107513,0.15407757461071014
