,train_acc_1,train_acc_2,train_acc_3,train_acc_ensemble,train_loss_1,train_loss_2,train_loss_3,val_acc_1,val_acc_2,val_acc_3,val_acc_ensemble,val_loss_1,val_loss_2,val_loss_3
0,0.84375,0.96875,0.90625,0.40625,0.7271633744239807,0.5540848970413208,0.5849541425704956,0.9178000092506409,0.9186999797821045,0.9214000105857849,0.9294999837875366,0.581328809261322,0.5743052363395691,0.5761326551437378
1,0.96875,0.90625,0.9375,0.3125,0.4640403687953949,0.627694308757782,0.47070378065109253,0.9394999742507935,0.9345999956130981,0.9404000043869019,0.9435999989509583,0.4323500096797943,0.4445865750312805,0.4236198663711548
2,1.0,0.96875,0.875,0.46875,0.30270975828170776,0.28638386726379395,0.5360370874404907,0.942300021648407,0.9409999847412109,0.9412000179290771,0.948199987411499,0.3670226037502289,0.36632367968559265,0.3713212013244629
3,0.96875,1.0,0.96875,0.5625,0.2745710015296936,0.18955230712890625,0.2781493067741394,0.9491000175476074,0.9472000002861023,0.9477999806404114,0.9545000195503235,0.3134620785713196,0.3168213665485382,0.3204394280910492
4,0.90625,0.96875,0.90625,0.40625,0.5153717994689941,0.2857552170753479,0.39072874188423157,0.9485999941825867,0.9458000063896179,0.9485999941825867,0.9527000188827515,0.2846958637237549,0.29283881187438965,0.28574320673942566
5,1.0,0.96875,1.0,0.5625,0.22768639028072357,0.24070876836776733,0.1702190786600113,0.9527000188827515,0.9473999738693237,0.9535999894142151,0.9581000208854675,0.2523929178714752,0.269635945558548,0.24752578139305115
6,1.0,0.9375,0.875,0.4375,0.2226473093032837,0.25911325216293335,0.553280234336853,0.9513000249862671,0.9556000232696533,0.9538999795913696,0.9570000171661377,0.23959745466709137,0.23065043985843658,0.23659279942512512
7,1.0,0.90625,0.96875,0.5,0.12738651037216187,0.3272191286087036,0.19567212462425232,0.9528999924659729,0.9552000164985657,0.9557999968528748,0.9588000178337097,0.22565102577209473,0.2164478749036789,0.2137274444103241
8,1.0,1.0,1.0,0.4375,0.14818572998046875,0.13135775923728943,0.07791305333375931,0.9539999961853027,0.95660001039505,0.9581999778747559,0.9598000049591064,0.2102433145046234,0.2071656435728073,0.19882269203662872
9,1.0,0.96875,1.0,0.5625,0.11824774742126465,0.18309763073921204,0.06251654773950577,0.9567999839782715,0.9567000269889832,0.9575999975204468,0.9606999754905701,0.19583071768283844,0.19777436554431915,0.19217774271965027
