,train_loss,train_acc,val_loss,val_acc
0,1.025364875793457,0.84375,0.9987265467643738,0.8866000175476074
1,0.691654622554779,0.96875,0.7079229354858398,0.9570000171661377
2,0.6160303354263306,0.96875,0.5550112724304199,0.9684000015258789
3,0.48731666803359985,0.96875,0.46233880519866943,0.9735999703407288
4,0.3248157203197479,1.0,0.4000056982040405,0.9769999980926514
5,0.3235953450202942,1.0,0.3540360629558563,0.9785000085830688
6,0.42472201585769653,0.9375,0.317610502243042,0.9797000288963318
7,0.3011622428894043,1.0,0.29229581356048584,0.9800000190734863
8,0.18902592360973358,1.0,0.27074500918388367,0.9799000024795532
9,0.24277657270431519,1.0,0.25318437814712524,0.9799000024795532
