,acc_ensemble,acc_1,acc_2,acc_3,acc_4,acc_5,acc_6,val_acc_ensemble,val_acc_1,val_acc_2,val_acc_3,val_acc_4,val_acc_5,val_acc_6,loss_1,loss_2,loss_3,loss_4,loss_5,loss_6,val_loss_1,val_loss_2,val_loss_3,val_loss_4,val_loss_5,val_loss_6
0,1.0,0.9933333396911621,0.9950000047683716,1.0,1.0,0.996666669845581,1.0,0.906499981880188,0.870199978351593,0.8773000240325928,0.8871999979019165,0.8787999749183655,0.8756999969482422,0.8812999725341797,0.1310054212808609,0.016407884657382965,0.0028459024615585804,0.007102338597178459,0.05604346841573715,0.00442653801292181,0.4983678162097931,0.45319268107414246,0.4230410158634186,0.4357341229915619,0.46590566635131836,0.44038623571395874
1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9125000238418579,0.8956000208854675,0.9014000296592712,0.8924999833106995,0.8962000012397766,0.8960999846458435,0.8910999894142151,0.003548386972397566,0.001238618278875947,0.0006524838972836733,0.00027133425464853644,0.000752217834815383,0.0008141553262248635,0.4285184442996979,0.40352773666381836,0.4327971637248993,0.40646666288375854,0.4180242717266083,0.42190873622894287
2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9136000275611877,0.8981999754905701,0.9038000106811523,0.8962000012397766,0.8980000019073486,0.8973000049591064,0.8949999809265137,0.00029384077060967684,0.0010803543264046311,0.00038950025918893516,0.0002049114991677925,0.00031042666523717344,0.0006511585670523345,0.428546667098999,0.40357154607772827,0.43161147832870483,0.4097100496292114,0.4233405292034149,0.4244195222854614
3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9138000011444092,0.8985999822616577,0.904699981212616,0.8962000012397766,0.8988000154495239,0.8981000185012817,0.8964999914169312,0.00027669130940921605,0.00033626746153458953,0.00033933151280507445,0.00030014579533599317,0.0002048340393230319,0.00033791299210861325,0.4322422742843628,0.4070335328578949,0.43590274453163147,0.4139423966407776,0.42780801653862,0.42716678977012634
4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9142000079154968,0.8992000222206116,0.904699981212616,0.8971999883651733,0.8995000123977661,0.8984000086784363,0.8978999853134155,0.00018053750682156533,0.00017923410632647574,0.0002835841150954366,0.00035238260170444846,0.00029967419686727226,0.0001676163956290111,0.43552762269973755,0.40985000133514404,0.4385676681995392,0.41694316267967224,0.43194863200187683,0.43028590083122253
5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9140999913215637,0.8999000191688538,0.9049999713897705,0.8977000117301941,0.8999000191688538,0.8986999988555908,0.8978999853134155,0.0002237562439404428,0.0001419188774889335,0.00015956597053445876,6.869548815302551e-05,0.00012345900177024305,0.00010133980686077848,0.4383315443992615,0.4131622016429901,0.4413084089756012,0.42060303688049316,0.43544432520866394,0.43342041969299316
6,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9139999747276306,0.9002000093460083,0.9056000113487244,0.8981000185012817,0.8999999761581421,0.8988000154495239,0.8985999822616577,0.0001089740326278843,0.0001413532590959221,0.00020404330280143768,0.0001860205375123769,6.903396570123732e-05,0.0001766527129802853,0.4418152868747711,0.4165247976779938,0.4434867203235626,0.42376625537872314,0.43880927562713623,0.4362912178039551
7,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9135000109672546,0.9003000259399414,0.9056000113487244,0.8988999724388123,0.9003999829292297,0.8985999822616577,0.8988000154495239,0.00015296958736144006,0.00010230888437945396,9.741794201545417e-05,8.511511259712279e-05,9.827223402680829e-05,0.00010969513823511079,0.444153368473053,0.41900214552879333,0.44544145464897156,0.42696240544319153,0.4419372081756592,0.4391080141067505
8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9135000109672546,0.9000999927520752,0.9056000113487244,0.8991000056266785,0.9003999829292297,0.8989999890327454,0.8988999724388123,0.0002053768839687109,0.00034889220842160285,7.008310058154166e-05,0.00010225145524600521,0.00013231587945483625,7.115384505596012e-05,0.44685977697372437,0.4215594232082367,0.44792285561561584,0.4296346604824066,0.44512689113616943,0.4413706064224243
9,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9135000109672546,0.9002000093460083,0.9059000015258789,0.8998000025749207,0.9002000093460083,0.899399995803833,0.8986999988555908,8.481153781758621e-05,4.8418238293379545e-05,7.942905358504504e-05,0.0001242801663465798,8.519166294718161e-05,5.069113103672862e-05,0.4492136836051941,0.42365264892578125,0.4499441385269165,0.4315984845161438,0.4474775493144989,0.44376465678215027
