,acc_ensemble,acc_1,acc_2,acc_3,acc_4,acc_5,acc_6,val_acc_ensemble,val_acc_1,val_acc_2,val_acc_3,val_acc_4,val_acc_5,val_acc_6,loss_1,loss_2,loss_3,loss_4,loss_5,loss_6,val_loss_1,val_loss_2,val_loss_3,val_loss_4,val_loss_5,val_loss_6
0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8962000012397766,0.8928999900817871,0.8898000121116638,0.8898000121116638,0.8920000195503235,0.8924999833106995,0.8917999863624573,0.008743572980165482,0.008685611188411713,0.00912257470190525,0.012167181819677353,0.009368454106152058,0.011764203198254108,0.3702273666858673,0.3773181140422821,0.3878418803215027,0.37551021575927734,0.37561747431755066,0.3718309700489044
1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.896399974822998,0.8927000164985657,0.892300009727478,0.8924000263214111,0.8948000073432922,0.8944000005722046,0.8939999938011169,0.002572812605649233,0.005087001249194145,0.004112706054002047,0.004953894764184952,0.0036109122447669506,0.0030027227476239204,0.38067227602005005,0.3821931779384613,0.3930254876613617,0.3809933066368103,0.3786868751049042,0.3823985457420349
2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8959000110626221,0.8927000164985657,0.8924000263214111,0.8927000164985657,0.8955000042915344,0.89410001039505,0.8935999870300293,0.002755003748461604,0.0024706630501896143,0.0024535181000828743,0.0025372281670570374,0.0025148834101855755,0.0015847522299736738,0.38738226890563965,0.3884556293487549,0.3974854350090027,0.388438880443573,0.38776475191116333,0.38902735710144043
3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8953999876976013,0.8927000164985657,0.8921999931335449,0.8924999833106995,0.8952000141143799,0.8937000036239624,0.89410001039505,0.00159563054330647,0.0021768591832369566,0.00134280975908041,0.0018442596774548292,0.00154909398406744,0.0011645369231700897,0.39605554938316345,0.3958487808704376,0.4056774377822876,0.3962099254131317,0.3950233459472656,0.3973544239997864
4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8952000141143799,0.8924999833106995,0.8925999999046326,0.8924999833106995,0.8949999809265137,0.8948000073432922,0.8939999938011169,0.0013095446629449725,0.0006973320851102471,0.0013493344886228442,0.0006290356395766139,0.0012220143107697368,0.00151308614294976,0.4032900333404541,0.4020729064941406,0.4120306670665741,0.40329378843307495,0.39959970116615295,0.4036498963832855
5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8952000141143799,0.8920999765396118,0.8917999863624573,0.8924999833106995,0.8942999839782715,0.8939999938011169,0.8932999968528748,0.000785515527240932,0.0005954133812338114,0.0006355810910463333,0.0006869662902317941,0.001086401054635644,0.0009172909776680171,0.4085683226585388,0.4078156352043152,0.4179445207118988,0.4087466895580292,0.40649545192718506,0.4094630777835846
6,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8953999876976013,0.8912000060081482,0.8913000226020813,0.892799973487854,0.8934999704360962,0.8934999704360962,0.892799973487854,0.000799186818767339,0.000734696164727211,0.0006681897793896496,0.0007059299969114363,0.0008757098112255335,0.0007675188826397061,0.4145796298980713,0.41257479786872864,0.4224812984466553,0.41373130679130554,0.41018301248550415,0.4146953225135803
7,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8952000141143799,0.8909000158309937,0.8913999795913696,0.892799973487854,0.8939999938011169,0.8942999839782715,0.8925999999046326,0.0003458711435087025,0.000519641675055027,0.0005179881118237972,0.0005652096588164568,0.000560610496904701,0.0007292304653674364,0.41822537779808044,0.4166922867298126,0.426241010427475,0.41803741455078125,0.41371098160743713,0.41875067353248596
8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8942000269889832,0.8912000060081482,0.8906999826431274,0.8930000066757202,0.8938999772071838,0.8937000036239624,0.8924000263214111,0.0006029886426404119,0.0004034085723105818,0.0004502713563852012,0.00034321166458539665,0.0005265152431093156,0.00047453463776037097,0.42250996828079224,0.42016083002090454,0.4305940568447113,0.421232134103775,0.4177864193916321,0.4224626123905182
9,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8937000036239624,0.8909000158309937,0.8909000158309937,0.8925999999046326,0.8935999870300293,0.8938000202178955,0.8920999765396118,0.00031891162507236004,0.0005038600647822022,0.0004285145550966263,0.0003480258455965668,0.0004735618131235242,0.00041144865099340677,0.42524293065071106,0.4241541028022766,0.434230774641037,0.4254160523414612,0.4217510223388672,0.4262819290161133
