,train_acc,train_loss,val_acc,val_loss
0,0.8125,0.6003004312515259,0.9154000282287598,0.2804111838340759
1,0.96875,0.07761814445257187,0.9320999979972839,0.22231194376945496
2,0.90625,0.2523820400238037,0.9369000196456909,0.19525474309921265
3,0.96875,0.12615050375461578,0.9361000061035156,0.2061338871717453
4,0.9375,0.44862207770347595,0.9484000205993652,0.16715016961097717
5,1.0,0.008470548316836357,0.9437999725341797,0.18705405294895172
6,1.0,0.023386260494589806,0.9451000094413757,0.1746215522289276
7,1.0,0.012635450810194016,0.9376000165939331,0.20505231618881226
8,1.0,0.011997232213616371,0.9466000199317932,0.17890146374702454
9,1.0,0.006879087071865797,0.9502999782562256,0.16511279344558716
10,1.0,0.005744346883147955,0.951200008392334,0.16700977087020874
11,1.0,0.006252318155020475,0.9394999742507935,0.20091000199317932
12,0.875,0.3888667821884155,0.9437000155448914,0.2100921869277954
13,0.875,0.4334140717983246,0.9447000026702881,0.19521842896938324
14,1.0,0.011869197711348534,0.9426000118255615,0.20075388252735138
