,acc_ensemble,acc_1,acc_2,val_acc_ensemble,val_acc_1,val_acc_2,loss_1,loss_2,val_loss_1,val_loss_2
0,1.0,0.996666669845581,1.0,0.8985999822616577,0.8920000195503235,0.8920999765396118,0.020791908726096153,0.04308699816465378,0.35298633575439453,0.3528035581111908
1,1.0,1.0,1.0,0.8988000154495239,0.8960999846458435,0.8960999846458435,0.00887614581733942,0.007486859802156687,0.34871214628219604,0.3519733250141144
2,1.0,1.0,1.0,0.8996000289916992,0.8966000080108643,0.8981000185012817,0.004122342448681593,0.003834347240626812,0.35328927636146545,0.3511250913143158
3,1.0,1.0,1.0,0.8985999822616577,0.8974000215530396,0.8981999754905701,0.00248116347938776,0.002828757045790553,0.358594685792923,0.3569701313972473
4,1.0,1.0,1.0,0.8981999754905701,0.8962000012397766,0.8967999815940857,0.0018546032952144742,0.001716680359095335,0.36259961128234863,0.3638511300086975
5,1.0,1.0,1.0,0.8984000086784363,0.896399974822998,0.8991000056266785,0.0012287155259400606,0.0008810000726953149,0.3679566979408264,0.3656913936138153
6,1.0,1.0,1.0,0.8981000185012817,0.8960000276565552,0.8973000049591064,0.000988013343885541,0.0008887917501851916,0.3726796805858612,0.36899039149284363
7,1.0,1.0,1.0,0.8978000283241272,0.8955000042915344,0.8973000049591064,0.001476768869906664,0.0008230236126109958,0.37548744678497314,0.3738501965999603
8,1.0,1.0,1.0,0.8985999822616577,0.8964999914169312,0.8970000147819519,0.0006450453656725585,0.001026068814098835,0.37884387373924255,0.3785683810710907
9,1.0,1.0,1.0,0.8978000283241272,0.8949000239372253,0.8974999785423279,0.0005485368892550468,0.0005922296550124884,0.38296470046043396,0.3816746473312378
