,train_acc_1,train_acc_2,train_acc_3,train_acc_4,train_acc_5,train_acc_6,train_acc_ensemble,train_loss_1,train_loss_2,train_loss_3,train_loss_4,train_loss_5,train_loss_6,val_acc_1,val_acc_2,val_acc_3,val_acc_4,val_acc_5,val_acc_6,val_acc_ensemble,val_loss_1,val_loss_2,val_loss_3,val_loss_4,val_loss_5,val_loss_6
0,0.90625,0.96875,0.9375,0.9375,0.9375,0.90625,0.1875,1.717149257659912,1.6965336799621582,1.4057068824768066,1.5384485721588135,1.5930659770965576,1.8072693347930908,0.9581999778747559,0.9822999835014343,0.9693499803543091,0.9801499843597412,0.9613500237464905,0.9810500144958496,0.9882000088691711,1.0023390054702759,0.8929974436759949,0.9771397709846497,0.9427440166473389,0.9822434782981873,0.9128665924072266
1,0.9375,0.96875,0.875,0.96875,0.96875,0.96875,0.03125,1.3974409103393555,1.3460110425949097,1.5451269149780273,1.2769742012023926,1.099567174911499,1.0537505149841309,0.9658499956130981,0.9857500195503235,0.9751499891281128,0.986050009727478,0.9759500026702881,0.9850999712944031,0.9879999756813049,0.6599414348602295,0.5547933578491211,0.6217054724693298,0.5762492418289185,0.6165872812271118,0.5742461681365967
2,0.9375,1.0,0.96875,0.96875,0.9375,0.9375,0.125,0.9546889662742615,0.8419541120529175,0.7119172811508179,0.7830538749694824,1.2063664197921753,1.2003259658813477,0.975350022315979,0.9858499765396118,0.9754999876022339,0.9858499765396118,0.9850999712944031,0.986050009727478,0.9879999756813049,0.4941650927066803,0.42301055788993835,0.4893074631690979,0.4418376386165619,0.45254266262054443,0.43524813652038574
3,1.0,0.9375,1.0,0.96875,1.0,0.9375,0.09375,0.9057592749595642,0.9056572914123535,0.6100842952728271,0.9295387268066406,0.6539798974990845,1.017257809638977,0.9763500094413757,0.9860000014305115,0.9757000207901001,0.9857000112533569,0.9855999946594238,0.9865999817848206,0.98785001039505,0.41777369379997253,0.3535022437572479,0.42235416173934937,0.36578020453453064,0.3702267110347748,0.36272481083869934
4,0.96875,0.96875,1.0,0.96875,0.9375,1.0,0.15625,0.47828418016433716,0.5082967281341553,0.5261927843093872,0.7176733016967773,0.8711790442466736,0.43115687370300293,0.9763000011444092,0.98580002784729,0.9752500057220459,0.986050009727478,0.9855999946594238,0.9861999750137329,0.9879500269889832,0.37148886919021606,0.31518417596817017,0.3790193796157837,0.32070204615592957,0.3254888653755188,0.3159319758415222
5,0.875,1.0,0.96875,0.9375,1.0,1.0,0.125,1.1180825233459473,0.5222651958465576,0.7813811302185059,0.8782202005386353,0.44415992498397827,0.35233503580093384,0.975600004196167,0.9856500029563904,0.9751499891281128,0.9858999848365784,0.9855499863624573,0.9861000180244446,0.9879999756813049,0.3543775975704193,0.2884795367717743,0.34829750657081604,0.29422280192375183,0.29932671785354614,0.2973940372467041
6,1.0,1.0,1.0,1.0,0.90625,1.0,0.21875,0.49354618787765503,0.26457810401916504,0.294281542301178,0.24014854431152344,1.0689948797225952,0.42725834250450134,0.9759500026702881,0.9856500029563904,0.9748499989509583,0.98580002784729,0.9852499961853027,0.9856500029563904,0.9879000186920166,0.3336591422557831,0.2701180577278137,0.33003848791122437,0.27452921867370605,0.2829495966434479,0.2771323621273041
7,0.96875,1.0,1.0,1.0,0.96875,0.96875,0.15625,0.6454848051071167,0.34322622418403625,0.48219162225723267,0.34791046380996704,0.5491397976875305,0.38460737466812134,0.9758999943733215,0.9850999712944031,0.9747999906539917,0.9853500127792358,0.9855999946594238,0.9857500195503235,0.9879000186920166,0.32166415452957153,0.26397791504859924,0.3191969096660614,0.2652266323566437,0.2702050805091858,0.2656274735927582
8,0.96875,1.0,1.0,1.0,0.9375,1.0,0.0625,0.7590317130088806,0.24400925636291504,0.3197672367095947,0.38641268014907837,0.6125237941741943,0.3169938027858734,0.9747999906539917,0.9847999811172485,0.9742000102996826,0.9854999780654907,0.9854000210762024,0.9858999848365784,0.9876499772071838,0.3149629533290863,0.25492432713508606,0.3107834458351135,0.2572394907474518,0.25851204991340637,0.25372952222824097
9,0.96875,1.0,1.0,0.90625,1.0,1.0,0.90625,0.39291518926620483,0.3466971218585968,0.2904064357280731,0.8045715689659119,0.2594234347343445,0.26158618927001953,0.9747999906539917,0.9847999811172485,0.9739000201225281,0.9850999712944031,0.9854000210762024,0.9859499931335449,0.9879000186920166,0.3045555055141449,0.2465166449546814,0.30386102199554443,0.24924355745315552,0.2441960871219635,0.24800212681293488
10,0.96875,1.0,1.0,1.0,0.96875,1.0,0.09375,0.3567153513431549,0.2989892363548279,0.2833089232444763,0.2052663266658783,0.4235573410987854,0.27368366718292236,0.9750499725341797,0.9847999811172485,0.973800003528595,0.9846000075340271,0.9853500127792358,0.9857000112533569,0.9876499772071838,0.2978803813457489,0.23998664319515228,0.29763609170913696,0.24317771196365356,0.23979933559894562,0.23983164131641388
11,1.0,1.0,0.9375,1.0,0.9375,1.0,0.1875,0.2914992570877075,0.16328775882720947,0.4992266297340393,0.25954973697662354,0.7810533046722412,0.19472110271453857,0.9748499989509583,0.9844499826431274,0.9742500185966492,0.9846000075340271,0.9850999712944031,0.9851499795913696,0.9876499772071838,0.29290151596069336,0.2397436946630478,0.28940123319625854,0.2426699697971344,0.235159233212471,0.23660355806350708
12,1.0,1.0,0.96875,0.9375,1.0,1.0,0.09375,0.21639558672904968,0.19987812638282776,0.5757257342338562,0.6534373760223389,0.3048984408378601,0.2340696007013321,0.9747499823570251,0.9843000173568726,0.9739999771118164,0.9843999743461609,0.9850999712944031,0.984749972820282,0.9877499938011169,0.28873711824417114,0.2357916235923767,0.28576192259788513,0.2338145524263382,0.23083579540252686,0.23383395373821259
13,0.90625,1.0,0.9375,1.0,1.0,0.96875,0.1875,0.6374797224998474,0.23087704181671143,0.5133140087127686,0.17177477478981018,0.15221624076366425,0.405265748500824,0.9745500087738037,0.984000027179718,0.9731500148773193,0.9844499826431274,0.9848999977111816,0.9851499795913696,0.9878000020980835,0.2827436923980713,0.22724585235118866,0.28317955136299133,0.22893588244915009,0.22880278527736664,0.22905351221561432
14,1.0,1.0,0.875,0.9375,1.0,1.0,0.21875,0.3242332339286804,0.2046402245759964,0.5586557388305664,0.7801035642623901,0.20921945571899414,0.16493311524391174,0.9743499755859375,0.984000027179718,0.9733499884605408,0.9843000173568726,0.9846000075340271,0.984499990940094,0.9878000020980835,0.2815772593021393,0.22365395724773407,0.27860772609710693,0.2261013239622116,0.22337356209754944,0.22771787643432617
