,acc_1,acc_2,acc_3,acc_ensemble,loss_1,loss_2,loss_3,val_acc_1,val_acc_2,val_acc_3,val_acc_ensemble,val_loss_1,val_loss_2,val_loss_3
0,0.3748624920845032,0.37972500920295715,0.382625013589859,0.49383750557899475,3.6444478034973145,3.2659833431243896,2.9110794067382812,0.34556248784065247,0.35052499175071716,0.3492875099182129,0.46149998903274536,3.956571102142334,3.936509370803833,3.9313106536865234
1,0.6130625009536743,0.6190500259399414,0.6218875050544739,0.7471500039100647,0.32122647762298584,0.2476310133934021,0.3710198402404785,0.5820500254631042,0.5861999988555908,0.5924124717712402,0.7232375144958496,2.4791738986968994,2.490769147872925,2.4656741619110107
2,0.6957874894142151,0.6768749952316284,0.6844750046730042,0.794112503528595,0.01560211181640625,0.05362503230571747,0.016168653964996338,0.6662750244140625,0.6486250162124634,0.6551250219345093,0.7707250118255615,1.9826440811157227,2.0208547115325928,2.027388334274292
3,0.72451251745224,0.7141125202178955,0.7178750038146973,0.8162624835968018,0.027776315808296204,0.02256910875439644,0.05354408919811249,0.6965749859809875,0.6877624988555908,0.6915000081062317,0.7954375147819519,1.7568351030349731,1.772318720817566,1.787783145904541
4,0.7374250292778015,0.7314000129699707,0.7264750003814697,0.8226749897003174,0.018335141241550446,0.017796486616134644,0.01580563560128212,0.7095624804496765,0.7040500044822693,0.6990500092506409,0.8030750155448914,1.645578145980835,1.641875982284546,1.6686617136001587
5,0.7472749948501587,0.7315875291824341,0.7533875107765198,0.8323000073432922,0.014932632446289062,0.017363056540489197,0.3551405370235443,0.7199500203132629,0.7013375163078308,0.7260624766349792,0.811424970626831,1.5504144430160522,1.5918338298797607,1.543763518333435
6,0.7468875050544739,0.7666749954223633,0.7387250065803528,0.834262490272522,0.007743007503449917,0.0032557251397520304,0.011028187349438667,0.7181000113487244,0.741100013256073,0.711525022983551,0.8148499727249146,1.5105758905410767,1.453092098236084,1.5360606908798218
7,0.769587516784668,0.766462504863739,0.7667499780654907,0.8417624831199646,1.272836685180664,0.007936272770166397,0.6130737662315369,0.7435749769210815,0.740975022315979,0.7410125136375427,0.8237749934196472,1.4197876453399658,1.4178197383880615,1.4415405988693237
8,0.7743750214576721,0.7757250070571899,0.7791374921798706,0.8455125093460083,0.00620655994862318,0.003295323345810175,0.007637540809810162,0.7478125095367432,0.751550018787384,0.7542999982833862,0.828374981880188,1.3841279745101929,1.3733409643173218,1.3840157985687256
9,0.7764999866485596,0.7733749747276306,0.7751250267028809,0.8442500233650208,0.004714450798928738,0.004120010416954756,0.19799891114234924,0.7519500255584717,0.7498375177383423,0.7504875063896179,0.8279874920845032,1.3546825647354126,1.3581650257110596,1.3734124898910522
10,0.7857499718666077,0.7775624990463257,0.7769625186920166,0.8467125296592712,0.011011144146323204,0.005611186847090721,0.003623450640588999,0.7625250220298767,0.7534000277519226,0.7524625062942505,0.8300750255584717,1.3160357475280762,1.324766755104065,1.3507214784622192
11,0.7931249737739563,0.7833999991416931,0.7880374789237976,0.8504499793052673,0.008998963981866837,0.005597051698714495,0.32475221157073975,0.7703999876976013,0.7600499987602234,0.762862503528595,0.8335124850273132,1.283490777015686,1.2945404052734375,1.3127309083938599
12,0.7866125106811523,0.7785750031471252,0.7704749703407288,0.8475375175476074,0.0040145209059119225,0.0057440223172307014,0.00286867655813694,0.7617124915122986,0.7559375166893005,0.7427250146865845,0.8302124738693237,1.288451075553894,1.2902872562408447,1.3409818410873413
13,0.794237494468689,0.7674750089645386,0.7837125062942505,0.8491250276565552,0.0025930944830179214,0.0077078877948224545,0.0023277157451957464,0.7702999711036682,0.7431125044822693,0.7589374780654907,0.8324750065803528,1.2558342218399048,1.3082530498504639,1.2936766147613525
14,0.799875020980835,0.7806875109672546,0.7930499911308289,0.8535249829292297,0.01627003587782383,0.003244689665734768,0.004551463760435581,0.7766749858856201,0.7569624781608582,0.7701374888420105,0.8375124931335449,1.2315376996994019,1.260431170463562,1.2579247951507568
