,train_acc_1,train_acc_2,train_acc_3,train_acc_4,train_acc_5,train_acc_ensemble,train_loss_1,train_loss_2,train_loss_3,train_loss_4,train_loss_5,val_acc_1,val_acc_2,val_acc_3,val_acc_4,val_acc_5,val_acc_ensemble,val_loss_1,val_loss_2,val_loss_3,val_loss_4,val_loss_5
0,0.8125,0.8125,0.75,0.8125,0.78125,0.21875,2.2866311073303223,2.340254306793213,2.9526968002319336,2.430784225463867,2.3442606925964355,0.8763499855995178,0.8752250075340271,0.8634250164031982,0.8722125291824341,0.8778125047683716,0.9183624982833862,1.7832319736480713,1.7948027849197388,1.8270792961120605,1.7915968894958496,1.7831300497055054
1,1.0,0.8125,0.96875,0.9375,0.96875,0.15625,1.1024377346038818,2.025899887084961,1.318105697631836,1.4581410884857178,1.1763676404953003,0.9465500116348267,0.9451249837875366,0.9407625198364258,0.9466875195503235,0.9491124749183655,0.9657250046730042,1.1642988920211792,1.1702361106872559,1.1948331594467163,1.1684150695800781,1.1583431959152222
2,0.9375,0.90625,0.96875,1.0,1.0,0.21875,1.2888414859771729,1.8059840202331543,1.2244369983673096,0.7176326513290405,0.8349921703338623,0.9556624889373779,0.9560999870300293,0.9545249938964844,0.9563875198364258,0.9576749801635742,0.9686625003814697,0.9438834190368652,0.9458974599838257,0.955920398235321,0.9420337677001953,0.9393157958984375
3,1.0,0.875,1.0,0.875,0.96875,0.28125,0.7424769401550293,1.674203872680664,0.6824490427970886,1.6870205402374268,0.8006073832511902,0.956012487411499,0.9558249711990356,0.9559875130653381,0.9564499855041504,0.9570249915122986,0.9669250249862671,0.8412851691246033,0.8465920090675354,0.8480579853057861,0.8399780988693237,0.837946891784668
4,1.0,1.0,1.0,1.0,1.0,0.21875,0.9279574155807495,0.6658207178115845,0.5554081797599792,0.6866381168365479,0.5692022442817688,0.9556750059127808,0.9551874995231628,0.9557750225067139,0.9555749893188477,0.9560750126838684,0.9648625254631042,0.7776587605476379,0.7815423607826233,0.7780452966690063,0.7789182662963867,0.7742627859115601
5,1.0,1.0,1.0,1.0,0.96875,0.15625,0.4336514472961426,0.5368331074714661,0.2159283608198166,0.4660637676715851,0.5644752979278564,0.9533500075340271,0.9534500241279602,0.953374981880188,0.9533249735832214,0.9532250165939331,0.9620875120162964,0.7450929880142212,0.7473993897438049,0.744978129863739,0.7429289817810059,0.7428374290466309
6,0.96875,1.0,1.0,1.0,1.0,0.0,0.7663905620574951,0.4210667312145233,0.23892521858215332,0.2221490442752838,0.399294912815094,0.9508500099182129,0.9510499835014343,0.9517499804496765,0.9518374800682068,0.9506875276565552,0.9594625234603882,0.7191344499588013,0.7217026352882385,0.7180079221725464,0.7160854935646057,0.7177160382270813
7,1.0,1.0,1.0,1.0,1.0,0.25,0.29254984855651855,0.23896342515945435,0.3928006589412689,0.3427425026893616,0.3421207666397095,0.948437511920929,0.948662519454956,0.9488375186920166,0.9491875171661377,0.948199987411499,0.9567499756813049,0.7021355032920837,0.701743483543396,0.702964723110199,0.6971840858459473,0.7000677585601807
8,1.0,1.0,1.0,1.0,1.0,0.1875,0.2539049983024597,0.24553731083869934,0.2641335129737854,0.25057142972946167,0.3052286207675934,0.9458000063896179,0.9459124803543091,0.9451000094413757,0.9462124705314636,0.9452124834060669,0.953837513923645,0.6973413825035095,0.6978534460067749,0.6969433426856995,0.6903193593025208,0.6965730786323547
9,1.0,1.0,1.0,1.0,1.0,0.15625,0.42433393001556396,0.42669224739074707,0.20042753219604492,0.24731935560703278,0.2075653076171875,0.9430750012397766,0.9430249929428101,0.9427624940872192,0.9437249898910522,0.9423875212669373,0.9516624808311462,0.6900599598884583,0.6889195442199707,0.6879939436912537,0.684051513671875,0.690284252166748
10,1.0,0.96875,0.96875,1.0,1.0,0.09375,0.246547669172287,1.0691635608673096,1.0602128505706787,0.15462076663970947,0.20260804891586304,0.940387487411499,0.9402750134468079,0.9409375190734863,0.9415000081062317,0.9391499757766724,0.9492250084877014,0.6868833303451538,0.6867944598197937,0.6818274259567261,0.679686963558197,0.6887052655220032
11,1.0,1.0,1.0,1.0,1.0,0.125,0.12135443836450577,0.18573607504367828,0.3908417224884033,0.16050243377685547,0.528700053691864,0.9387375116348267,0.9385125041007996,0.9396499991416931,0.9394999742507935,0.9382374882698059,0.9476624727249146,0.6779758930206299,0.6754066348075867,0.6697579622268677,0.6703428626060486,0.6787476539611816
12,1.0,1.0,1.0,1.0,0.96875,0.1875,0.1916595846414566,0.1263333559036255,0.18719905614852905,0.22938242554664612,0.380407452583313,0.935824990272522,0.936287522315979,0.9365124702453613,0.9364625215530396,0.9357874989509583,0.9445750117301941,0.677804172039032,0.6726064682006836,0.6694802045822144,0.6699889898300171,0.6782003045082092
13,0.96875,1.0,1.0,1.0,1.0,0.125,0.3280920386314392,0.19159634411334991,0.15977425873279572,0.08423741161823273,0.21949726343154907,0.9352499842643738,0.9355000257492065,0.9358375072479248,0.9355375170707703,0.934499979019165,0.943387508392334,0.6710759401321411,0.6664556860923767,0.6640158891677856,0.6641892790794373,0.6716325283050537
14,0.96875,1.0,1.0,1.0,1.0,0.15625,0.3078819215297699,0.16581784188747406,0.1544719636440277,0.10760672390460968,0.1364259421825409,0.9320874810218811,0.9319750070571899,0.9327625036239624,0.9327250123023987,0.9317499995231628,0.940625011920929,0.6740731000900269,0.6705618500709534,0.6664222478866577,0.6674612164497375,0.6753643751144409
