,acc_ensemble,acc_1,acc_2,acc_3,val_acc_ensemble,val_acc_1,val_acc_2,val_acc_3,loss_1,loss_2,loss_3,val_loss_1,val_loss_2,val_loss_3
0,1.0,1.0,1.0,1.0,0.8964999914169312,0.8964999914169312,0.8964999914169312,0.8964999914169312,0.0033372528851032257,0.0033158762380480766,0.004268701653927565,0.35025137662887573,0.35025137662887573,0.35025137662887573
1,1.0,1.0,1.0,1.0,0.8992999792098999,0.8992999792098999,0.8992999792098999,0.8992999792098999,0.002056003548204899,0.0014027301222085953,0.0017561818240210414,0.35087403655052185,0.35087403655052185,0.35087403655052185
2,1.0,1.0,1.0,1.0,0.8988999724388123,0.8988999724388123,0.8988999724388123,0.8988999724388123,0.0008828212739899755,0.0007520269718952477,0.0016032294370234013,0.35490667819976807,0.35490667819976807,0.35490667819976807
3,1.0,1.0,1.0,1.0,0.9004999995231628,0.9004999995231628,0.9004999995231628,0.9004999995231628,0.0007551727467216551,0.0005640698364004493,0.0005717742023989558,0.3575113117694855,0.3575113117694855,0.3575113117694855
4,1.0,1.0,1.0,1.0,0.9007999897003174,0.9007999897003174,0.9007999897003174,0.9007999897003174,0.0003344561846461147,0.000319651240715757,0.00037873833207413554,0.36015015840530396,0.36015015840530396,0.36015015840530396
5,1.0,1.0,1.0,1.0,0.9006999731063843,0.9006999731063843,0.9006999731063843,0.9006999731063843,0.00030919292476028204,0.0002274469443364069,0.0002202661707997322,0.36379343271255493,0.36379343271255493,0.36379343271255493
6,1.0,1.0,1.0,1.0,0.9006999731063843,0.9006999731063843,0.9006999731063843,0.9006999731063843,0.0002974180388264358,0.00023634056560695171,0.0001736582926241681,0.3666902780532837,0.3666902780532837,0.3666902780532837
7,1.0,1.0,1.0,1.0,0.9004999995231628,0.9004999995231628,0.9004999995231628,0.9004999995231628,0.00017950903566088527,0.00017438743088860065,0.000205963384360075,0.3697921335697174,0.3697921335697174,0.3697921335697174
8,1.0,1.0,1.0,1.0,0.900600016117096,0.900600016117096,0.900600016117096,0.900600016117096,0.00013968908751849085,0.0001232870708918199,0.000212726037716493,0.3729400336742401,0.3729400336742401,0.3729400336742401
9,1.0,1.0,1.0,1.0,0.901199996471405,0.901199996471405,0.901199996471405,0.901199996471405,0.00013240758562460542,0.00013277612742967904,0.00015831677592359483,0.37512513995170593,0.37512513995170593,0.37512513995170593
