,train_acc_1,train_acc_2,train_acc_3,train_acc_ensemble,train_loss_1,train_loss_2,train_loss_3,val_acc_1,val_acc_2,val_acc_3,val_acc_ensemble,val_loss_1,val_loss_2,val_loss_3
0,1.0,0.9375,0.9375,0.4375,0.11733852326869965,0.1508132368326187,0.3532056510448456,0.9247000217437744,0.9247000217437744,0.9247000217437744,0.9247000217437744,0.2510407567024231,0.2510407567024231,0.2510407567024231
1,1.0,0.96875,0.96875,0.40625,0.038625139743089676,0.06664606928825378,0.0887179970741272,0.9337000250816345,0.9337000250816345,0.9337000250816345,0.9337000250816345,0.2121048867702484,0.2121048867702484,0.2121048867702484
2,1.0,1.0,1.0,0.3125,0.026943042874336243,0.04697031527757645,0.03380820155143738,0.941100001335144,0.941100001335144,0.941100001335144,0.941100001335144,0.19260166585445404,0.19260166585445404,0.19260166585445404
3,0.96875,1.0,1.0,0.34375,0.11564543098211288,0.016244983300566673,0.028948556631803513,0.9429000020027161,0.9429000020027161,0.9429000020027161,0.9429000020027161,0.18419191241264343,0.18419191241264343,0.18419191241264343
4,1.0,1.0,1.0,0.40625,0.01592392846941948,0.012463265098631382,0.007546705659478903,0.9442999958992004,0.9442999958992004,0.9442999958992004,0.9442999958992004,0.1843813955783844,0.1843813955783844,0.1843813955783844
5,1.0,1.0,1.0,0.375,0.005320829339325428,0.021674267947673798,0.0058844671584665775,0.9442999958992004,0.9442999958992004,0.9442999958992004,0.9442999958992004,0.18695132434368134,0.18695132434368134,0.18695132434368134
6,1.0,0.96875,0.875,0.5,0.006133431568741798,0.06982503831386566,0.26958179473876953,0.9433000087738037,0.9433000087738037,0.9433000087738037,0.9433000087738037,0.18661965429782867,0.18661965429782867,0.18661965429782867
7,1.0,1.0,1.0,0.4375,0.007962236180901527,0.005005050916224718,0.0061281765811145306,0.9434000253677368,0.9434000253677368,0.9434000253677368,0.9434000253677368,0.18784086406230927,0.18784086406230927,0.18784086406230927
8,1.0,1.0,1.0,0.40625,0.006646583788096905,0.005534232594072819,0.0028282306157052517,0.944599986076355,0.944599986076355,0.944599986076355,0.944599986076355,0.1860741525888443,0.1860741525888443,0.1860741525888443
9,1.0,1.0,1.0,0.40625,0.008286483585834503,0.0031678052619099617,0.0033577342983335257,0.945900022983551,0.945900022983551,0.945900022983551,0.945900022983551,0.18724147975444794,0.18724147975444794,0.18724147975444794
10,1.0,1.0,1.0,0.4375,0.0031626722775399685,0.0025052460841834545,0.004862976726144552,0.9460999965667725,0.9460999965667725,0.9460999965667725,0.9460999965667725,0.187109112739563,0.187109112739563,0.187109112739563
11,1.0,1.0,1.0,0.46875,0.004379685502499342,0.0020716043654829264,0.009713524952530861,0.9463000297546387,0.9463000297546387,0.9463000297546387,0.9463000297546387,0.18807609379291534,0.18807609379291534,0.18807609379291534
12,1.0,1.0,1.0,0.5,0.002618292812258005,0.002114868024364114,0.0008486617589369416,0.9465000033378601,0.9465000033378601,0.9465000033378601,0.9465000033378601,0.1913849264383316,0.1913849264383316,0.1913849264383316
13,1.0,1.0,1.0,0.59375,0.0018678478663787246,0.0013877395540475845,0.02005479484796524,0.9460999965667725,0.9460999965667725,0.9460999965667725,0.9460999965667725,0.1928880661725998,0.1928880661725998,0.1928880661725998
14,1.0,1.0,1.0,0.4375,0.0009191518765874207,0.0013291729846969247,0.005699558183550835,0.9442999958992004,0.9442999958992004,0.9442999958992004,0.9442999958992004,0.1987266093492508,0.1987266093492508,0.1987266093492508
