,train_acc_1,train_acc_2,train_acc_3,train_acc_4,train_loss_1,train_loss_2,train_loss_3,train_loss_4,val_acc,val_acc_1,val_acc_2,val_acc_3,val_acc_4,val_loss_1,val_loss_2,val_loss_3,val_loss_4
0,0.875,0.78125,0.84375,0.84375,0.8754241466522217,0.9119040369987488,0.7185790538787842,0.7226672172546387,0.9035999774932861,0.8406999707221985,0.8481000065803528,0.8525999784469604,0.8177000284194946,0.7687280774116516,0.7416841387748718,0.7265698313713074,0.7656255960464478
1,0.875,0.84375,0.90625,0.84375,0.4467320442199707,0.5261516571044922,0.37758010625839233,0.47524893283843994,0.9466999769210815,0.9190000295639038,0.907800018787384,0.9142000079154968,0.913100004196167,0.3740372657775879,0.39372554421424866,0.38003578782081604,0.3731846213340759
2,0.90625,0.9375,0.90625,0.84375,0.3100789785385132,0.34736067056655884,0.2911731004714966,0.48406267166137695,0.9613000154495239,0.9380000233650208,0.9366000294685364,0.9375,0.9376000165939331,0.24690012633800507,0.2536299228668213,0.24425482749938965,0.26070067286491394
3,0.9375,0.90625,0.9375,0.90625,0.20431433618068695,0.1955738067626953,0.22741611301898956,0.2591642439365387,0.9679999947547913,0.9555000066757202,0.9498999714851379,0.9545999765396118,0.9366999864578247,0.18361876904964447,0.19205336272716522,0.17696814239025116,0.22543881833553314
4,0.9375,0.9375,0.90625,1.0,0.16926316916942596,0.20352065563201904,0.25487250089645386,0.05532034486532211,0.9707000255584717,0.9527000188827515,0.9422000050544739,0.9545000195503235,0.95169997215271,0.17224569618701935,0.20374028384685516,0.16507761180400848,0.17782850563526154
5,0.96875,0.9375,1.0,1.0,0.18395212292671204,0.151927188038826,0.0948679968714714,0.12726102769374847,0.9726999998092651,0.9560999870300293,0.9629999995231628,0.957099974155426,0.9491000175476074,0.15640270709991455,0.13568095862865448,0.15076734125614166,0.17005133628845215
6,1.0,0.9375,1.0,0.96875,0.08166136592626572,0.12455056607723236,0.07304562628269196,0.13964223861694336,0.9689000248908997,0.947700023651123,0.9609000086784363,0.9545999765396118,0.951200008392334,0.17342130839824677,0.14056473970413208,0.15134413540363312,0.16556160151958466
7,0.9375,0.96875,0.96875,1.0,0.1694585233926773,0.10975836962461472,0.1146918535232544,0.0793805867433548,0.9746000170707703,0.9628999829292297,0.9646999835968018,0.9621999859809875,0.953000009059906,0.12909530103206635,0.12503831088542938,0.12297148257493973,0.15744411945343018
8,0.9375,0.9375,0.90625,1.0,0.1713624894618988,0.12320651859045029,0.34433406591415405,0.05400100350379944,0.977400004863739,0.9635000228881836,0.965499997138977,0.9639000296592712,0.9544000029563904,0.12502959370613098,0.1129666119813919,0.11612661182880402,0.14805372059345245
9,1.0,0.96875,1.0,1.0,0.021566515788435936,0.09626127034425735,0.031638890504837036,0.029010334983468056,0.9761999845504761,0.9664000272750854,0.9606000185012817,0.9574999809265137,0.9603999853134155,0.12113887071609497,0.12587720155715942,0.13474421203136444,0.1308365911245346
10,0.9375,0.9375,1.0,0.96875,0.10657694935798645,0.30914878845214844,0.04302319884300232,0.12142027169466019,0.9772999882698059,0.9620000123977661,0.9639000296592712,0.9678999781608582,0.9610000252723694,0.12361767888069153,0.11446420848369598,0.10553024709224701,0.1287200003862381
11,0.9375,0.9375,0.90625,0.96875,0.08552099764347076,0.10024449974298477,0.19017738103866577,0.0775889903306961,0.9782000184059143,0.9605000019073486,0.9660999774932861,0.9682000279426575,0.9628999829292297,0.13031481206417084,0.11009598523378372,0.1013420820236206,0.12432409822940826
12,0.9375,0.875,1.0,1.0,0.1636991649866104,0.3919134736061096,0.020234018564224243,0.01802128739655018,0.9775999784469604,0.961899995803833,0.9706000089645386,0.9706000089645386,0.9617999792098999,0.1192917600274086,0.09741590917110443,0.09859944134950638,0.12560856342315674
