,acc,loss,val_acc,val_loss
0,0.9078500270843506,0.22798855602741241,0.9088000059127808,0.297493577003479
1,0.9305999875068665,0.18886873126029968,0.9279000163078308,0.23553679883480072
2,0.9401666522026062,0.17619094252586365,0.9372000098228455,0.2095281183719635
3,0.9456333518028259,0.13485440611839294,0.9429000020027161,0.18907330930233002
4,0.9495333433151245,0.07430519908666611,0.9441999793052673,0.17934508621692657
5,0.9513333439826965,0.026910562068223953,0.947700023651123,0.1719239205121994
6,0.9524166584014893,0.03594158962368965,0.9465000033378601,0.17842790484428406
7,0.9524000287055969,0.012542620301246643,0.9451000094413757,0.1752624213695526
8,0.9542833566665649,0.00605348264798522,0.949999988079071,0.16629254817962646
9,0.9554833173751831,0.00805581919848919,0.9484999775886536,0.1656423956155777
10,0.9568666815757751,0.02806563675403595,0.949400007724762,0.16400715708732605
11,0.9573166370391846,0.013595578260719776,0.9516000151634216,0.16085340082645416
12,0.9548333287239075,0.0402069054543972,0.9467999935150146,0.17885199189186096
13,0.9552500247955322,0.015359190292656422,0.9496999979019165,0.17261603474617004
14,0.9561166763305664,0.004013790749013424,0.9505000114440918,0.1640443354845047
