,train_acc_1,train_acc_2,train_acc_3,train_acc_4,train_acc_ensemble,train_loss_1,train_loss_2,train_loss_3,train_loss_4,val_acc_1,val_acc_2,val_acc_3,val_acc_4,val_acc_ensemble,val_loss_1,val_loss_2,val_loss_3,val_loss_4
0,0.5625,0.46875,0.1875,0.65625,0.25,3.68092679977417,4.096114158630371,4.6911234855651855,4.088272571563721,0.1497499942779541,0.1497499942779541,0.1497499942779541,0.1497499942779541,0.1497499942779541,4.9383673667907715,4.9383673667907715,4.9383673667907715,4.9383673667907715
1,0.9375,1.0,0.125,0.46875,0.21875,2.068730115890503,2.158991813659668,4.806621551513672,3.9081544876098633,0.265562504529953,0.265562504529953,0.265562504529953,0.265562504529953,0.265562504529953,4.383495330810547,4.383495330810547,4.383495330810547,4.383495330810547
2,0.96875,0.96875,0.1875,0.96875,0.15625,1.6880619525909424,1.6163077354431152,4.46104621887207,2.225388288497925,0.3033375144004822,0.3033375144004822,0.3033375144004822,0.3033375144004822,0.3033375144004822,4.157073497772217,4.157073497772217,4.157073497772217,4.157073497772217
3,0.96875,1.0,0.8125,1.0,0.1875,2.1822500228881836,1.6717703342437744,2.719229221343994,1.2854937314987183,0.3125874996185303,0.3125874996185303,0.3125874996185303,0.3125874996185303,0.3125874996185303,4.059910297393799,4.059910297393799,4.059910297393799,4.059910297393799
4,1.0,1.0,1.0,1.0,0.34375,1.101083755493164,1.1993420124053955,1.1006009578704834,1.0788815021514893,0.30732500553131104,0.30732500553131104,0.30732500553131104,0.30732500553131104,0.30732500553131104,4.032881259918213,4.032881259918213,4.032881259918213,4.032881259918213
5,0.25,1.0,0.96875,1.0,0.0,4.133414268493652,0.8579963445663452,1.060473918914795,0.806840717792511,0.30416250228881836,0.30416250228881836,0.30416250228881836,0.30416250228881836,0.30416250228881836,4.005772113800049,4.005772113800049,4.005772113800049,4.005772113800049
6,0.96875,1.0,1.0,0.96875,0.03125,1.9866340160369873,0.8915016651153564,0.6966960430145264,0.9081812500953674,0.2950249910354614,0.2950249910354614,0.2950249910354614,0.2950249910354614,0.2950249910354614,3.9987218379974365,3.9987218379974365,3.9987218379974365,3.9987218379974365
7,1.0,1.0,0.96875,1.0,0.25,0.7280193567276001,0.8471952676773071,0.9176112413406372,0.7085596919059753,0.2908250093460083,0.2908250093460083,0.2908250093460083,0.2908250093460083,0.2908250093460083,3.9846675395965576,3.9846675395965576,3.9846675395965576,3.9846675395965576
8,0.96875,0.96875,0.75,1.0,0.15625,1.4093163013458252,0.8650943040847778,2.6099467277526855,0.5047672390937805,0.28804999589920044,0.28804999589920044,0.28804999589920044,0.28804999589920044,0.28804999589920044,3.971006155014038,3.971006155014038,3.971006155014038,3.971006155014038
9,1.0,1.0,0.96875,0.96875,0.28125,0.5059122443199158,0.5048811435699463,0.856212854385376,0.6245732307434082,0.2858999967575073,0.2858999967575073,0.2858999967575073,0.2858999967575073,0.2858999967575073,3.957092523574829,3.957092523574829,3.957092523574829,3.957092523574829
10,0.96875,1.0,1.0,1.0,0.21875,0.7704831957817078,0.568988561630249,0.4240894615650177,0.5633671283721924,0.2842875123023987,0.2842875123023987,0.2842875123023987,0.2842875123023987,0.2842875123023987,3.940037488937378,3.940037488937378,3.940037488937378,3.940037488937378
11,0.96875,0.96875,1.0,1.0,0.25,0.5626218914985657,0.6304346323013306,0.3886813521385193,0.6395847797393799,0.28171250224113464,0.28171250224113464,0.28171250224113464,0.28171250224113464,0.28171250224113464,3.929494619369507,3.929494619369507,3.929494619369507,3.929494619369507
12,1.0,1.0,0.96875,0.96875,0.25,0.4853174090385437,0.541610598564148,0.49723386764526367,0.5689857006072998,0.2791624963283539,0.2791624963283539,0.2791624963283539,0.2791624963283539,0.2791624963283539,3.922942876815796,3.922942876815796,3.922942876815796,3.922942876815796
13,0.96875,1.0,0.96875,1.0,0.375,0.496704638004303,0.5821590423583984,0.6063857674598694,0.4006045460700989,0.27826249599456787,0.27826249599456787,0.27826249599456787,0.27826249599456787,0.27826249599456787,3.906383514404297,3.906383514404297,3.906383514404297,3.906383514404297
14,0.96875,1.0,1.0,1.0,0.34375,0.4390128254890442,0.46400079131126404,0.404340922832489,0.2429840862751007,0.2790125012397766,0.2790125012397766,0.2790125012397766,0.2790125012397766,0.2790125012397766,3.8962655067443848,3.8962655067443848,3.8962655067443848,3.8962655067443848
